ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,competitivo,tem_despesa,registros,teto,gasto_bruto,exclusao_2022,gasto_aproximado,gasto_pct,bruto_pct,receita_pct,top,fora,faixa
2018,AC,3535,SILVIA MONTEIRO E SILVA,PMB,0,False,True,75.0,2500000.0,44845.06,0.0,44845.06,1.7938024,1.7938024,1.85564,1.0,0.0,0 a <10%
2018,AC,3333,EMILIO VIRGILIO LIMA DE OLIVEIRA,PMN,0,False,True,68.0,2500000.0,150000.0,0.0,150000.0,6.0,6.0,6.5,1.0,0.0,0 a <10%
2018,AC,1910,RAILSON CORREIA DA COSTA,PODE,0,False,True,21.0,2500000.0,143726.0,0.0,143726.0,5.74904,5.74904,8.08564,1.0,0.0,0 a <10%
2018,AC,1944,MARIA JOSÉ DA SILVA LIMA,PODE,0,False,False,,2500000.0,,,,,,0.0,0.0,1.0,Sem registro
2018,AC,1111,JOSÉ CAVALCANTE DAMASCENO JÚNIOR,PP,0,False,True,35.0,2500000.0,129340.13,0.0,129340.13,5.1736052,5.1736052,6.134789200000001,0.0,1.0,0 a <10%
2018,AC,1122,RUDILEI SOARES DE SOUZA,PP,0,False,True,102.0,2500000.0,470000.0,0.0,470000.0,18.8,18.8,21.056,1.0,0.0,10 a <25%
2018,AC,1144,NELSON RODRIGUES SALES,PP,0,True,True,227.0,2500000.0,943143.4,0.0,943143.4,37.725736,37.725736,37.7336,1.0,0.0,25 a <50%
2018,AC,5454,FRANCISCO BRIGIDO DA COSTA,PPL,0,True,True,6.0,2500000.0,9500.0,0.0,9500.0,0.38,0.38,0.4375,1.0,0.0,0 a <10%
2018,AC,2323,ROSANA SOUSA DO NASCIMENTO,PPS,0,False,True,74.0,2500000.0,497675.42,0.0,497675.42,19.9070168,19.9070168,20.2299216,1.0,0.0,10 a <25%
2018,AC,2222,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,PR,0,True,True,322.0,2500000.0,1500500.0,0.0,1500500.0,60.02,60.02,60.868,1.0,0.0,50 a <80%
