ano_eleicao,sg_uf,nr_candidato,gasto_bruto,exclusao_2022,registros
2018,PR,5012,5479.6,0.0,10
2018,RJ,1204,14959.17,0.0,9
2018,RJ,1313,1173477.13,0.0,355
2018,RJ,1508,516297.38,0.0,402
2018,RJ,1551,3012.5,0.0,3
2018,RJ,1706,3994.15,0.0,17
2018,RJ,1722,3000.0,0.0,5
2018,RJ,1734,3000.0,0.0,14
2018,RJ,1735,676.75,0.0,2
2018,RJ,1737,2857.1400000000003,0.0,4
2018,RJ,1822,4980.0,0.0,4
2018,RJ,1901,462.05,0.0,3
2018,RJ,2291,10984.45,0.0,14
2018,RJ,2797,3500.0,0.0,4
2018,RJ,2816,721.47,0.0,7
2018,RJ,2898,4018.4,0.0,2
2018,RJ,3114,3000.0,0.0,7
2018,RJ,3504,3600.0,0.0,5
2018,RJ,3542,7854.35,0.0,7
2018,RJ,3568,13992.8,0.0,27
2018,RJ,4020,21170.0,0.0,48
2018,RJ,4099,7653.0,0.0,11
2018,RJ,4311,4500.0,0.0,3
2018,RJ,4313,4550.0,0.0,15
2018,RJ,4367,86632.82,0.0,3
2018,RJ,4369,4473.2,0.0,3
2018,RJ,4370,4500.0,0.0,13
2018,RJ,4452,250.0,0.0,1
2018,RJ,4457,2000.0,0.0,1
2018,RJ,4475,1449.3899999999999,0.0,2
2018,RJ,4478,1000.0,0.0,2
2018,RJ,5090,1448.85,0.0,9
2018,RJ,5402,800.0,0.0,4
2018,RJ,5420,630.0,0.0,3
2018,RJ,5445,300.0,0.0,2
2018,RJ,5455,537.7,0.0,5
2018,RJ,5488,626.75,0.0,6
2018,RJ,5516,170.0,0.0,2
2018,RJ,5555,881277.42,0.0,254
2018,RJ,5591,1069.35,0.0,5
2018,RJ,7018,269.94,0.0,1
2018,RJ,7720,30000.0,0.0,8
2018,RJ,7732,500.0,0.0,1
2018,RJ,9000,651721.27,0.0,135
2018,RO,1230,104669.96,0.0,163
2018,RO,1300,377872.41,0.0,264
2018,RO,1315,14880.0,0.0,12
2018,RO,1520,12676.6,0.0,11
2018,RO,1701,2493.2,0.0,4
2018,RO,2018,2500.0,0.0,3
2018,RO,2323,7885.3,0.0,14
2018,RO,2777,13.2,0.0,1
2018,RO,4310,12119.5,0.0,4
2018,RR,1010,594578.95,0.0,260
2018,RR,1919,19850.5,0.0,6
2018,RR,2201,21420.0,0.0,11
2018,RR,2205,29500.0,0.0,6
2018,RR,2222,49963.2,0.0,16
2018,RS,1510,460735.99,0.0,93
2018,RS,1666,737.95,0.0,4
2018,RS,1780,3000.0,0.0,2
2018,RS,1801,77200.0,0.0,65
2018,RS,1919,2500.14,0.0,2
2018,RS,3131,28757.36,0.0,18
2018,RS,3141,205000.0,0.0,117
2018,RS,4054,832.5,0.0,2
2018,SC,1551,856.0,0.0,3
2018,SC,5150,2713.55,0.0,4
2018,SC,5555,508938.39,0.0,290
2018,SE,1700,2400.0,0.0,3
2018,SE,1711,6259.5,0.0,9
2018,SE,1726,1100.0,0.0,3
2018,SE,2090,320775.3,0.0,135
2018,SE,3636,329891.72,0.0,6
2018,SE,4444,5102.13,0.0,6
2018,SP,1054,1072.5,0.0,5
2018,SP,1057,137876.32,0.0,262
2018,SP,1086,10000.0,0.0,7
2018,SP,1202,4963.2,0.0,10
2018,SP,1209,25258.83,0.0,37
2018,SP,1212,717819.47,0.0,211
2018,SP,1252,2019.8,0.0,5
2018,SP,1253,7619.58,0.0,14
2018,SP,1328,15156.39,0.0,20
2018,SP,1329,2043.37,0.0,5
2018,SP,1330,96412.1,0.0,44
2018,SP,1393,900.0,0.0,2
2018,SP,1566,107371.25,0.0,51
2018,SP,1706,20500.0,0.0,8
2018,SP,1722,42467.0,0.0,28
2018,SP,1747,10000.0,0.0,6
2018,SP,1780,39850.0,0.0,18
2018,SP,1950,53176.1,0.0,76
2018,SP,1998,7200.0,0.0,5
2018,SP,2700,1400.0,0.0,2
2018,SP,2709,600.0,0.0,1
2018,SP,2710,205.0,0.0,1
2018,SP,2711,2338.85,0.0,5
2018,SP,2712,1006.6,0.0,2
2018,SP,2724,2576.23,0.0,5
2018,SP,2734,957.39,0.0,6
2018,SP,2745,600.0,0.0,1
2018,SP,2762,2054.5,0.0,6
2018,SP,2765,3660.9,0.0,7
2018,SP,2772,2667.5,0.0,13
2018,SP,2799,13353.0,0.0,44
2018,SP,2817,33098.2,0.0,20
2018,SP,2819,1500.0,0.0,2
2018,SP,2820,2340.0,0.0,5
2018,SP,2840,3954.0,0.0,1
2018,SP,2844,1499.05,0.0,4
2018,SP,2858,390.0,0.0,1
2018,SP,2865,1500.0,0.0,2
2018,SP,2867,1488.85,0.0,2
2018,SP,2894,1320.0,0.0,5
2018,SP,2898,38.07,0.0,1
2018,SP,3018,1890.0,0.0,3
2018,SP,3122,5000.0,0.0,7
2018,SP,3190,5000.0,0.0,1
2018,SP,3325,1500.0,0.0,1
2018,SP,4331,7835.0,0.0,7
2018,SP,4358,600.0,0.0,2
2018,SP,4363,11653.55,0.0,18
2018,SP,4376,10894.8,0.0,8
2018,SP,4399,17710.8,0.0,23
2018,SP,4507,100003.28,0.0,101
2018,SP,4530,803665.9,0.0,341
2018,SP,4536,20313.47,0.0,20
2018,SP,5065,8651.83,0.0,15
2018,SP,5112,618.85,0.0,2
2018,SP,5115,4292.2,0.0,5
2018,SP,7064,880.0,0.0,3
2018,SP,7700,49972.27,0.0,42
2018,SP,7739,11745.2,0.0,11
2018,SP,9046,41077.22,0.0,50
2018,TO,3111,763.2,0.0,4
2018,TO,4020,1500.0,0.0,1
2022,AC,3647,2416.35,0.0,3
2022,AC,5000,12000.0,0.0,6
2022,AC,5050,9956.0,0.0,7
2022,AC,9010,22484.0,10000.0,10
2022,AC,9022,10000.0,10000.0,2
2022,AL,4411,1350000.0,240000.0,101
2022,AL,7000,30000.0,9000.0,7
2022,AM,3637,2.0,0.0,1
2022,AM,7777,5000.0,5000.0,2
2022,AM,9007,600.0,600.0,2
2022,AP,1001,430186.35,180000.0,18
2022,AP,1478,99559.6,18000.0,34
2022,AP,4000,35000.0,3500.0,3
2022,BA,1167,802011.65,12000.0,20
2022,BA,1419,105.0,0.0,1
2022,BA,2299,199910.89,28940.0,12
2022,BA,3670,10000.0,0.0,2
2022,BA,4407,77.4,0.0,1
2022,BA,5556,1250.0,0.0,1
2022,BA,7701,20049.1,5000.0,6
2022,BA,9009,21.95,0.0,1
2022,BA,9018,10000.01,0.0,5
2022,BA,9099,206.0,0.0,2
2022,CE,1600,8351.3,2500.0,7
2022,CE,4022,100352.7,25000.0,81
2022,CE,5512,1892.7,0.0,2
2022,CE,5557,322554.03,13500.0,10
2022,DF,1310,51230.56,0.0,23
2022,DF,1555,492596.61,50966.66,178
2022,DF,2200,2179867.58,0.0,564
2022,DF,7790,29295.16,3000.0,10
2022,ES,7022,600.0,600.0,1
2022,GO,1177,7234.0,6500.0,8
2022,GO,1260,5000.0,0.0,1
2022,GO,1525,25200.0,3030.0,26
2022,GO,1909,10000.0,0.0,4
2022,GO,1922,48.0,0.0,1
2022,GO,2220,20000.0,0.0,9
2022,MA,1951,299999.69,30000.0,115
2022,MA,2028,1526.0,0.0,2
2022,MA,4080,600.0,600.0,2
2022,MA,9001,299860.3,80000.0,17
2022,MG,1411,300.0,0.0,1
2022,MG,1812,5020.9,0.0,2
2022,MG,1923,800.0,0.0,1
