UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
GO,2018,Eleitos,gasto_pct,17.0,17.0,0.0,54.5482158117647,50.41795559999999,93.325494,103.67432,103.67432,103.67432,16.0,94.11764705882354,10.0,58.8235294117647,4.0,23.529411764705884,3.0,17.647058823529413,1.0,5.882352941176471,1.0,5.882352941176471,1.0,5.882352941176471,0.0,1.0,5.882352941176471
MA,2018,Todos,gasto_pct,187.0,153.0,34.0,9.3381801124183,1.27536,37.5178628,59.9908984,93.6357464,97.923056,28.0,18.30065359477124,9.0,5.882352941176471,2.0,1.3071895424836601,2.0,1.3071895424836601,1.0,0.6535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.5347593582887701
MA,2018,Eleitos,gasto_pct,18.0,18.0,0.0,41.34032331111111,36.134414,93.6357464,97.923056,97.923056,97.923056,16.0,88.88888888888889,5.0,27.77777777777778,2.0,11.11111111111111,2.0,11.11111111111111,1.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555
MG,2018,Todos,gasto_pct,825.0,601.0,224.0,9.862250801331115,0.6311932,41.1586076,65.9783856,91.3827424,98.8700156,114.0,18.96838602329451,51.0,8.48585690515807,17.0,2.8286189683860234,8.0,1.3311148086522462,3.0,0.49916805324459235,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365
MG,2018,Eleitos,gasto_pct,53.0,53.0,0.0,47.29301389433961,50.5921584,82.4112784,93.6515224,98.80466,98.80466,47.0,88.67924528301887,27.0,50.943396226415096,8.0,15.09433962264151,3.0,5.660377358490566,2.0,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,3.7735849056603774
MS,2018,Todos,gasto_pct,117.0,98.0,19.0,7.359609097959184,1.2368,24.7802572,48.699024400000006,88.860384,88.860384,18.0,18.367346938775512,4.0,4.081632653061225,1.0,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,2018,Eleitos,gasto_pct,8.0,8.0,0.0,32.9258351,29.2296728,88.860384,88.860384,88.860384,88.860384,6.0,75.0,2.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,2018,Todos,gasto_pct,110.0,95.0,15.0,12.469263305263157,2.245872,41.451696,66.182192,93.2476516,93.2476516,26.0,27.36842105263158,8.0,8.421052631578947,2.0,2.1052631578947367,1.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,2018,Eleitos,gasto_pct,8.0,8.0,0.0,39.560577050000006,25.7661808,75.39511,75.39511,75.39511,75.39511,7.0,87.5,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2018,Todos,gasto_pct,129.0,109.0,20.0,10.482673966972477,1.4,37.1214068,53.6317832,82.504982,97.0070368,26.0,23.853211009174313,6.0,5.504587155963303,3.0,2.7522935779816513,1.0,0.9174311926605505,1.0,0.9174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.7751937984496124
