Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
2018,Todos,gasto_pct,7630.0,5909.0,1721.0,8.566107543949906,0.8,32.9043664,56.0772648,89.133726,103.67432,1074.0,18.175664240988322,360.0,6.092401421560331,111.0,1.8784904383144356,55.0,0.9307835505161618,24.0,0.40616009477068876,4.0,0.06769334912844813,3.0,0.050770011846336095,1.0,2.0,0.3145478374836173
2018,Todos,bruto_pct,7630.0,5909.0,1721.0,8.566107543949906,0.8,32.9043664,56.0772648,89.133726,103.67432,1074.0,18.175664240988322,360.0,6.092401421560331,111.0,1.8784904383144356,55.0,0.9307835505161618,24.0,0.40616009477068876,4.0,0.06769334912844813,3.0,0.050770011846336095,1.0,2.0,0.3145478374836173
2018,Eleitos,gasto_pct,513.0,513.0,0.0,43.225114962183234,41.044216,83.1240736,91.9429456,97.923056,103.67432,440.0,85.7699805068226,205.0,39.96101364522417,61.0,11.89083820662768,33.0,6.432748538011696,14.0,2.729044834307992,2.0,0.3898635477582846,1.0,0.1949317738791423,0.0,1.0,2.729044834307992
2018,Eleitos,bruto_pct,513.0,513.0,0.0,43.225114962183234,41.044216,83.1240736,91.9429456,97.923056,103.67432,440.0,85.7699805068226,205.0,39.96101364522417,61.0,11.89083820662768,33.0,6.432748538011696,14.0,2.729044834307992,2.0,0.3898635477582846,1.0,0.1949317738791423,0.0,1.0,2.729044834307992
2018,Não eleitos,gasto_pct,7117.0,5396.0,1721.0,5.2710610640474425,0.601422,12.6380652,32.8376,77.7075896,100.5482332,634.0,11.749444032616752,155.0,2.8724981467753894,50.0,0.9266123054114158,22.0,0.407709414381023,10.0,0.18532246108228317,2.0,0.037064492216456635,2.0,0.037064492216456635,1.0,1.0,0.1405086412814388
2018,Não eleitos,bruto_pct,7117.0,5396.0,1721.0,5.2710610640474425,0.601422,12.6380652,32.8376,77.7075896,100.5482332,634.0,11.749444032616752,155.0,2.8724981467753894,50.0,0.9266123054114158,22.0,0.407709414381023,10.0,0.18532246108228317,2.0,0.037064492216456635,2.0,0.037064492216456635,1.0,1.0,0.1405086412814388
2018,Competitivos prévios,gasto_pct,886.0,875.0,11.0,37.06893499474286,35.9718248,80.7240484,89.88556960000001,98.1960108,103.67432,647.0,73.94285714285714,290.0,33.142857142857146,92.0,10.514285714285714,42.0,4.8,21.0,2.4,3.0,0.34285714285714286,3.0,0.34285714285714286,1.0,2.0,2.37020316027088
2018,Competitivos prévios,bruto_pct,886.0,875.0,11.0,37.06893499474286,35.9718248,80.7240484,89.88556960000001,98.1960108,103.67432,647.0,73.94285714285714,290.0,33.142857142857146,92.0,10.514285714285714,42.0,4.8,21.0,2.4,3.0,0.34285714285714286,3.0,0.34285714285714286,1.0,2.0,2.37020316027088
2018,Dentro Top-NECr,gasto_pct,2318.0,2131.071113306983,186.92888669301692,20.395095327064663,6.44548,62.4569,79.9769556,95.4513524,103.67432,954.1111111111111,44.77143466275639,345.0,16.189042113410807,106.0,4.9740245333957835,54.0,2.5339370264469085,24.0,1.126194233976404,4.0,0.18769903899606732,3.0,0.1407742792470505,1.0,2.0,1.0353753235547887
2018,Dentro Top-NECr,bruto_pct,2318.0,2131.071113306983,186.92888669301692,20.395095327064663,6.44548,62.4569,79.9769556,95.4513524,103.67432,954.1111111111111,44.77143466275639,345.0,16.189042113410807,106.0,4.9740245333957835,54.0,2.5339370264469085,24.0,1.126194233976404,4.0,0.18769903899606732,3.0,0.1407742792470505,1.0,2.0,1.0353753235547887
