Ano,Candidatos,Com_despesas,Sem_registro,Chaves_despesas_fora_universo,Valor_fora_universo,Total_bruto_no_universo,Desconto_2022
2018,7630,5909,1721,275,21399422.25,1265428236.93,0.0
2022,9675,8661,1014,126,11368363.52,3146891825.8,166491990.82999998
