Modelo,Variável,Coeficiente pp,IC95 inferior,IC95 superior,p,p BH (família de todos os coeficientes)
Eleito fora: capital e receitas 2018,Eleito federal no pleito anterior (proxy),-15.159749430053404,-31.622602374551544,1.3031035144447367,0.07069285547939787,0.18037087384310313
Eleito fora: capital e receitas 2018,"Vitória federal antiga, sem vitória no pleito anterior",-13.522711247636588,-37.281957155753574,10.236534660480402,0.261519702279299,0.4234128513093412
Eleito fora: capital e receitas 2018,Vitória anterior estadual/distrital,-0.251388515600854,-13.965760305530662,13.462983274328955,0.9710623930036993,0.9710623930036993
Eleito fora: capital e receitas 2018,Vitória anterior para prefeito,17.48218607029376,-4.619190160106662,39.58356230069418,0.11973205285732393,0.2261605442860563
Eleito fora: capital e receitas 2018,Vitória anterior para vereador,12.674277006739738,-18.23624717972252,43.584801193202,0.4178698646580553,0.5262064962360696
Eleito fora: capital e receitas 2018,Votação histórica ≥ 10% do QE,-9.146341750518339,-27.688120820220462,9.395437319183786,0.33011011876419494,0.45811200155031134
Eleito fora: capital e receitas 2018,Mulheres,-18.616947474037413,-35.30243954212473,-1.9314554059500915,0.029126580141411708,0.09431464045790458
Eleito fora: capital e receitas 2018,Pessoas pretas ou pardas,15.037610797906925,1.1831900474171846,28.89203154839667,0.03369071061173903,0.10055110736927071
Eleito fora: capital e receitas 2018,proprios (percentil 0–1 entre eleitos do ano),12.900428614049536,-8.539596909137448,34.34045413723652,0.23539903699577525,0.4001783628928179
Eleito fora: capital e receitas 2018,pessoas fisicas (percentil 0–1 entre eleitos do ano),1.8913393529370695,-20.060764809423304,23.84344351529744,0.8646209653278017,0.8908216006407654
Eleito fora: capital e receitas 2022,Eleito federal no pleito anterior (proxy),-4.026844758669428,-15.4916886375874,7.437999120248545,0.4881625980849812,0.5626280791487919
Eleito fora: capital e receitas 2022,"Vitória federal antiga, sem vitória no pleito anterior",-8.545109926566582,-25.16636384791362,8.076143994780452,0.3107984647342893,0.45605801659667505
Eleito fora: capital e receitas 2022,Vitória anterior estadual/distrital,-6.152236967264485,-14.32186129682645,2.0173873622974807,0.13859386621519001,0.2547130514225114
Eleito fora: capital e receitas 2022,Vitória anterior para prefeito,-2.5051420144519567,-14.008578472501826,8.998294443597914,0.6671338362496629,0.7345331311369422
Eleito fora: capital e receitas 2022,Vitória anterior para vereador,-2.293722641647343,-15.896889570427192,11.309444287132504,0.7390921245475182,0.7852853823317381
Eleito fora: capital e receitas 2022,Votação histórica ≥ 10% do QE,-5.657483773843805,-18.68748716065987,7.372519612972258,0.39171405171687335,0.5122414522451421
Eleito fora: capital e receitas 2022,Mulheres,-4.357649073997143,-10.731843276172535,2.01654512817825,0.17843677421284287,0.3111205293967517
Eleito fora: capital e receitas 2022,Pessoas pretas ou pardas,-2.4303944831489273,-9.000253480836726,4.13946451453887,0.4653553859207211,0.5477080102649774
Eleito fora: capital e receitas 2022,proprios (percentil 0–1 entre eleitos do ano),5.908667783791735,-5.690255174614392,17.507590742197863,0.3152165702947607,0.45605801659667505
Eleito fora: capital e receitas 2022,pessoas fisicas (percentil 0–1 entre eleitos do ano),10.554173272056955,-1.6354214854316664,22.743768029545574,0.08906198033537732,0.20763139371318826
