Dimensão,Ano,Grupo,Listas,Listas com eleitos,Eleitos,Posições,Cobertura %,Precisão %,Lift,Amplitude média %
magnitude,2018,16–31,260,109,176,746.0,88.35227272727273,20.844504021447722,2.0668856183460824,47.42624808521143
magnitude,2018,39–70,134,77,208,700.0,81.49038461538461,24.214285714285715,2.4471802465835633,28.867729020591597
magnitude,2018,8–12,465,116,129,872.0,93.02325581395348,13.761467889908257,1.498595067124571,59.70096987838922
magnitude,2022,16–31,231,81,176,1301.0,90.05681818181819,12.18293620292083,2.3977093840057004,45.82444077808959
magnitude,2022,39–70,123,61,208,1168.0,93.84245562130178,16.711670179135933,2.6318743267683673,34.65485870681495
magnitude,2022,8–12,357,65,129,1355.0,94.18604651162791,8.966789667896679,1.4438613614449596,58.81878159189083
