Ano,Fonte,Mediana R$,Fora alto %,Dentro alto %,diferenca,ic95_inf,ic95_sup,n_listas,listas_informativas,eleitos_listas_informativas,esperado_permutacao,p_bilateral,p_unilateral_maior,p Holm
2018,proprios,5000.0,76.83823529411765,45.56179775280899,0.3127643754130866,0.20149165446764175,0.4095717571421951,302,17,74,0.25674699877186274,0.1458,0.0788,0.4374
2018,pessoas_fisicas,55720.0,46.69117647058824,50.39325842696629,-0.03702081956378056,-0.16123771076325438,0.10815416195281942,302,20,78,-0.06099556494246636,0.5822,0.3278,0.5822
2018,privado_proprio,102541.36,65.44117647058823,47.52808988764045,0.17913086582947785,0.06143503005610286,0.32108529467149355,302,19,81,0.08997631813209968,0.022,0.0134,0.132
2022,proprios,217.65,59.30824008138352,49.154188587616346,0.10154051493767174,-0.06335357327197985,0.2471789641737922,207,12,80,0.036660633013019354,0.2398,0.1218,0.4796
2022,pessoas_fisicas,96011.0,69.48118006103763,48.344799676244435,0.21136380384793213,0.05413637809123446,0.3598394306043207,207,15,92,0.10046205419500231,0.0642,0.032,0.2568
2022,privado_proprio,127759.19,70.49847405900306,48.26386078510724,0.22234613273895815,0.06830014780074095,0.3664659235218583,207,15,92,0.09955780803146033,0.0362,0.019,0.18100000000000002
