Modelo,Variável,Coeficiente pp,IC95 inferior,IC95 superior,p,p BH (família de todos os coeficientes)
Entrada no núcleo 2018,Eleito federal no pleito anterior (proxy),43.52284663854705,37.28857773251627,49.75711554457783,5.057381802117093e-38,8.597549063599057e-37
Entrada no núcleo 2018,"Vitória federal antiga, sem vitória no pleito anterior",33.39098684080725,25.207804845287974,41.57416883632653,4.785694889443924e-15,5.42378754136978e-14
Entrada no núcleo 2018,Vitória anterior estadual/distrital,14.647091554982408,8.632685016388757,20.661498093576057,2.1250207344487026e-06,1.1115493072500907e-05
Entrada no núcleo 2018,Vitória anterior para prefeito,-19.203449171919086,-43.372890745138605,4.965992401300428,0.11922096309096546,0.2261605442860563
Entrada no núcleo 2018,Vitória anterior para vereador,7.427143608034218,1.2665178248112343,13.5877693912572,0.018205004192738055,0.06515475184769409
Entrada no núcleo 2018,Votação histórica ≥ 10% do QE,39.296035137281265,32.7928309296246,45.79923934493793,1.0776978280545642e-29,1.4656690461542072e-28
Entrada no núcleo 2018,Mulheres,8.235271004785076,5.599028198296849,10.871513811273303,1.4436666725200695e-09,1.0907703747929415e-08
Entrada no núcleo 2018,Pessoas pretas ou pardas,-4.886959076624963,-6.907220654205705,-2.8666974990442213,2.47948993607601e-06,1.2043236832369191e-05
Entrada no núcleo 2022,Eleito federal no pleito anterior (proxy),30.321241328350656,25.98880039217346,34.65368226452785,4.5039469448916834e-38,8.597549063599057e-37
Entrada no núcleo 2022,"Vitória federal antiga, sem vitória no pleito anterior",19.93597483344849,13.414548862848836,26.45740080404815,3.172347156669897e-09,2.15719606653553e-08
Entrada no núcleo 2022,Vitória anterior estadual/distrital,14.060189768309147,9.744063830831701,18.376315705786595,2.9730911643743054e-10,2.5271274897181596e-09
Entrada no núcleo 2022,Vitória anterior para prefeito,-21.048768828678458,-35.98213581889508,-6.1154018384618345,0.005802504497696597,0.023210017990786386
Entrada no núcleo 2022,Vitória anterior para vereador,3.9441423670794498,-0.8084636036823335,8.696748337841234,0.1036788133773299,0.2136411912017707
Entrada no núcleo 2022,Votação histórica ≥ 10% do QE,39.48325253086,34.85446276317231,44.1120422985477,6.324716761047589e-53,4.3008073975123603e-51
Entrada no núcleo 2022,Mulheres,6.922621063026241,4.926519560455419,8.918722565597061,2.1655879394178256e-11,2.1037139982916022e-10
Entrada no núcleo 2022,Pessoas pretas ou pardas,-1.8707087105290472,-4.0487313903732725,0.3073139693151785,0.09217305506977475,0.20763139371318826
