ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,reeleicao_proxy,ex_federal_proxy,vitoria_estadual,vitoria_prefeito,vitoria_vereador,voto_relevante,mulher,negra
2018,AL,1515,ISNALDO BULHÕES BARROS JUNIOR,MDB,1.0,0.0,225653.88,168180.26,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,BA,1223,ALEX MARCO SANTANA SOUSA,PDT,1.0,0.0,45000.0,28650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,BA,3111,ANDERSON MACHADO DE JESUS,PHS,1.0,4399.0,0.0,28986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,BA,4422,RAIMUNDO MAGALHÃES COSTA,PRP,1.0,0.0,57000.0,22600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2018,CE,5151,ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,PATRI,1.0,0.0,536464.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,CE,1213,ANTONIO IDILVAN DE LIMA ALENCAR,PDT,1.0,0.0,27600.0,185500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,CE,1214,EDUARDO HENRIQUE MAIA BISMARCK,PDT,1.0,0.0,450000.0,59059.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,CE,1221,CARLOS MAURO BENEVIDES FILHO,PDT,1.0,0.0,10000.0,686846.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018,CE,1233,MARCOS ROBERIO RIBEIRO MONTEIRO,PDT,1.0,0.0,98200.0,83630.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018,DF,2555,LUIS CLAUDIO FERNANDES MIRANDA,DEM,1.0,0.0,435000.0,95718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,ES,4044,FELIPE RIGONI LOPES,PSB,1.0,150000.0,0.0,727927.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,GO,1701,VITOR HUGO DE ARAUJO ALMEIDA,PSL,1.0,766.0,36655.63,89228.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,MG,7040,ANDRE LUIS GASPAR JANONES,AVANTE,1.0,200342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MG,1515,HERCÍLIO ARAÚJO DINIZ FILHO,MDB,1.0,956.69,1982000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,MG,5152,FREDERICO DE CASTRO ESCALEIRA,PATRI,1.0,4000.0,273700.0,68500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MG,3132,FRANCO CARTAFINA GOMES,PHS,1.0,119106.35,31673.13,153900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MG,1999,IGOR TARCIANO TIMO,PODE,1.0,956.69,2100000.0,13900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,MG,1704,ALESSANDRA DA SILVA,PSL,1.0,0.0,49600.0,34100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018,MG,1707,ELIEL MÁRCIO DO CARMO,PSL,1.0,1175.0,253500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,MG,1720,GERALDO JUNIO DO AMARAL,PSL,1.0,5240.0,6500.0,24407.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MG,1745,CHARLLES THOMACELLI EVANGELISTA,PSL,1.0,2745.0,123645.57,27167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MG,1777,MARCELO EDUARDO FREITAS,PSL,1.0,1401.0,146714.63,216296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MS,1707,LUIZ ALBERTO OVANDO,PSL,1.0,0.0,19300.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,MS,1733,LOESTER CARLOS GOMES DE SOUZA,PSL,1.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,MT,1520,JUAREZ ALVES DA COSTA,MDB,1.0,30000.0,0.0,260500.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2018,MT,4522,VANDER ALBERTO MASSON,PSDB,1.0,2173.91,143737.0,68062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,PA,5555,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PSD,1.0,5357.6,142355.5,133953.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2018,PA,4567,CELSO SABINO DE OLIVEIRA,PSDB,1.0,100000.0,80000.0,85164.39,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,PA,1444,JOSE EDUARDO PEREIRA DA COSTA,PTB,1.0,233538.05,4520.0,11700.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,PE,1212,TÚLIO GADELHA SALES DE MELO,PDT,1.0,109097.95999999999,11510.0,40945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,PR,9000,EMERSON MIGUEL PETRIV,PROS,1.0,0.0,0.0,254200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2018,PR,5577,NELSI COGUETTO MARIA,PSD,1.0,35715.0,1736500.0,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,PR,1700,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,PSL,1.0,0.0,129000.0,264006.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,PR,1717,ALINE SLEUTJES,PSL,1.0,0.0,83135.4,13805.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018,PR,1777,LUIS FELIPE BONATTO FRANCISCHINI,PSL,1.0,0.0,50000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
