Modelo,Variável,Coeficiente pp,IC95 inferior,IC95 superior,p,p BH (família de todos os coeficientes)
Eleito fora: capital político 2018,Eleito federal no pleito anterior (proxy),-14.321749251052692,-29.926392679392,1.2828941772866143,0.07161784696711447,0.18037087384310313
Eleito fora: capital político 2018,"Vitória federal antiga, sem vitória no pleito anterior",-11.818419671342438,-35.5595550894299,11.922715746745023,0.32571856486779505,0.45811200155031134
Eleito fora: capital político 2018,Vitória anterior estadual/distrital,0.8613862663005942,-12.63038759489612,14.353160127497306,0.8994581135239095,0.9128828614869529
Eleito fora: capital político 2018,Vitória anterior para prefeito,23.541308539143824,1.356721298925706,45.72589577936194,0.037770370198014776,0.10308824800985371
Eleito fora: capital político 2018,Vitória anterior para vereador,13.034474918262445,-18.081465826507863,44.15041566303275,0.40790495906966395,0.5233497588063613
Eleito fora: capital político 2018,Votação histórica ≥ 10% do QE,-9.631024585357432,-28.330357058942766,9.068307888227903,0.3093235122024441,0.45605801659667505
Eleito fora: capital político 2018,Mulheres,-19.712602354648126,-36.956693883475964,-2.468510825820286,0.025480994369513007,0.08663538085634422
Eleito fora: capital político 2018,Pessoas pretas ou pardas,14.77167022008699,0.8416907887337594,28.70164965144022,0.03790009118009328,0.10308824800985371
Eleito fora: capital político 2022,Eleito federal no pleito anterior (proxy),-4.8991476498330355,-15.725422619027556,5.927127319361487,0.3720901838510622,0.49612024513474956
Eleito fora: capital político 2022,"Vitória federal antiga, sem vitória no pleito anterior",-8.553613449595646,-25.046981531444096,7.939754632252803,0.3065986694278642,0.45605801659667505
Eleito fora: capital político 2022,Vitória anterior estadual/distrital,-5.936488795360567,-14.056716533371654,2.183738942650519,0.15038365998819145,0.26910760208413204
Eleito fora: capital político 2022,Vitória anterior para prefeito,-2.4298515375239833,-13.68061453315802,8.820911458110052,0.6697213842719179,0.7345331311369422
Eleito fora: capital político 2022,Vitória anterior para vereador,-2.818947434084009,-15.641339218526461,10.003444350358444,0.6641617672831539,0.7345331311369422
Eleito fora: capital político 2022,Votação histórica ≥ 10% do QE,-4.489756120177384,-16.675907156562058,7.696394916207291,0.4671627146377748,0.5477080102649774
Eleito fora: capital político 2022,Mulheres,-5.0651864083437275,-11.346958154223834,1.2165853375363787,0.11302035298096506,0.22604070596193013
Eleito fora: capital político 2022,Pessoas pretas ou pardas,-3.073307222692954,-9.531091658714406,3.3844772133284975,0.3479756823857225,0.47324692804458257
