Dimensão,Ano,Grupo,Listas,Listas com eleitos,Eleitos,Posições,Cobertura %,Precisão %,Lift,Amplitude média %
magnitude,2018,16–31,260,109,176,746.0,88.35227272727273,20.844504021447722,2.0668856183460824,47.42624808521143
magnitude,2018,39–70,134,77,208,700.0,81.49038461538461,24.214285714285715,2.4471802465835633,28.867729020591597
magnitude,2018,8–12,465,116,129,872.0,93.02325581395348,13.761467889908257,1.498595067124571,59.70096987838922
magnitude,2022,16–31,231,81,176,1301.0,90.05681818181819,12.18293620292083,2.3977093840057004,45.82444077808959
magnitude,2022,39–70,123,61,208,1168.0,93.84245562130178,16.711670179135933,2.6318743267683673,34.65485870681495
magnitude,2022,8–12,357,65,129,1355.0,94.18604651162791,8.966789667896679,1.4438613614449596,58.81878159189083
sg_partido_norm,2018,AVANTE,25,4,7,60.0,85.71428571428571,10.0,3.5211178151794216,41.13499278499279
sg_partido_norm,2018,DC,25,1,1,98.0,0.0,0.0,0.0,66.26593406593406
sg_partido_norm,2018,DEM,27,16,29,59.0,89.65517241379311,44.067796610169495,1.9904037492765243,48.09417190996139
sg_partido_norm,2018,MDB,27,18,34,86.0,88.23529411764706,34.883720930232556,2.0118154239182497,38.77171182726738
sg_partido_norm,2018,NOVO,19,5,8,127.0,87.5,5.511811023622047,2.1475667189952907,73.30293936595875
sg_partido_norm,2018,PATRI,26,4,5,49.0,60.0,6.122448979591836,3.6643197061197235,30.04683216744076
sg_partido_norm,2018,PC DO B,27,7,9,40.0,100.0,22.5,1.361344537815126,58.48132320354542
sg_partido_norm,2018,PCB,13,0,0,18.0,,0.0,,80.12820512820512
sg_partido_norm,2018,PCO,4,0,0,5.0,,0.0,,100.0
sg_partido_norm,2018,PDT,27,17,28,62.0,78.57142857142857,35.483870967741936,2.758954514917121,44.79850635906536
sg_partido_norm,2018,PHS,27,4,6,79.0,50.0,3.7974683544303796,2.9759423041098563,55.74315176506099
sg_partido_norm,2018,PMB,18,0,0,14.0,,0.0,,33.143977310643976
sg_partido_norm,2018,PMN,26,2,3,40.0,100.0,7.5,5.142857142857142,48.855442802811226
sg_partido_norm,2018,PODE,27,9,11,48.0,90.9090909090909,20.833333333333332,2.6798530959817892,47.21182631740991
sg_partido_norm,2018,PP,26,22,37,74.0,100.0,50.0,1.701249705258194,63.74753451676528
sg_partido_norm,2018,PPL,24,1,1,100.0,100.0,1.0,9.0,43.82363007363008
sg_partido_norm,2018,PPS,26,7,8,52.0,100.0,15.384615384615385,2.4571200638213004,57.3967698967699
sg_partido_norm,2018,PR,27,22,33,69.0,100.0,47.82608695652174,1.6167431677228898,69.80266646933315
sg_partido_norm,2018,PRB,26,18,29,68.0,100.0,42.64705882352941,1.9521498697023552,62.897628537808515
sg_partido_norm,2018,PROS,27,5,8,54.0,87.5,12.962962962962964,2.7731092436974794,50.75849849437598
sg_partido_norm,2018,PRP,25,4,4,49.0,50.0,4.081632653061225,3.3432570539880024,37.106795543637645
sg_partido_norm,2018,PRTB,24,0,0,73.0,,0.0,,40.16867454367454
sg_partido_norm,2018,PSB,27,19,32,72.0,90.625,40.27777777777778,2.2168751246185407,53.41655205160952
sg_partido_norm,2018,PSC,27,7,7,40.0,85.71428571428571,15.0,2.6235710397387044,52.29737985729271
sg_partido_norm,2018,PSD,27,20,35,75.0,91.42857142857143,42.666666666666664,1.6519765804345072,60.97947259711965
sg_partido_norm,2018,PSDB,27,16,30,91.0,86.66666666666667,28.571428571428573,1.8741780201969684,51.33685849372122
sg_partido_norm,2018,PSL,27,18,52,82.0,41.34615384615385,26.21951219512195,1.8086894893403116,33.250276743858905
sg_partido_norm,2018,PSOL,27,5,10,201.0,100.0,4.975124378109452,6.0966014453822295,59.61769048799118
sg_partido_norm,2018,PSTU,16,0,0,5.0,,0.0,,15.17857142857143
sg_partido_norm,2018,PT,26,24,56,125.0,100.0,44.8,2.129474056262939,44.996621967775816
sg_partido_norm,2018,PTB,26,8,10,49.0,90.0,18.367346938775512,1.296,65.28989386681695
sg_partido_norm,2018,PTC,25,2,2,45.0,100.0,4.444444444444445,1.3333333333333333,49.74343036274071
sg_partido_norm,2018,PV,27,4,4,91.0,87.5,3.8461538461538463,2.121212121212121,58.15696649029982
sg_partido_norm,2018,REDE,27,1,1,70.0,100.0,1.4285714285714286,4.0,35.445443445443445
sg_partido_norm,2018,SOLIDARIEDADE,27,12,13,48.0,100.0,27.083333333333332,1.548731642189586,59.98887340841363
sg_partido_norm,2022,AGIR,22,0,0,94.0,,0.0,,30.783001398326476
sg_partido_norm,2022,AVANTE,21,3,7,134.0,100.0,5.223880597014926,3.631929046563193,36.91987318377612
sg_partido_norm,2022,CIDADANIA,23,4,5,74.0,80.0,5.405405405405405,2.2052067381316998,55.46991655687308
sg_partido_norm,2022,DC,21,0,0,163.0,,0.0,,80.39409400123687
sg_partido_norm,2022,MDB,25,18,42,142.0,84.52380952380952,25.0,2.1402188206461386,38.76088780500545
sg_partido_norm,2022,NOVO,17,3,3,87.0,66.66666666666667,2.2988505747126435,2.829015544041451,62.82913165266106
sg_partido_norm,2022,PATRIOTA,26,2,4,215.0,100.0,1.8604651162790697,3.3733681462140996,52.83464894177692
sg_partido_norm,2022,PC DO B,24,5,6,43.0,100.0,13.953488372093023,1.8556701030927836,68.33333333333333
sg_partido_norm,2022,PCB,10,0,0,0.0,,,,0.0
sg_partido_norm,2022,PCO,13,0,0,29.0,,0.0,,92.3076923076923
sg_partido_norm,2022,PDT,27,8,17,164.0,100.0,10.365853658536585,2.309688896988492,48.933040643566954
sg_partido_norm,2022,PL,25,23,99,164.0,80.4972804972805,48.59287054409006,2.2526111007227128,40.5825751832352
sg_partido_norm,2022,PMB,16,0,0,70.0,,0.0,,24.239444007343298
sg_partido_norm,2022,PMN,15,0,0,91.0,,0.0,,45.00177213244255
sg_partido_norm,2022,PODE,26,8,12,213.0,87.5,4.929577464788732,2.340280269694106,52.49972188630972
sg_partido_norm,2022,PP,25,18,47,188.0,100.0,25.0,2.0981369354755,52.36468257345292
sg_partido_norm,2022,PROS,22,3,3,66.0,100.0,4.545454545454546,6.134484659195297,23.112459776890194
sg_partido_norm,2022,PRTB,19,0,0,100.0,,0.0,,37.353405341808546
sg_partido_norm,2022,PSB,25,9,14,150.0,92.85714285714286,8.666666666666666,2.2671851401114016,43.14393348074974
sg_partido_norm,2022,PSC,23,5,6,118.0,100.0,5.084745762711864,3.998666554599705,32.99525823856781
sg_partido_norm,2022,PSD,26,15,42,182.0,95.23809523809524,21.978021978021978,1.8605384566833754,49.292177051909874
sg_partido_norm,2022,PSDB,25,7,13,107.0,92.3076923076923,11.214953271028037,2.435312852027646,44.44815761037018
sg_partido_norm,2022,PSOL,27,4,12,159.0,100.0,7.547169811320755,3.153545032029713,69.25932801026902
sg_partido_norm,2022,PSTU,13,0,0,21.0,,0.0,,68.71794871794873
sg_partido_norm,2022,PT,27,20,69,160.0,98.55072463768116,42.5,2.1671331630867336,50.055659937429574
sg_partido_norm,2022,PTB,26,1,1,108.0,0.0,0.0,0.0,31.171235766631426
sg_partido_norm,2022,PV,27,6,6,54.0,66.66666666666667,7.407407407407407,1.28,70.9455667789001
sg_partido_norm,2022,REDE,25,2,2,84.0,100.0,2.380952380952381,5.478260869565218,59.906993006993005
sg_partido_norm,2022,REPUBLICANOS,27,17,40,208.0,100.0,19.23076923076923,2.1294668251530817,49.8240348425375
sg_partido_norm,2022,SOLIDARIEDADE,24,4,4,138.0,100.0,2.898550724637681,4.590150250417362,44.9181806176487
sg_partido_norm,2022,UNIAO,26,22,59,281.0,99.15254237288136,20.818505338078293,1.5916739388067835,63.302675617141325
sg_partido_norm,2022,UP,13,0,0,17.0,,0.0,,96.15384615384616
sg_uf,2018,AC,30,7,8,54.0,100.0,14.814814814814815,1.2557226945716156,78.59722222222221
sg_uf,2018,AL,31,9,9,37.0,88.88888888888889,21.62162162162162,1.1059907834101383,59.89247311827957
sg_uf,2018,AM,32,7,8,60.0,100.0,13.333333333333334,1.2467532467532467,57.10699023199023
sg_uf,2018,AP,27,8,8,54.0,100.0,14.814814814814815,1.4088050314465408,64.89417989417989
sg_uf,2018,BA,33,16,39,107.0,92.3076923076923,33.64485981308411,1.6984757622984585,40.67212470322518
sg_uf,2018,CE,31,14,22,89.0,77.27272727272727,19.10112359550562,1.8892996677940173,50.35901194349559
sg_uf,2018,DF,34,8,8,85.0,87.5,8.235294117647058,1.76039119804401,65.73480033038857
sg_uf,2018,ES,32,9,10,81.0,90.0,11.11111111111111,2.4076433121019107,61.46993631368631
sg_uf,2018,GO,32,14,17,83.0,94.11764705882354,19.27710843373494,1.8033813400125236,55.79686372655123
sg_uf,2018,MA,33,14,18,68.0,100.0,26.470588235294116,2.2883559664836755,38.385635006188366
sg_uf,2018,MG,34,21,53,154.0,81.13207547169812,27.92207792207792,2.5403233466452764,26.0867840968069
sg_uf,2018,MS,31,6,8,55.0,75.0,10.909090909090908,2.142857142857143,54.56256109481916
sg_uf,2018,MT,29,7,8,69.0,75.0,8.695652173913043,1.274658573596358,65.61576354679804
sg_uf,2018,PA,32,10,17,45.0,82.3529411764706,31.11111111111111,1.456888007928642,58.675595238095234
sg_uf,2018,PB,31,10,12,57.0,100.0,21.05263157894737,1.7439446366782008,50.379136992040216
sg_uf,2018,PE,33,17,25,96.0,96.0,25.0,2.216816724757252,39.25591820476198
sg_uf,2018,PI,31,8,10,55.0,100.0,18.181818181818183,1.3316423589093216,55.64772145417306
sg_uf,2018,PR,33,16,30,151.0,83.33333333333333,16.556291390728475,2.1726033175740227,43.97583029636321
sg_uf,2018,RJ,33,21,46,153.0,69.56521739130434,20.915032679738562,3.4143035081817317,20.67678586550462
sg_uf,2018,RN,34,8,8,62.0,100.0,12.903225806451612,1.411764705882353,62.99019607843137
sg_uf,2018,RO,30,8,8,36.0,87.5,19.444444444444443,1.8092307692307694,51.325396825396815
sg_uf,2018,RR,32,8,8,60.0,87.5,11.666666666666666,2.2261484098939928,51.210317460317455
sg_uf,2018,RS,33,14,31,123.0,87.09677419354838,21.951219512195124,2.648346548692455,42.22565055987917
sg_uf,2018,SC,33,10,16,91.0,90.625,15.934065934065934,1.9701197292676684,51.507767297592785
sg_uf,2018,SE,31,7,8,60.0,100.0,13.333333333333334,1.5,57.155657962109565
sg_uf,2018,SP,34,19,70,286.0,83.57142857142857,20.454545454545453,2.6873569833916067,28.14149943234576
sg_uf,2018,TO,30,6,8,47.0,100.0,17.02127659574468,1.1851851851851851,59.72222222222222
sg_uf,2022,AC,21,3,8,73.0,100.0,10.95890410958904,1.3658536585365852,57.18820861678006
sg_uf,2022,AL,24,5,9,81.0,77.77777777777777,8.641975308641975,1.1145510835913313,54.38988095238094
sg_uf,2022,AM,25,5,8,82.0,87.5,8.536585365853659,1.4858490566037736,55.08888888888889
sg_uf,2022,AP,21,3,8,76.0,87.5,9.210526315789474,1.105263157894737,56.65721844293273
sg_uf,2022,BA,29,14,39,242.0,100.0,16.115702479338843,2.0208231890172748,41.435235537161276
sg_uf,2022,CE,28,7,22,175.0,90.9090909090909,11.428571428571429,2.082288295741472,53.35150069666588
sg_uf,2022,DF,30,5,8,120.0,100.0,6.666666666666667,1.6551724137931032,63.63095238095239
sg_uf,2022,ES,25,6,10,104.0,100.0,9.615384615384615,1.498054474708171,56.761471861471854
sg_uf,2022,GO,30,10,17,154.0,82.3529411764706,9.090909090909092,2.4331300232644137,51.60218104335752
sg_uf,2022,MA,29,13,18,149.0,100.0,12.080536912751677,2.286150999030322,49.87980023783909
sg_uf,2022,MG,32,16,53,244.0,98.11320754716981,21.311475409836067,3.527641437378042,31.59985587756261
sg_uf,2022,MS,23,4,8,78.0,100.0,10.256410256410257,1.5635179153094463,55.34679089026915
sg_uf,2022,MT,22,3,8,103.0,93.75,7.281553398058253,1.35,66.6432178932179
sg_uf,2022,PA,26,5,17,117.0,61.76470588235294,8.974358974358974,1.6558052827810743,39.605228858622525
sg_uf,2022,PB,26,7,12,101.0,100.0,11.881188118811881,1.9375235227700414,55.133360229514075
sg_uf,2022,PE,31,12,25,168.0,96.0,14.285714285714286,2.2865305714116206,38.52407670339359
sg_uf,2022,PI,23,4,10,84.0,80.0,9.523809523809524,1.3162705667276051,53.76152832674572
sg_uf,2022,PR,30,12,30,230.0,100.0,13.043478260869565,2.58321155849291,41.13287403436925
sg_uf,2022,RJ,30,15,46,291.0,89.54849498327759,14.155432196669311,2.6163678451220242,31.279166433608108
sg_uf,2022,RN,26,3,8,96.0,87.5,7.291666666666667,1.3846153846153846,56.64682539682539
sg_uf,2022,RO,21,3,8,85.0,100.0,9.411764705882353,1.44,57.775888133030996
sg_uf,2022,RR,24,4,8,106.0,100.0,7.547169811320755,1.28,70.41501322751323
sg_uf,2022,RS,29,15,31,176.0,93.54838709677419,16.477272727272727,3.31962173122256,37.99822653758665
sg_uf,2022,SC,28,7,16,132.0,81.25,9.848484848484848,2.2864874006426517,54.896680117268346
