unidade_reamostragem,alvo,comparacao,estimativa,ic95_inf,ic95_sup
lista,competitivos,2018 − 2022 (Total),0.0357023306949622,-0.11222929541846617,0.18752984741992662
lista,competitivos,2018 − 2022 (Pequeno (8–12)),0.03146898620105665,-0.0826026804471804,0.13807598014106942
lista,competitivos,2018 − 2022 (Médio (16–31)),-0.04017812425747347,-0.2703224123292787,0.18097754025917814
lista,competitivos,2018 − 2022 (Grande (39–70)),0.1441954543209536,-0.3010176396144057,0.6113081439218854
lista,competitivos,Grande − Pequeno (2018),1.1181185048257813,0.7907176337158385,1.5554690057928302
lista,competitivos,Grande − Pequeno (2022),1.0053920367058844,0.7549282635971163,1.3142126268003798
lista,eleitos,2018 − 2022 (Total),-0.13589078657234976,-0.34136393426659295,0.05923493368091827
lista,eleitos,2018 − 2022 (Pequeno (8–12)),0.05473370567961089,-0.11594856035008126,0.2087761596002602
lista,eleitos,2018 − 2022 (Médio (16–31)),-0.3308237656596189,-0.6634099576484537,-0.019811169920379932
lista,eleitos,2018 − 2022 (Grande (39–70)),-0.18469408018480538,-0.7302795559938917,0.3590114928424084
lista,eleitos,Grande − Pequeno (2018),0.9485851794589926,0.5807635165129222,1.4427763141643812
lista,eleitos,Grande − Pequeno (2022),1.1880129653234088,0.8705542626213408,1.6409322054177438
partido,competitivos,2018 − 2022 (Total),0.03570233069496087,-0.17642557859998795,0.2256819052165424
partido,competitivos,2018 − 2022 (Pequeno (8–12)),0.03146898620105709,-0.12539027172665373,0.16306704143423778
partido,competitivos,2018 − 2022 (Médio (16–31)),-0.04017812425747258,-0.2685653922849855,0.18931195512391072
partido,competitivos,2018 − 2022 (Grande (39–70)),0.14419545432095315,-0.4817758941144206,0.7703856927478189
partido,competitivos,Grande − Pequeno (2018),1.118118504825781,0.7514089561478237,1.724895879839003
partido,competitivos,Grande − Pequeno (2022),1.0053920367058848,0.7278443733668588,1.5180216554890005
partido,eleitos,2018 − 2022 (Total),-0.1358907865723511,-0.386359070914397,0.11410686719887293
partido,eleitos,2018 − 2022 (Pequeno (8–12)),0.05473370567961111,-0.13387760236063645,0.24034950665627722
partido,eleitos,2018 − 2022 (Médio (16–31)),-0.33082376565961846,-0.6788521576053963,0.007358299652189308
partido,eleitos,2018 − 2022 (Grande (39–70)),-0.1846940801848036,-0.9151429301711845,0.46414574414165893
partido,eleitos,Grande − Pequeno (2018),0.9485851794589932,0.5865787829461913,1.544847455622736
partido,eleitos,Grande − Pequeno (2022),1.188012965323408,0.8330398570517149,1.933307562728542
