Ano,UF,Partido,Magnitude,Regra,C,Financiados,E,Recursos R$,NECr,K,Recursos no núcleo R$,Massa de recursos %,Amplitude %,Excesso de massa pp,Fronteira válida,Distância relativa no corte %,Empate na fronteira,Candidatos com peso fracionário,Posições fracionárias,Acertos,Acertos mínimos por desempate,Acertos máximos por desempate,Esperado aleatório,Esperado entre financiados,K sorteio financiados,Eleitos financiados,Jaccard com principal,Composição idêntica à principal,Reescala x7 preserva implementação
2018,AC,MDB,8–12,Acumulado ≥ 80%,3,3,2,3657900.0,2.035560494846384,2,3603200.0,98.50460646819214,66.66666666666666,31.837939801525472,True,96.58807385229541,False,0,0.0,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,2,2,1.0,True,True
2018,AC,MDB,8–12,Receitas arredondadas a centavos,3,3,2,3657900.0,2.035560494846384,2,3603200.0,98.50460646819214,66.66666666666666,31.837939801525472,True,96.58807385229541,False,0,0.0,2.0,2.0,2.0,1.3333333333333333,1.3333333333333333,2,2,1.0,True,True
2018,AC,PATRI,8–12,Arredondado,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Piso,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Teto,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Uma posição a menos,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Uma posição a mais,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Acumulado ≥ 80%,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PATRI,8–12,Receitas arredondadas a centavos,1,0,0,0.0,,0,0.0,,0.0,,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,True
2018,AC,PC DO B,8–12,Arredondado,1,1,1,899232.95,1.0,1,899232.95,100.0,100.0,0.0,False,,False,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True,True
