Ano,Regra,Listas financiadas,K total,Massa agregada %,Massa mediana por lista %,Jaccard mediano por lista financiada,Jaccard P10 por lista financiada,Listas financiadas com composição idêntica %,Cobertura %,Precisão %,Lift eleitoral
2018,Acumulado ≥ 80%,786,2305,89.28482824073507,94.20864982080741,1.0,0.75,76.59033078880407,84.21052631578948,18.74186550976139,2.030905871213386
2018,Arredondado,786,2318,91.97355658719201,96.70575853626403,1.0,1.0,100.0,86.74463937621833,19.19758412424504,1.9815439888506898
2018,Piso,786,2062,86.41554996149948,90.06414985100739,1.0,0.5,67.43002544529261,82.55360623781677,20.53831231813773,2.1747393546275435
2018,Receitas arredondadas a centavos,786,2318,91.97355658719201,96.70575853626403,1.0,1.0,99.74554707379136,86.74463937621833,19.19758412424504,1.9815439888506898
2018,Teto,786,2619,94.0563164237524,100.0,1.0,0.5,61.704834605597966,87.67056530214425,17.172584956090112,1.7487387791762252
2018,Uma posição a mais,786,2897,94.97913617515924,100.0,0.75,0.5,26.33587786259542,88.6817738791423,15.703745253710736,1.6182525092879998
2018,Uma posição a menos,786,1860,81.57146633200048,83.80045110296261,0.8571428571428571,0.5,41.73027989821883,78.83365821962313,21.742831541218635,2.261963652585414
2022,Acumulado ≥ 80%,648,3760,83.15808347273823,83.57821262113322,0.875,0.69625,44.598765432098766,91.94257010046485,12.544292144026189,2.3379120125612616
2022,Arredondado,648,3824,85.62977362267073,88.24463118580766,1.0,1.0,100.0,92.63007947218473,12.426577084003862,2.1174347754230407
2022,Piso,648,3521,83.05431574462999,83.39469275241349,1.0,0.6666666666666666,53.24074074074075,91.64342480131955,13.352194525156754,2.255363006287256
2022,Receitas arredondadas a centavos,648,3824,85.62977362267073,88.24463118580766,1.0,1.0,99.84567901234568,92.63007947218473,12.426577084003862,2.1174347754230407
2022,Teto,648,4118,87.48159548800628,91.78740844277017,1.0,0.6666666666666666,54.629629629629626,93.47478382566102,11.644624599942714,1.9835249284498013
2022,Uma posição a mais,648,4372,88.9926135224468,93.79026132025882,0.8571428571428571,0.6666666666666666,15.432098765432098,94.80581796371268,11.124287423464,1.8841278711251908
2022,Uma posição a menos,648,3250,80.27345686165337,79.21833840582555,0.8333333333333334,0.5,11.419753086419753,89.88254111061129,14.187613412228796,2.381622821164413
