Ano,Perturbação máxima %,Universo,Listas,Cenários por lista,Jaccard médio entre listas,K alterado: média das frequências %,Composição alterada: média das frequências %
2018,5,Todas as listas financiadas,786,200,0.9716478158861179,1.7391857506361323,9.758269720101781
2018,5,Só listas originalmente com núcleo parcial,579,200,0.9619526769484548,2.2625215889464596,13.14853195164076
2018,10,Todas as listas financiadas,786,200,0.9640358777138166,3.762086513994911,12.131043256997456
2018,10,Só listas originalmente com núcleo parcial,579,200,0.9524101034249738,4.798791018998273,16.159758203799655
2022,5,Todas as listas financiadas,648,200,0.947344727188488,5.1419753086419755,23.352623456790123
2022,5,Só listas originalmente com núcleo parcial,548,200,0.9378752430987958,6.052007299270073,27.585766423357665
2022,10,Todas as listas financiadas,648,200,0.9324105175917048,11.013117283950617,29.982253086419753
2022,10,Só listas originalmente com núcleo parcial,548,200,0.9207390791960306,12.808394160583942,35.23905109489051
