Ano,Sorteio dentro da lista,Eleitos,K total,Observados,Esperados,"Sorteio P2,5","Sorteio P97,5",Cobertura observada %,Cobertura esperada %,Precisão observada %,Precisão esperada %,Lift,Acertos mínimos entre desempates,Acertos máximos entre desempates,N sorteios
2018,Todos os candidatos,513,2318,445.0,224.5723549433304,207.0,242.0,86.74463937621833,43.776287513319765,19.19758412424504,9.68819477753798,1.9815439888506905,443.0,446.0,10000
2018,Apenas recebedores positivos,513,2318,445.0,249.69464665843574,233.0,267.0,86.74463937621833,48.67342040125453,19.19758412424504,10.771986482244856,1.782176774533448,443.0,446.0,10000
2022,Todos os candidatos,513,3824,475.1923076923077,224.4188643767643,206.0,243.0,92.63007947218473,43.74636732490533,12.426577084003862,5.868694152112038,2.1174347754230403,471.0,479.0,10000
2022,Apenas recebedores positivos,513,3824,475.1923076923077,231.9866771394274,213.0,250.0,92.63007947218473,45.221574491116456,12.426577084003862,6.06659720552896,2.0483603349631587,471.0,479.0,10000
