Ano,Perfil,N válido,Ausentes,Total com perfil,Posições válidas no núcleo,Perfil no núcleo,Esperado intralista,Composição do núcleo %,Composição fora %,Cobertura do perfil %,Cobertura esperada do perfil %,Entrada entre sem perfil %,Lift do perfil
2018,Competitivo prévio (critério operacional do capítulo),7626,4,886.0,2316.0,716.75,382.5413834297511,30.947754749568222,3.187382297551789,80.89729119638827,43.17622837807574,23.727744807121663,1.8736534948816124
2018,Eleito federal no pleito anterior,7626,4,261.0,2316.0,259.0,121.48182613454433,11.18307426597582,0.03766478342749529,99.23371647509579,46.54476097108979,27.92939579090292,2.1320061464432603
2018,"Mulheres (descrição, não critério de validade)",7626,4,2414.0,2316.0,761.9545893719807,742.8049831425999,32.89959366891108,31.111966301845943,31.563984646726624,30.77071181203811,29.81668094067574,1.0257801262295847
2018,"Pessoas pretas ou pardas (descrição, não critério de validade)",7626,4,3113.0,2316.0,822.1638747725704,950.275913373111,35.49930374665676,43.14192326228682,26.410660930696128,30.52604925708677,33.10073399573299,0.8651843777184748
2018,Vitória anterior estadual/distrital,7626,4,316.0,2316.0,271.5,142.31997050590473,11.72279792746114,0.8380414312617702,85.91772151898734,45.03796534996985,27.968536251709985,1.9076732452578444
2018,Vitória anterior para prefeito,7626,4,19.0,2316.0,8.0,6.191128561940582,0.3454231433506045,0.2071563088512241,42.10526315789474,32.584887168108324,30.340475877481268,1.2921715192896002
2018,Vitória anterior para vereador,7626,4,264.0,2316.0,104.16666666666667,85.080652980109,4.49769717904433,3.0100439422473317,39.45707070707071,32.2275200682231,30.04391922484832,1.2243284814823858
2018,"Vitória federal antiga, sem vitória no pleito anterior",7626,4,172.0,2316.0,161.5,81.20765264275047,6.973229706390328,0.1977401129943503,93.8953488372093,47.21375153648283,28.90394419103837,1.9887288296642736
2018,Votação histórica ≥ 10% do QE,7626,4,869.0,2316.0,703.75,372.4780328914006,30.38644214162349,3.1120527306967984,80.98388952819333,42.86283462501733,23.86044102412313,1.8893731652765275
2022,Competitivo prévio (critério operacional do capítulo),9672,3,1287.0,3822.0,1064.115233785822,563.0315686910832,27.841842851539038,3.8099960036611615,82.68183634699471,43.747596634893796,32.89069488627523,1.8899743690387403
2022,Eleito federal no pleito anterior,9672,3,425.0,3822.0,411.46153846153845,175.46984592300396,10.765608018355271,0.23142669296515464,96.81447963800905,41.28702257011858,36.88264801058139,2.3449130891816448
2022,"Mulheres (descrição, não critério de validade)",9672,3,3404.0,3822.0,1383.8890580247107,1385.1575260636607,36.20850491953717,34.53181097393657,40.65479018874003,40.692054232187445,38.8977495528923,0.9990842427557285
2022,"Pessoas pretas ou pardas (descrição, não critério de validade)",9616,59,4629.0,3813.75,1782.7637225997341,1905.8875191898387,46.745689219265394,49.05400969279617,38.512934167200996,41.17276991120844,40.7256121395682,0.9353981830772246
2022,Vitória anterior estadual/distrital,9672,3,387.0,3822.0,351.7307692307692,171.67881916501204,9.202793543452884,0.6028928336620645,90.88650367720135,44.361451980623265,37.375005177913096,2.048772067174444
2022,Vitória anterior para prefeito,9672,3,35.0,3822.0,16.5,13.057307704605916,0.4317111459968603,0.3162393162393162,47.142857142857146,37.30659344173119,39.488430009339005,1.2636601949864203
2022,Vitória anterior para vereador,9672,3,423.0,3822.0,204.4032967032967,185.27335181929283,5.348071603958574,3.736695782849629,48.32229236484555,43.79984676579027,39.11338202288575,1.1032525438556449
2022,"Vitória federal antiga, sem vitória no pleito anterior",9672,3,142.0,3822.0,125.33333333333333,61.62936177849121,3.2792604221175647,0.284900284900285,88.26291079812206,43.400958998937476,38.78978663868485,2.0336626847412034
2022,Votação histórica ≥ 10% do QE,9672,3,1276.0,3822.0,1055.115233785822,557.9677579493953,27.60636404463166,3.775807969473127,82.6892816446569,43.727880717037245,32.95479712022603,1.8909967802862104
