Ano,Listas,Listas financiadas,Listas sem recursos,Núcleo = lista inteira,Fronteiras comparáveis,NECr mediano,K total,Massa agregada %,Massa por lista P25 %,Massa por lista mediana %,Massa por lista P75 %,Amplitude mediana %,Excesso de massa mediano pp,Distância no corte mediana %,Empates no corte,Empates entre fronteiras %,Candidatos com peso fracionário
2018,859,786,73,207,579,1.8781287826229383,2318,91.97355658719201,88.61281361382896,96.70575853626403,100.0,50.0,42.21136006850293,83.33333333333334,49,8.46286701208981,226
2022,711,648,63,100,548,4.8144236052308536,3824,85.62977362267073,82.03560201310407,88.24463118580766,95.80157415078708,50.0,33.333333333333336,19.161370652840375,108,19.708029197080293,477
