Ano,Regra,N válido,Ausentes,Total com perfil,Posições válidas no núcleo,Perfil no núcleo,Esperado intralista,Composição do núcleo %,Composição fora %,Cobertura do perfil %,Cobertura esperada do perfil %,Entrada entre sem perfil %,Lift do perfil
2018,Acumulado ≥ 80%,7626,4,886.0,2303.0,694.5833333333334,360.5910963342128,30.159936314951516,3.59602980775252,78.395410082769,40.69876933794727,23.863748763600395,1.9262353962549337
2018,Arredondado,7626,4,886.0,2316.0,716.75,382.5413834297511,30.947754749568222,3.187382297551789,80.89729119638827,43.17622837807574,23.727744807121663,1.8736534948816124
2018,Piso,7626,4,886.0,2060.0,668.25,332.50561936970996,32.439320388349515,3.9121451670858787,75.42325056433408,37.52885094466252,20.649109792284868,2.009740470752703
2018,Receitas arredondadas a centavos,7626,4,886.0,2316.0,716.75,382.5413834297511,30.947754749568222,3.187382297551789,80.89729119638827,43.17622837807574,23.727744807121663,1.8736534948816124
2018,Teto,7626,4,886.0,2617.0,732.2333333333333,436.7971952661798,27.97987517513692,3.0698076795102143,82.64484574868321,49.29990917225506,27.963897131552915,1.6763691279819637
2018,Uma posição a mais,7626,4,886.0,2895.0,750.0111111111111,481.69283728197996,25.907119554787947,2.8744216632612334,84.65136694256333,54.367137390742656,31.82476096274316,1.5570318947301665
2018,Uma posição a menos,7626,4,886.0,1858.0,620.6666666666667,304.6278547657464,33.40509508432006,4.600092464170133,70.05267118133936,34.382376384395755,18.358061325420376,2.037458679357962
2022,Acumulado ≥ 80%,9672,3,1287.0,3758.0,1047.2146304675716,528.9836519381736,27.866275424895463,4.054537868319723,81.36865815598847,41.102070857666945,32.328984729068914,1.9796729570575986
2022,Arredondado,9672,3,1287.0,3822.0,1064.115233785822,563.0315686910832,27.841842851539038,3.8099960036611615,82.68183634699471,43.747596634893796,32.89069488627523,1.8899743690387403
2022,Piso,9672,3,1287.0,3519.0,1030.7969079939667,519.7516442718634,29.292324751178363,4.163872777604962,80.09299984413104,40.38474314466693,29.67445548009581,1.983248960064461
2022,Receitas arredondadas a centavos,9672,3,1287.0,3822.0,1064.115233785822,563.0315686910832,27.841842851539038,3.8099960036611615,82.68183634699471,43.747596634893796,32.89069488627523,1.8899743690387403
2022,Teto,9672,3,1287.0,4116.0,1094.365233785822,611.4124411197603,26.588076622590428,3.4671484199816045,85.03226369742207,47.506794181799556,36.036192799215,1.7898969013152015
2022,Uma posição a mais,9672,3,1287.0,4370.0,1120.850226244344,651.1637941104086,25.64874659598041,3.1337188561987186,87.09014966933519,50.59547739785615,38.749550074605324,1.7213030521385182
2022,Uma posição a menos,9672,3,1287.0,3248.0,987.6357968828556,479.4457718431863,30.407506061664275,4.66009033494932,76.73937815717603,37.2529737251893,26.95723557682939,2.0599530851757817
