Ano,Partido,Listas financiadas,Massa por lista mediana %,Distância no corte mediana %,Empates no corte,Total com perfil,Cobertura do perfil %,Lift do perfil,Eleitos,Eleitos no núcleo,Esperados,Cobertura eleitoral %,Precisão eleitoral %,Lift eleitoral
2018,AVANTE,22,96.99070281299859,85.93062307428963,2,19.0,52.63157894736842,1.8321518861845043,7,6.0,1.7040043290043292,85.71428571428571,10.0,3.5211178151794216
2018,DC,24,100.0,18.84730400605546,5,5.0,25.0,0.9311512415349888,1,0.0,0.22727272727272727,0.0,0.0,0.0
2018,DEM,25,93.06930693069307,86.54595820978818,0,44.0,90.9090909090909,2.0821535511609697,29,26.0,13.062676358728991,89.65517241379311,44.067796610169495,1.9904037492765243
2018,MDB,27,92.5594200572624,86.91847253886972,1,72.0,80.55555555555556,2.1569524473929578,34,30.0,14.911904761904763,88.23529411764706,34.883720930232556,2.0118154239182497
2018,NOVO,19,89.11179440037404,0.0,7,2.0,50.0,1.2857142857142856,8,7.0,3.259502923976608,87.5,5.511811023622047,2.1475667189952907
2018,PATRI,18,97.8716432199202,93.38059228621577,2,14.0,64.28571428571429,4.37808857687052,5,3.0,0.8187058555479607,60.0,6.122448979591836,3.6643197061197235
2018,PC DO B,27,100.0,98.84698434988933,1,18.0,94.44444444444444,1.4871028037383178,9,9.0,6.611111111111111,100.0,22.5,1.361344537815126
2018,PCB,12,100.0,59.53608935726316,1,0.0,,,0,0.0,0.0,,0.0,
2018,PCO,4,100.0,,0,0.0,,,0,0.0,0.0,,0.0,
2018,PDT,27,93.15068493150685,83.59429172932332,0,49.0,65.3061224489796,2.3066664818922886,28,22.0,7.974035048802129,78.57142857142857,35.483870967741936,2.758954514917121
2018,PHS,26,91.97038741519518,74.18205,3,21.0,52.38095238095238,1.8805578092072917,6,3.0,1.0080840599150458,50.0,3.7974683544303796,2.9759423041098563
2018,PMB,10,99.24242424242425,97.58248981104259,0,3.0,66.66666666666667,1.3333333333333333,0,0.0,0.0,,0.0,
2018,PMN,26,100.0,100.0,0,9.0,88.88888888888889,2.9634005848816947,3,3.0,0.5833333333333334,100.0,7.5,5.142857142857142
2018,PODE,23,100.0,97.02380952380952,0,21.0,85.71428571428571,2.311805254232359,11,10.0,3.7315478281231704,90.9090909090909,20.833333333333332,2.6798530959817892
2018,PP,26,96.83711084372275,79.98343991651029,0,55.0,94.54545454545455,1.5683054122702922,37,37.0,21.748717948717946,100.0,50.0,1.701249705258194
2018,PPL,17,91.66666666666666,20.86718293395675,3,4.0,75.0,1.222222222222222,1,1.0,0.1111111111111111,100.0,1.0,9.0
2018,PPS,25,95.86831527497891,89.04229776646673,0,17.0,100.0,1.9250943673709493,8,8.0,3.255844155844156,100.0,15.384615384615385,2.4571200638213004
2018,PR,27,99.79716024340772,92.85714285714286,1,51.0,96.07843137254902,1.5479267457529768,33,33.0,20.41140526140526,100.0,47.82608695652174,1.6167431677228898
2018,PRB,26,97.27534148094895,92.84067391364206,0,38.0,89.47368421052632,1.8131416670341314,29,29.0,14.855416815114527,100.0,42.64705882352941,1.9521498697023552
2018,PROS,26,100.0,99.38673789795928,0,28.0,67.85714285714286,2.036574017028823,8,7.0,2.524242424242424,87.5,12.962962962962964,2.7731092436974794
2018,PRP,21,94.86938625723056,91.9068925920856,0,7.0,71.42857142857143,1.8949675769476666,4,2.0,0.5982190324295588,50.0,4.081632653061225,3.3432570539880024
2018,PRTB,20,96.77099186131144,87.33071988595866,3,8.0,37.5,1.117201427603471,0,0.0,0.0,,0.0,
2018,PSB,27,94.42840475499145,77.4064837905237,0,49.0,87.75510204081633,2.1138267307212777,32,29.0,13.081476569407602,90.625,40.27777777777778,2.2168751246185407
2018,PSC,26,100.0,86.58603733024054,0,20.0,95.0,1.69407944943181,7,6.0,2.2869592281356987,85.71428571428571,15.0,2.6235710397387044
2018,PSD,25,97.01927325246865,51.82716666666667,1,56.0,87.5,1.769827179649788,35,32.0,19.370734657499366,91.42857142857143,42.666666666666664,1.6519765804345072
2018,PSDB,27,90.58823529411765,48.970328098388194,1,60.0,83.33333333333333,1.918161270467446,30,26.0,13.87274833010127,86.66666666666667,28.571428571428573,1.8741780201969684
2018,PSL,22,93.10845051632904,92.5,2,22.0,27.272727272727273,1.3238905658880324,52,21.5,11.887059733974434,41.34615384615385,26.21951219512195,1.8086894893403116
2018,PSOL,27,89.6072712402921,5.787888643438528,4,15.0,86.66666666666667,2.8471222413492185,10,10.0,1.640258115867872,100.0,4.975124378109452,6.0966014453822295
2018,PSTU,3,100.0,100.0,0,0.0,,,0,0.0,0.0,,0.0,
2018,PT,26,91.3449359384697,75.17009156024153,4,91.0,90.65934065934066,2.0406333110700943,56,56.0,26.29757326007326,100.0,44.8,2.129474056262939
2018,PTB,25,98.46082089552239,71.37995842469459,1,25.0,80.0,1.726622345107324,10,9.0,6.944444444444444,90.0,18.367346938775512,1.296
2018,PTC,24,100.0,99.36406995230524,2,7.0,42.857142857142854,2.069487493692785,2,2.0,1.5,100.0,4.444444444444445,1.3333333333333333
2018,PV,27,89.77927588034301,34.937411548630266,2,21.0,71.42857142857143,1.8791946308724836,4,3.5,1.65,87.5,3.8461538461538463,2.121212121212121
2018,REDE,24,99.16737703829557,99.09749072796936,1,6.0,66.66666666666667,2.172053704624565,1,1.0,0.25,100.0,1.4285714285714286,4.0
2018,SOLIDARIEDADE,25,100.0,96.31944444444444,2,29.0,79.3103448275862,1.396431046815746,13,13.0,8.39396551724138,100.0,27.083333333333332,1.548731642189586
2022,AGIR,15,85.43689320388349,14.285714285714285,6,2.0,50.0,0.8686131386861314,0,0.0,0.0,,0.0,
2022,AVANTE,17,84.44704046115471,9.702405001945936,6,36.0,74.53703703703702,2.0186102141009985,7,7.0,1.9273504273504274,100.0,5.223880597014926,3.631929046563193
