Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,AM,PMB,9,1.7763401109057302,2,100.0,22.22222222222222,100.0,True,False,0
2018,AM,PMN,7,2.6666666666666665,3,100.0,42.857142857142854,100.0,True,False,0
2018,AM,PODE,5,2.508554264072091,3,91.3265306122449,60.0,15.0,True,False,0
2018,AM,PP,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AM,PPL,5,,0,,0.0,,False,False,0
2018,AM,PPS,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AM,PR,3,1.805850118111584,2,88.43640020110608,66.66666666666666,31.547619047619047,True,False,0
2018,AM,PRB,2,1.82786756845185,2,100.0,100.0,,False,False,0
2018,AM,PROS,2,1.719902173225961,2,100.0,100.0,,False,False,0
2018,AM,PRP,4,1.0,1,100.0,25.0,100.0,True,False,0
2018,AM,PRTB,3,,0,,0.0,,False,False,0
2018,AM,PSB,2,1.7763401109057302,2,100.0,100.0,,False,False,0
2018,AM,PSC,4,1.0,1,100.0,25.0,100.0,True,False,0
2018,AM,PSD,4,3.0,3,100.0,75.0,100.0,True,False,0
2018,AM,PSDB,1,1.0,1,100.0,100.0,,False,False,0
2018,AM,PSL,1,1.0,1,100.0,100.0,,False,False,0
2018,AM,PSOL,13,6.192903925737834,6,77.95385520430767,46.15384615384615,0.0,True,True,9
2018,AM,PSTU,1,,0,,0.0,,False,False,0
2018,AM,PT,4,2.4600599178507476,2,89.26410883809778,50.0,80.2284708755546,True,False,0
2018,AM,PTB,1,1.0,1,100.0,100.0,,False,False,0
2018,AM,PTC,4,3.000000000000001,3,100.0,75.0,100.0,True,False,0
2018,AM,PV,2,1.0,1,100.0,50.0,100.0,True,False,0
2018,AM,REDE,7,2.0,2,100.0,28.57142857142857,100.0,True,False,0
2018,AM,SOLIDARIEDADE,1,1.0,1,100.0,100.0,,False,False,0
