ano_eleicao,sg_partido_norm,alvo,n_listas,H_observado,E_esperado,lift,denominador_pequeno
2018,PCO,eleitos,4,0.0,0.0,,True
2018,PMB,eleitos,18,0.0,0.0,,True
2018,PRTB,eleitos,24,0.0,0.0,,True
2018,PSTU,eleitos,16,0.0,0.0,,True
2022,PROS,competitivos,22,11.0,3.4037086887102874,3.231768933835537,True
2022,CIDADANIA,competitivos,23,15.0,5.249242424242424,2.8575552027709628,False
2022,PTB,competitivos,26,25.0,8.75479291423314,2.8555786807196943,False
2022,PMN,competitivos,15,2.0,0.7089522280208751,2.821064552661382,True
2022,PSC,competitivos,23,26.0,9.566579522140607,2.7177947917357894,False
2022,PDT,competitivos,27,43.83333333333333,17.416839885260934,2.5167213812666125,False
2022,PSDB,competitivos,25,44.5,19.991236417867597,2.225975375901571,False
2022,SOLIDARIEDADE,competitivos,24,27.0,12.208557400046761,2.211563505438946,False
2022,PL,competitivos,25,95.72307692307692,46.43830559649387,2.0612956414650947,False
2022,MDB,competitivos,25,73.0,36.404517786135436,2.0052456244263688,False
2022,REPUBLICANOS,competitivos,27,96.0,49.461937040270236,1.940886381417696,False
2022,REDE,competitivos,25,11.5,5.933333333333334,1.9382022471910112,False
2022,AVANTE,competitivos,21,27.333333333333332,14.191446448170412,1.9260428056547538,False
2022,PSOL,competitivos,27,15.0,7.885162252035316,1.902307082663797,False
2022,NOVO,competitivos,17,10.058823529411764,5.328205128205129,1.8878446470022077,False
2022,PV,competitivos,27,12.0,6.613636363636363,1.8144329896907216,False
2022,PRTB,competitivos,19,1.0,0.5555555555555556,1.7999999999999998,True
2022,PP,competitivos,25,97.16666666666667,54.24774458127742,1.7911650966628738,False
2022,PSB,competitivos,25,57.0,31.870770374875107,1.7884726139200948,False
2022,PATRIOTA,competitivos,26,26.0,14.763347905927443,1.7611181532585216,False
2022,PT,competitivos,27,96.0,54.74162699746224,1.753692852506018,False
2022,PSD,competitivos,26,98.66666666666666,57.95589453476144,1.702444030218311,False
2022,PODE,competitivos,26,45.5,27.937228411393697,1.628651179350477,False
2022,PMB,competitivos,16,1.0,0.6666666666666666,1.5,True
2022,PC DO B,competitivos,24,15.0,10.3,1.4563106796116503,False
