ano_eleicao,sg_partido_norm,n_listas,n_listas_financiadas,bancada,bancada_listas_financiadas,alvo,H_observado,E_esperado,H_maximo,lift,teto_lift,lift_normalizado,dp_nulo_lift,denominador_pequeno
2018,AVANTE,25,22,7,7,competitividade,11.0,5.103084415584416,19.0,2.1555590901860984,3.7232384285032607,0.4243326908474972,0.2786449478506451,False
2018,AVANTE,25,22,7,7,eleicao,6.0,1.7040043290043292,7.0,3.5211178151794216,4.107970784375992,0.8111780933891898,0.43941177047837854,True
2018,DC,25,24,1,1,competitividade,1.25,1.4030303030303028,5.0,0.8909287257019439,3.5637149028077757,-0.04254422914911536,0.6931746490527028,True
2018,DC,25,24,1,1,eleicao,0.0,0.22727272727272727,1.0,0.0,4.4,-0.29411764705882354,1.8439088914585777,True
2018,DEM,27,25,29,29,competitividade,44.0,21.78504171267329,46.0,2.0197344848049257,2.111540597750604,0.917406423902587,0.12184268941976067,False
2018,DEM,27,25,29,29,eleicao,26.0,13.062676358728991,29.0,1.9904037492765243,2.2200657203468923,0.811762622914223,0.1709110250689747,False
2018,MDB,27,27,34,34,competitividade,63.0,29.083152958152958,72.0,2.1662025465618933,2.4756600532135926,0.7902921435206005,0.11607603464489545,False
2018,MDB,27,27,34,34,eleicao,30.0,14.911904761904763,34.0,2.0118154239182497,2.280057480440683,0.7904453037295747,0.17074289101469117,False
2018,NOVO,19,19,8,8,competitividade,1.0,0.7777777777777778,2.0,1.2857142857142856,2.571428571428571,0.1818181818181818,0.8329931278350429,True
2018,NOVO,19,19,8,8,eleicao,7.0,3.259502923976608,8.0,2.1475667189952907,2.454361964566046,0.7890516576715498,0.3990965866394561,True
2018,PATRI,26,18,5,5,competitividade,11.0,3.3254622005046457,15.0,3.3078108656086145,4.510651180375383,0.6573740161111213,0.35729147727852917,True
2018,PATRI,26,18,5,5,eleicao,3.0,0.8187058555479607,5.0,3.6643197061197235,6.107199510199539,0.5216791904837154,0.9078031429482245,True
2018,PC DO B,27,27,9,9,competitividade,17.0,11.431623931623932,17.0,1.4871028037383178,1.4871028037383178,1.0,0.10885086488847158,False
2018,PC DO B,27,27,9,9,eleicao,9.0,6.611111111111111,9.0,1.361344537815126,1.361344537815126,1.0,0.12492494745645802,False
2018,PCB,13,12,0,0,competitividade,0.0,0.0,0.0,,,,,True
2018,PCB,13,12,0,0,eleicao,0.0,0.0,0.0,,,,,True
2018,PCO,4,4,0,0,competitividade,0.0,0.0,0.0,,,,,True
2018,PCO,4,4,0,0,eleicao,0.0,0.0,0.0,,,,,True
2018,PDT,27,27,28,28,competitividade,34.0,14.30338903677413,40.0,2.3770590251433226,2.7965400295803793,0.7665061743516867,0.1768431088622336,False
2018,PDT,27,27,28,28,eleicao,22.0,7.974035048802129,24.0,2.758954514917121,3.0097685617277685,0.8752025225257647,0.23919687748745158,False
2018,PHS,27,26,6,6,competitividade,13.0,6.537497307074772,19.0,1.9885285437795308,2.9063109486008525,0.5185557710325626,0.23764647983269477,False
2018,PHS,27,26,6,6,eleicao,3.0,1.0080840599150458,6.0,2.9759423041098563,5.9518846082197125,0.3990283418216083,0.7569710962084787,True
2018,PMB,18,10,0,0,competitividade,2.0,1.5,2.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,True
