Ano,Candidaturas,Listas,Financiadas,Sem_recursos,Competitivos,Perfil_ausente,Eleitos,Eleitos_sem_recursos,Posicoes_Top_NECr,Percentual_nacional_Top_NECr
2018,7630,859,786,73,886,4,513,3,2318,30.38007863695937
2022,9675,711,648,63,1287,3,513,0,3824,39.52454780361757
