ano_eleicao,sg_uf,sg_partido_norm,C,NECr,total_recursos_partidarios,lista_sem_recursos,E,k_top_necr,proporcao_top_necr,empate_corte_top_necr,k_80,proporcao_nucleo_80,empate_corte_nucleo_80,k_acima_igual,proporcao_acima_divisao_igual,empate_corte_acima_divisao_igual,top_necr__nucleo_80__comum,top_necr__nucleo_80__uniao,top_necr__nucleo_80__jaccard,top_necr__nucleo_80__A_contida_B,top_necr__nucleo_80__B_contida_A,top_necr__nucleo_80__pesos_identicos,top_necr__nucleo_80__concordancia_candidaturas,top_necr__acima_divisao_igual__comum,top_necr__acima_divisao_igual__uniao,top_necr__acima_divisao_igual__jaccard,top_necr__acima_divisao_igual__A_contida_B,top_necr__acima_divisao_igual__B_contida_A,top_necr__acima_divisao_igual__pesos_identicos,top_necr__acima_divisao_igual__concordancia_candidaturas,nucleo_80__acima_divisao_igual__comum,nucleo_80__acima_divisao_igual__uniao,nucleo_80__acima_divisao_igual__jaccard,nucleo_80__acima_divisao_igual__A_contida_B,nucleo_80__acima_divisao_igual__B_contida_A,nucleo_80__acima_divisao_igual__pesos_identicos,nucleo_80__acima_divisao_igual__concordancia_candidaturas,C_ref,E_ref,F,F_validos,recebedores,k_ref,C_sobre_NECr,NECr_sobre_C_pct,k_sobre_C_pct,C_menos_NECr,sem_recursos_candidatos
2018,MT,PP,1,1.0,2163379.83,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,MT,PPL,3,1.975609756097561,1800.0,False,0,2,0.6666666666666666,False,2,0.6666666666666666,False,2,0.6666666666666666,False,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,3,0,0.0,3,2,2.0,1.5185185185185186,65.85365853658537,66.66666666666667,1.024390243902439,1
2018,MT,PPS,6,1.2400848064347922,497377.88,False,0,1,0.16666666666666666,False,1,0.16666666666666666,False,1,0.16666666666666666,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,6,0,0.0,6,5,1.0,4.838378769634172,20.66808010724654,16.666666666666668,4.759915193565208,1
2018,MT,PR,2,1.999637011860044,1977556.0,False,0,2,1.0,False,2,1.0,False,1,0.5,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.5,1.0,2.0,0.5,0.5,1.0,False,0.5,2,0,1.0,2,2,2.0,1.000181527016055,99.98185059300219,100.0,0.0003629881399560553,0
2018,MT,PRB,1,1.0,1325875.64,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0,1,0,1.0,1,1,1.0,1.0,100.0,100.0,0.0,0
2018,MT,PROS,4,3.873587287640396,754776.08,False,0,4,1.0,False,3,0.75,False,2,0.5,False,3.0,4.0,0.75,0.75,1.0,False,0.75,2.0,4.0,0.5,0.5,1.0,False,0.5,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.75,4,0,0.0,4,4,4.0,1.032634533049753,96.8396821910099,100.0,0.12641271235960394,0
2018,MT,PRP,2,1.0,120000.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2,0,0.0,2,1,1.0,2.0,50.0,50.0,1.0,1
2018,MT,PSB,4,1.3651492772267728,778616.28,False,0,1,0.25,False,1,0.25,False,1,0.25,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,4,0,0.0,4,4,1.0,2.930082494806564,34.12873193066932,25.0,2.634850722773227,0
2018,MT,PSC,6,2.4987860534772226,830013.2,False,0,2,0.3333333333333333,False,3,0.5,True,1,0.16666666666666666,False,2.0,3.0,0.6666666666666666,1.0,0.6666666666666666,False,0.8333333333333334,1.0,2.0,0.5,0.5,1.0,False,0.8333333333333334,1.0,3.0,0.3333333333333333,0.3333333333333333,1.0,False,0.6666666666666667,6,0,0.0,6,6,2.0,2.4011659548245885,41.64643422462038,33.333333333333336,3.5012139465227774,0
2018,MT,PSD,2,1.9974268698245707,762299.6799999999,False,0,2,1.0,False,2,1.0,False,1,0.5,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.5,1.0,2.0,0.5,0.5,1.0,False,0.5,2,0,0.0,2,2,2.0,1.0012882224697695,99.87134349122854,100.0,0.0025731301754292613,0
