ano_eleicao,desfecho,ordem,faixa,n,k,total,hits,expected,incidencia,lift
2018,competitividade,0,0–50%,7626,1304.5,886.0,507.8190476190477,244.4879470588733,0.3892825202139116,2.077071911838515
2018,competitividade,50,50–60%,7626,240.5,886.0,55.62380952380953,29.87840385553124,0.2312840312840313,1.861672724980996
2018,competitividade,60,60–70%,7626,345.5,886.0,75.93333333333334,42.38565748239256,0.2197780993728895,1.7914865037749343
2018,competitividade,70,70–80%,7626,412.5,886.0,55.207142857142856,43.83908793741568,0.1338354978354978,1.2593132169162853
2018,competitividade,80,80–90%,7626,706.0,886.0,49.71666666666667,69.61353244910343,0.0704202077431539,0.7141810639047234
2018,competitividade,90,90–95%,7626,661.0,886.0,26.238888888888887,72.17146018396467,0.0396957471844007,0.3635632259899702
2018,competitividade,95,Fora do Top-95%,7626,3956.0,886.0,115.46111111111112,383.6239110327192,0.0291863273789461,0.3009747510270898
2018,eleicao,0,0–50%,7630,1305.0,513.0,340.62380952380954,143.1121514595794,0.2610144134282065,2.3801180126903154
2018,eleicao,50,50–60%,7630,241.0,513.0,33.92142857142857,16.162861145288247,0.1407528156490812,2.0987267208762264
2018,eleicao,60,60–70%,7630,346.0,513.0,36.28333333333333,25.55826013974219,0.1048651252408477,1.4196323667945627
2018,eleicao,70,70–80%,7630,413.0,513.0,21.17142857142857,27.87968757683384,0.0512625389138706,0.7593854311703484
2018,eleicao,80,80–90%,7630,706.0,513.0,21.0,40.97865085359336,0.0297450424929178,0.512461966476833
2018,eleicao,90,90–95%,7630,661.0,513.0,8.18859649122807,40.80553907786683,0.0123881943891498,0.2006736505944021
2018,eleicao,95,Fora do Top-95%,7630,3958.0,513.0,51.81140350877193,218.50284974709612,0.0130902990168701,0.2371200355910254
2022,competitividade,0,0–50%,9672,1776.0,1287.0,679.0888888888888,255.84860189423907,0.3823698698698698,2.6542606989488493
2022,competitividade,50,50–60%,9672,498.0,1287.0,119.59188034188034,71.68000789458398,0.2401443380359043,1.6684133254806257
2022,competitividade,60,60–70%,9672,621.0,1287.0,112.5559829059829,85.74306437913286,0.1812495698969128,1.312712389287727
2022,competitividade,70,70–80%,9672,862.0,1287.0,135.97787833081952,115.71197777021776,0.1577469586204402,1.1751409054717397
2022,competitividade,80,80–90%,9672,1372.0,1287.0,106.9657616892911,189.38478331890943,0.0779633831554599,0.5648065267692017
2022,competitividade,90,90–95%,9672,1111.0,1287.0,45.00345471521942,153.5328755106344,0.0405071599596934,0.2931193372464536
2022,competitividade,95,Fora do Top-95%,9672,3432.0,1287.0,87.81615312791783,415.0986892322824,0.0255874572051042,0.2115548793717759
2022,eleicao,0,0–50%,9675,1778.0,513.0,361.2166666666666,100.37507937826382,0.203158980127484,3.598668802097983
2022,eleicao,50,50–60%,9675,498.0,513.0,50.12307692307692,29.56071532062306,0.1006487488415199,1.6955975651952004
2022,eleicao,60,60–70%,9675,621.0,513.0,35.51282051282051,31.29007671910948,0.0571865064618687,1.134954728031463
2022,eleicao,70,70–80%,9675,862.0,513.0,24.81282051282051,40.520551065482536,0.0287851746088405,0.612351507083953
2022,eleicao,80,80–90%,9675,1372.0,513.0,14.734615384615385,72.03205761017205,0.0107395155864543,0.2045563582864336
2022,eleicao,90,90–95%,9675,1111.0,513.0,5.433333333333334,62.04838391302046,0.0048904890489048,0.0875660732912849
2022,eleicao,95,Fora do Top-95%,9675,3433.0,513.0,21.166666666666668,177.1731359933286,0.0061656471502087,0.1194688266254072
