ano_eleicao,regra,limiar,desfecho,N_valido,ausentes,k_valido,total_perfil,observados,esperados_acaso,cobertura,precisao,proporcao_perfil_fora,cobertura_acaso,precisao_acaso,lift
2018,top_50,50.0,competitividade,7626.0,4,1304.5,886.0,507.8190476190476,244.4879470588733,0.573159195958293,0.3892825202139115,0.0598245594211741,0.2759457641748006,0.1874188938741842,2.0770719118385146
2018,top_50,50.0,eleicao,7630.0,0,1305.0,513.0,340.62380952380954,143.1121514595794,0.6639840341594728,0.2610144134282065,0.0272531526444569,0.2789710554767629,0.1096644838770723,2.3801180126903154
2018,top_60,60.0,competitividade,7626.0,4,1545.0,886.0,563.4428571428571,274.3663509144045,0.6359400193485971,0.3646879334257975,0.0530434374045622,0.3096685676234814,0.1775833986501,2.053615012427808
2018,top_60,60.0,eleicao,7630.0,0,1546.0,513.0,374.54523809523806,159.27501260486764,0.7301076765989046,0.2422672950163247,0.0227571929495006,0.310477607416896,0.103023940882838,2.3515630730126937
2018,top_70,70.0,competitividade,7626.0,4,1890.5,886.0,639.3761904761905,316.75200839679707,0.7216435558422014,0.3382048085036712,0.04299953090817,0.3575079101543985,0.1675493300168194,2.018538710179985
2018,top_70,70.0,eleicao,7630.0,0,1892.0,513.0,410.8285714285714,184.8332727446098,0.8008354218880535,0.2171398369072787,0.0178061046656376,0.3602987772799411,0.0976920046218867,2.222698139399537
2018,top_80,80.0,competitividade,7626.0,4,2303.0,886.0,694.5833333333334,360.5910963342128,0.78395410082769,0.3015993631495151,0.0359602980775251,0.4069876933794727,0.156574509914986,1.9262353962549337
2018,top_80,80.0,eleicao,7630.0,0,2305.0,513.0,432.0,212.7129603214437,0.8421052631578947,0.1874186550976138,0.0152112676056338,0.4146451468254262,0.0922832799659191,2.030905871213386
2018,top_90,90.0,competitividade,7626.0,4,3009.0,886.0,744.3,430.2046287833162,0.8400677200902934,0.2473579262213359,0.0306909248429716,0.4855582717644652,0.1429726250526142,1.7301069077406095
2018,top_90,90.0,eleicao,7630.0,0,3011.0,513.0,453.0,253.69161117503705,0.8830409356725146,0.1504483560278977,0.0129898246373673,0.494525557846076,0.0842549356277107,1.78563255561276
2018,top_95,95.0,competitividade,7626.0,4,3670.0,886.0,770.5388888888889,502.3760889672809,0.8696827188362177,0.2099561005146836,0.0291863273789461,0.5670159017689401,0.1368872177022563,1.5337889398216822
2018,top_95,95.0,eleicao,7630.0,0,3672.0,513.0,461.18859649122805,294.49715025290385,0.8990031120686707,0.1255960230095937,0.0130902990168701,0.5740685190115085,0.0802007489795489,1.566020574715835
2018,top_necr,,competitividade,7626.0,4,2316.0,886.0,716.75,382.5413834297511,0.8089729119638827,0.3094775474956822,0.0318738229755178,0.4317622837807574,0.1651733089074918,1.8736534948816124
2018,acima_divisao_igual,,competitividade,7626.0,4,1770.0,886.0,616.0,263.4651775000258,0.6952595936794582,0.3480225988700565,0.0461065573770491,0.2973647601580426,0.1488503827683761,2.3380698954036903
2018,top_necr,,eleicao,7630.0,0,2318.0,513.0,445.0,224.57235494333048,0.8674463937621832,0.1919758412424504,0.0128012048192771,0.4377628751331978,0.0968819477753798,1.9815439888506896
2018,acima_divisao_igual,,eleicao,7630.0,0,1772.0,513.0,392.0,158.07210231246086,0.7641325536062378,0.2212189616252821,0.0206555138272447,0.3081327530457327,0.0892054753456325,2.479880980042476
2022,top_50,50.0,competitividade,9672.0,3,1776.0,1287.0,679.0888888888888,255.84860189423904,0.5276525943192609,0.3823698698698698,0.0769897557131599,0.1987945624663862,0.1440588974629724,2.6542606989488493
2022,top_50,50.0,eleicao,9675.0,0,1778.0,513.0,361.2166666666667,100.37507937826382,0.7041260558804419,0.203158980127484,0.0192203790468954,0.1956629227646468,0.0564539254095972,3.598668802097984
2022,top_60,60.0,competitividade,9672.0,3,2274.0,1287.0,798.6807692307692,327.528609788823,0.6205755782678859,0.3512228536634869,0.0660069249485307,0.2544899842958998,0.1440319304260435,2.4385068826375984
2022,top_60,60.0,eleicao,9675.0,0,2276.0,513.0,411.3397435897436,129.93579469888687,0.8018318588494027,0.1807292370780947,0.0137397292080357,0.2532861495105007,0.0570895407288606,3.1657153792223465
2022,top_70,70.0,competitividade,9672.0,3,2895.0,1287.0,911.236752136752,413.2716741679559,0.7080316644419208,0.3147622632596725,0.0554468419452925,0.3211124119409136,0.1427536007488621,2.204933967398938
2022,top_70,70.0,eleicao,9675.0,0,2897.0,513.0,446.8525641025641,161.22587141799636,0.8710576298295596,0.1542466565766531,0.0097591377836287,0.3142804511072053,0.0556526998336197,2.771593418428784
2022,top_80,80.0,competitividade,9672.0,3,3757.0,1287.0,1047.2146304675716,528.9836519381736,0.8136865815598847,0.2787369258630747,0.0405385240122448,0.4110207085766694,0.1407994814847414,1.9796729570575984
2022,top_80,80.0,eleicao,9675.0,0,3759.0,513.0,471.6653846153847,201.74642248347888,0.9194257010046484,0.1254762927947285,0.0069869194362094,0.3932678800847541,0.0536702374257725,2.3379120125612616
2022,top_90,90.0,competitividade,9672.0,3,5129.0,1287.0,1154.1803921568626,718.3684352570831,0.8967990615049437,0.2250302967745881,0.0292361012201491,0.558172832367586,0.1400601355541203,1.6066691345421031
2022,top_90,90.0,eleicao,9675.0,0,5131.0,513.0,486.4,273.77848009365096,0.948148148148148,0.0947963359968817,0.0058538732394366,0.5336812477459083,0.0533577236588678,1.7766188191037438
2022,top_95,95.0,competitividade,9672.0,3,6240.0,1287.0,1199.183846872082,871.9013107677175,0.9317667807863884,0.1921768985371926,0.0255874572051042,0.6774679959345125,0.1397277741614931,1.3753664916688668
2022,top_95,95.0,eleicao,9675.0,0,6242.0,513.0,491.8333333333333,335.82686400667137,0.9587394411955816,0.0787941898964007,0.0061656471502087,0.6546332631708993,0.0538011637306426,1.4645443412876071
2022,top_necr,,competitividade,9672.0,3,3822.0,1287.0,1064.115233785822,563.0315686910832,0.8268183634699472,0.2784184285153904,0.0380999600366116,0.437475966348938,0.1473133356072954,1.8899743690387405
2022,acima_divisao_igual,,competitividade,9672.0,3,2686.0,1287.0,947.0,400.9123280686543,0.7358197358197358,0.3525688756515264,0.0486687661036358,0.3115091904185348,0.1492599881119338,2.3621124462848417
2022,top_necr,,eleicao,9675.0,0,3824.0,513.0,475.1923076923077,224.41886437676425,0.9263007947218472,0.1242657708400386,0.0064617488134835,0.4374636732490531,0.0586869415211203,2.1174347754230407
2022,acima_divisao_igual,,eleicao,9675.0,0,2688.0,513.0,461.0,164.31628951578935,0.898635477582846,0.1715029761904762,0.0074423930156004,0.3203046579255153,0.0611295719924811,2.8055648125848287
