ano_eleicao,regra_k,eleitos_total,eleitos_top_necr,cobertura,eleitos_esperados_aleatorio,cobertura_aleatoria,n_posicoes_top_necr,n_candidatos,eleitos_em_listas_sem_recursos
2018,piso,513,423.5,0.8255360623781677,194.59312310178726,0.37932382670913695,2058,7630,3
2018,arredondado,513,445.0,0.8674463937621832,224.57235494333048,0.43776287513319784,2318,7630,3
2018,teto,513,449.75,0.8767056530214425,257.1853528700626,0.5013359705069447,2618,7630,3
2022,piso,513,470.13076923076926,0.9164342480131954,208.450155438477,0.4063355856500526,3520,9675,0
2022,arredondado,513,475.1923076923077,0.9263007947218473,224.41886437676425,0.4374636732490531,3824,9675,0
2022,teto,513,479.525641025641,0.9347478382566101,241.7542800434619,0.4712559065174696,4119,9675,0
