ano_eleicao,sg_uf,sg_partido_norm,limiar,C,k,proporcao,lista_sem_recursos,massa_financeira,empate_corte
2018,AC,PRP,95,3,3,1.0,False,1.0,False
2018,AC,PRTB,50,2,1,0.5,False,1.0,False
2018,AC,PRTB,60,2,1,0.5,False,1.0,False
2018,AC,PRTB,70,2,1,0.5,False,1.0,False
2018,AC,PRTB,80,2,1,0.5,False,1.0,False
2018,AC,PRTB,90,2,1,0.5,False,1.0,False
2018,AC,PRTB,95,2,1,0.5,False,1.0,False
2018,AC,PSB,50,1,1,1.0,False,1.0,False
2018,AC,PSB,60,1,1,1.0,False,1.0,False
2018,AC,PSB,70,1,1,1.0,False,1.0,False
2018,AC,PSB,80,1,1,1.0,False,1.0,False
2018,AC,PSB,90,1,1,1.0,False,1.0,False
2018,AC,PSB,95,1,1,1.0,False,1.0,False
2018,AC,PSC,50,1,1,1.0,False,1.0,False
2018,AC,PSC,60,1,1,1.0,False,1.0,False
2018,AC,PSC,70,1,1,1.0,False,1.0,False
2018,AC,PSC,80,1,1,1.0,False,1.0,False
2018,AC,PSC,90,1,1,1.0,False,1.0,False
2018,AC,PSC,95,1,1,1.0,False,1.0,False
2018,AC,PSD,50,1,1,1.0,False,1.0,False
2018,AC,PSD,60,1,1,1.0,False,1.0,False
2018,AC,PSD,70,1,1,1.0,False,1.0,False
2018,AC,PSD,80,1,1,1.0,False,1.0,False
2018,AC,PSD,90,1,1,1.0,False,1.0,False
2018,AC,PSD,95,1,1,1.0,False,1.0,False
2018,AC,PSDB,50,1,1,1.0,False,1.0,False
2018,AC,PSDB,60,1,1,1.0,False,1.0,False
2018,AC,PSDB,70,1,1,1.0,False,1.0,False
2018,AC,PSDB,80,1,1,1.0,False,1.0,False
2018,AC,PSDB,90,1,1,1.0,False,1.0,False
2018,AC,PSDB,95,1,1,1.0,False,1.0,False
2018,AC,PSL,50,8,3,0.375,False,0.6759883542752069,False
2018,AC,PSL,60,8,3,0.375,False,0.6759883542752069,False
2018,AC,PSL,70,8,4,0.5,False,0.8988660741648788,False
2018,AC,PSL,80,8,4,0.5,False,0.8988660741648788,False
2018,AC,PSL,90,8,5,0.625,False,1.0,False
2018,AC,PSL,95,8,5,0.625,False,1.0,False
2018,AC,PSOL,50,4,2,0.5,False,0.648300390873174,False
2018,AC,PSOL,60,4,2,0.5,False,0.648300390873174,False
2018,AC,PSOL,70,4,3,0.75,False,0.8424794572299007,False
2018,AC,PSOL,80,4,3,0.75,False,0.8424794572299007,False
2018,AC,PSOL,90,4,4,1.0,False,1.0,False
2018,AC,PSOL,95,4,4,1.0,False,1.0,False
2018,AC,PT,50,5,2,0.4,False,0.6479481641468683,True
2018,AC,PT,60,5,2,0.4,False,0.6479481641468683,True
2018,AC,PT,70,5,3,0.6,False,0.9719222462203023,False
2018,AC,PT,80,5,3,0.6,False,0.9719222462203023,False
2018,AC,PT,90,5,3,0.6,False,0.9719222462203023,False
2018,AC,PT,95,5,3,0.6,False,0.9719222462203023,False
2018,AC,PTB,50,1,1,1.0,False,1.0,False
2018,AC,PTB,60,1,1,1.0,False,1.0,False
2018,AC,PTB,70,1,1,1.0,False,1.0,False
2018,AC,PTB,80,1,1,1.0,False,1.0,False
2018,AC,PTB,90,1,1,1.0,False,1.0,False
2018,AC,PTB,95,1,1,1.0,False,1.0,False
2018,AC,PTC,50,1,1,1.0,False,1.0,False
2018,AC,PTC,60,1,1,1.0,False,1.0,False
2018,AC,PTC,70,1,1,1.0,False,1.0,False
2018,AC,PTC,80,1,1,1.0,False,1.0,False
2018,AC,PTC,90,1,1,1.0,False,1.0,False
2018,AC,PTC,95,1,1,1.0,False,1.0,False
2018,AC,PV,50,2,1,0.5,False,0.8452121951336232,False
2018,AC,PV,60,2,1,0.5,False,0.8452121951336232,False
2018,AC,PV,70,2,1,0.5,False,0.8452121951336232,False
2018,AC,PV,80,2,1,0.5,False,0.8452121951336232,False
2018,AC,PV,90,2,2,1.0,False,1.0,False
2018,AC,PV,95,2,2,1.0,False,1.0,False
2018,AC,REDE,50,2,1,0.5,False,0.9958071278825996,False
2018,AC,REDE,60,2,1,0.5,False,0.9958071278825996,False
2018,AC,REDE,70,2,1,0.5,False,0.9958071278825996,False
2018,AC,REDE,80,2,1,0.5,False,0.9958071278825996,False
2018,AC,REDE,90,2,1,0.5,False,0.9958071278825996,False
2018,AC,REDE,95,2,1,0.5,False,0.9958071278825996,False
2018,AC,SOLIDARIEDADE,50,1,1,1.0,False,1.0,False
2018,AC,SOLIDARIEDADE,60,1,1,1.0,False,1.0,False
2018,AC,SOLIDARIEDADE,70,1,1,1.0,False,1.0,False
2018,AC,SOLIDARIEDADE,80,1,1,1.0,False,1.0,False
2018,AC,SOLIDARIEDADE,90,1,1,1.0,False,1.0,False
2018,AC,SOLIDARIEDADE,95,1,1,1.0,False,1.0,False
2018,AL,AVANTE,50,1,1,1.0,False,1.0,False
2018,AL,AVANTE,60,1,1,1.0,False,1.0,False
2018,AL,AVANTE,70,1,1,1.0,False,1.0,False
2018,AL,AVANTE,80,1,1,1.0,False,1.0,False
2018,AL,AVANTE,90,1,1,1.0,False,1.0,False
2018,AL,AVANTE,95,1,1,1.0,False,1.0,False
2018,AL,DC,50,2,1,0.5,False,0.6217020175892395,False
2018,AL,DC,60,2,1,0.5,False,0.6217020175892395,False
2018,AL,DC,70,2,2,1.0,False,1.0,False
2018,AL,DC,80,2,2,1.0,False,1.0,False
2018,AL,DC,90,2,2,1.0,False,1.0,False
2018,AL,DC,95,2,2,1.0,False,1.0,False
2018,AL,DEM,50,2,0,0.0,True,,False
2018,AL,DEM,60,2,0,0.0,True,,False
2018,AL,DEM,70,2,0,0.0,True,,False
2018,AL,DEM,80,2,0,0.0,True,,False
2018,AL,DEM,90,2,0,0.0,True,,False
2018,AL,DEM,95,2,0,0.0,True,,False
2018,AL,MDB,50,3,1,0.3333333333333333,False,0.5,True
2018,AL,MDB,60,3,2,0.6666666666666666,False,1.0,False
2018,AL,MDB,70,3,2,0.6666666666666666,False,1.0,False
2018,AL,MDB,80,3,2,0.6666666666666666,False,1.0,False
2018,AL,MDB,90,3,2,0.6666666666666666,False,1.0,False
2018,AL,MDB,95,3,2,0.6666666666666666,False,1.0,False
2018,AL,NOVO,50,3,1,0.3333333333333333,False,0.6208145608091792,False
2018,AL,NOVO,60,3,1,0.3333333333333333,False,0.6208145608091792,False
2018,AL,NOVO,70,3,2,0.6666666666666666,False,0.8104072804045895,True
2018,AL,NOVO,80,3,2,0.6666666666666666,False,0.8104072804045895,True
2018,AL,NOVO,90,3,3,1.0,False,1.0,False
2018,AL,NOVO,95,3,3,1.0,False,1.0,False
2018,AL,PATRI,50,3,0,0.0,True,,False
2018,AL,PATRI,60,3,0,0.0,True,,False
2018,AL,PATRI,70,3,0,0.0,True,,False
2018,AL,PATRI,80,3,0,0.0,True,,False
2018,AL,PATRI,90,3,0,0.0,True,,False
2018,AL,PATRI,95,3,0,0.0,True,,False
2018,AL,PC DO B,50,4,1,0.25,False,0.5715142776696566,False
2018,AL,PC DO B,60,4,2,0.5,False,0.8649266546409775,False
2018,AL,PC DO B,70,4,2,0.5,False,0.8649266546409775,False
2018,AL,PC DO B,80,4,2,0.5,False,0.8649266546409775,False
2018,AL,PC DO B,90,4,3,0.75,False,0.9800663372494175,False
2018,AL,PC DO B,95,4,3,0.75,False,0.9800663372494175,False
2018,AL,PDT,50,2,1,0.5,False,0.9230769230769231,False
2018,AL,PDT,60,2,1,0.5,False,0.9230769230769231,False
2018,AL,PDT,70,2,1,0.5,False,0.9230769230769231,False
2018,AL,PDT,80,2,1,0.5,False,0.9230769230769231,False
2018,AL,PDT,90,2,1,0.5,False,0.9230769230769231,False
2018,AL,PDT,95,2,2,1.0,False,1.0,False
2018,AL,PHS,50,6,2,0.3333333333333333,False,0.6331646457050928,False
2018,AL,PHS,60,6,2,0.3333333333333333,False,0.6331646457050928,False
2018,AL,PHS,70,6,3,0.5,False,0.7870015140939495,False
2018,AL,PHS,80,6,4,0.6666666666666666,False,0.9110331933796437,False
2018,AL,PHS,90,6,4,0.6666666666666666,False,0.9110331933796437,False
2018,AL,PHS,95,6,5,0.8333333333333334,False,1.0,False
2018,AL,PMN,50,1,1,1.0,False,1.0,False
2018,AL,PMN,60,1,1,1.0,False,1.0,False
2018,AL,PMN,70,1,1,1.0,False,1.0,False
2018,AL,PMN,80,1,1,1.0,False,1.0,False
2018,AL,PMN,90,1,1,1.0,False,1.0,False
2018,AL,PMN,95,1,1,1.0,False,1.0,False
2018,AL,PODE,50,1,0,0.0,True,,False
2018,AL,PODE,60,1,0,0.0,True,,False
2018,AL,PODE,70,1,0,0.0,True,,False
2018,AL,PODE,80,1,0,0.0,True,,False
2018,AL,PODE,90,1,0,0.0,True,,False
2018,AL,PODE,95,1,0,0.0,True,,False
2018,AL,PP,50,5,1,0.2,False,0.6039971804599249,False
