ano_eleicao,regra,limiar,desfecho,N_valido,ausentes,k_valido,total_perfil,observados,esperados_acaso,cobertura,precisao,proporcao_perfil_fora,cobertura_acaso,precisao_acaso,lift
2018,top_50,50.0,competitividade,7626.0,4,1304.5,886.0,507.8190476190476,244.48794705887332,0.573159195958293,0.3892825202139115,0.05982455942117416,0.2759457641748006,0.18741889387418423,2.0770719118385146
2018,top_50,50.0,eleicao,7630.0,0,1305.0,513.0,340.62380952380954,143.1121514595794,0.6639840341594728,0.2610144134282065,0.02725315264445699,0.27897105547676293,0.10966448387707234,2.3801180126903154
2018,top_60,60.0,competitividade,7626.0,4,1545.0,886.0,563.4428571428571,274.3663509144045,0.6359400193485971,0.3646879334257975,0.05304343740456223,0.3096685676234814,0.1775833986501,2.053615012427808
2018,top_60,60.0,eleicao,7630.0,0,1546.0,513.0,374.54523809523806,159.27501260486764,0.7301076765989046,0.24226729501632474,0.022757192949500647,0.310477607416896,0.10302394088283806,2.3515630730126937
2018,top_70,70.0,competitividade,7626.0,4,1890.5,886.0,639.3761904761905,316.75200839679707,0.7216435558422014,0.33820480850367124,0.04299953090817009,0.3575079101543985,0.1675493300168194,2.018538710179985
2018,top_70,70.0,eleicao,7630.0,0,1892.0,513.0,410.8285714285714,184.83327274460981,0.8008354218880535,0.21713983690727875,0.017806104665637604,0.36029877727994114,0.09769200462188679,2.222698139399537
2018,top_80,80.0,competitividade,7626.0,4,2303.0,886.0,694.5833333333334,360.5910963342128,0.78395410082769,0.30159936314951513,0.035960298077525196,0.4069876933794727,0.15657450991498603,1.9262353962549337
2018,top_80,80.0,eleicao,7630.0,0,2305.0,513.0,432.0,212.71296032144366,0.8421052631578947,0.18741865509761388,0.015211267605633802,0.41464514682542625,0.09228327996591916,2.030905871213386
2018,top_90,90.0,competitividade,7626.0,4,3009.0,886.0,744.3,430.2046287833162,0.8400677200902934,0.24735792622133598,0.030690924842971635,0.48555827176446525,0.1429726250526142,1.7301069077406095
2018,top_90,90.0,eleicao,7630.0,0,3011.0,513.0,453.0,253.69161117503702,0.8830409356725146,0.15044835602789772,0.012989824637367395,0.49452555784607605,0.08425493562771073,1.7856325556127601
2018,top_95,95.0,competitividade,7626.0,4,3670.0,886.0,770.5388888888889,502.3760889672809,0.8696827188362177,0.2099561005146836,0.029186327378946185,0.5670159017689401,0.13688721770225637,1.5337889398216822
2018,top_95,95.0,eleicao,7630.0,0,3672.0,513.0,461.18859649122805,294.49715025290385,0.8990031120686707,0.1255960230095937,0.013090299016870123,0.5740685190115085,0.08020074897954897,1.566020574715835
2018,top_necr,,competitividade,7626.0,4,2316.0,886.0,716.75,382.5413834297511,0.8089729119638827,0.30947754749568224,0.03187382297551789,0.4317622837807574,0.16517330890749182,1.8736534948816124
2018,acima_divisao_igual,,competitividade,7626.0,4,1770.0,886.0,616.0,263.4651775000258,0.6952595936794582,0.3480225988700565,0.04610655737704918,0.29736476015804264,0.14885038276837614,2.3380698954036903
2018,top_necr,,eleicao,7630.0,0,2318.0,513.0,445.0,224.57235494333048,0.8674463937621832,0.1919758412424504,0.012801204819277108,0.43776287513319784,0.09688194777537984,1.9815439888506898
2018,acima_divisao_igual,,eleicao,7630.0,0,1772.0,513.0,392.0,158.07210231246086,0.7641325536062378,0.22121896162528218,0.020655513827244794,0.3081327530457327,0.08920547534563254,2.479880980042476
2022,top_50,50.0,competitividade,9672.0,3,1776.0,1287.0,679.0888888888888,255.84860189423904,0.5276525943192609,0.38236986986986987,0.07698975571315997,0.1987945624663862,0.14405889746297243,2.6542606989488493
2022,top_50,50.0,eleicao,9675.0,0,1778.0,513.0,361.2166666666667,100.37507937826382,0.7041260558804419,0.20315898012748407,0.01922037904689544,0.19566292276464683,0.0564539254095972,3.598668802097984
2022,top_60,60.0,competitividade,9672.0,3,2274.0,1287.0,798.6807692307692,327.528609788823,0.6205755782678859,0.3512228536634869,0.06600692494853079,0.2544899842958998,0.14403193042604354,2.4385068826375984
2022,top_60,60.0,eleicao,9675.0,0,2276.0,513.0,411.3397435897436,129.93579469888687,0.8018318588494027,0.1807292370780947,0.013739729208035735,0.2532861495105007,0.05708954072886066,3.1657153792223465
2022,top_70,70.0,competitividade,9672.0,3,2895.0,1287.0,911.2367521367521,413.2716741679559,0.7080316644419208,0.31476226325967255,0.05544684194529259,0.32111241194091367,0.14275360074886215,2.204933967398938
2022,top_70,70.0,eleicao,9675.0,0,2897.0,513.0,446.8525641025641,161.22587141799636,0.8710576298295596,0.15424665657665312,0.009759137783628786,0.31428045110720537,0.05565269983361973,2.771593418428784
2022,top_80,80.0,competitividade,9672.0,3,3757.0,1287.0,1047.2146304675716,528.9836519381736,0.8136865815598847,0.2787369258630747,0.040538524012244864,0.41102070857666945,0.14079948148474145,1.9796729570575986
2022,top_80,80.0,eleicao,9675.0,0,3759.0,513.0,471.66538461538465,201.74642248347888,0.9194257010046485,0.12547629279472855,0.006986919436209491,0.39326788008475416,0.05367023742577252,2.3379120125612616
2022,top_90,90.0,competitividade,9672.0,3,5129.0,1287.0,1154.1803921568626,718.3684352570831,0.8967990615049437,0.22503029677458813,0.02923610122014911,0.558172832367586,0.1400601355541203,1.6066691345421031
2022,top_90,90.0,eleicao,9675.0,0,5131.0,513.0,486.4,273.77848009365096,0.9481481481481481,0.0947963359968817,0.005853873239436625,0.5336812477459083,0.05335772365886785,1.7766188191037438
2022,top_95,95.0,competitividade,9672.0,3,6240.0,1287.0,1199.183846872082,871.9013107677175,0.9317667807863885,0.19217689853719264,0.02558745720510429,0.6774679959345125,0.13972777416149318,1.3753664916688668
