ano_eleicao,desfecho,indicador,nao_decrescente,nao_crescente,minimo,maximo,valor_50,valor_95,passos_aumento,passos_queda
2018,competitividade,k_valido,True,False,1304.5,3670.0,1304.5,3670.0,5,0
2018,competitividade,cobertura,True,False,0.573159195958293,0.8696827188362177,0.573159195958293,0.8696827188362177,5,0
2018,competitividade,precisao,False,True,0.2099561005146836,0.3892825202139115,0.3892825202139115,0.2099561005146836,0,5
2018,competitividade,lift,False,True,1.5337889398216822,2.0770719118385146,2.0770719118385146,1.5337889398216822,0,5
2018,eleicao,k_valido,True,False,1305.0,3672.0,1305.0,3672.0,5,0
2018,eleicao,cobertura,True,False,0.6639840341594728,0.8990031120686707,0.6639840341594728,0.8990031120686707,5,0
2018,eleicao,precisao,False,True,0.1255960230095937,0.2610144134282065,0.2610144134282065,0.1255960230095937,0,5
2018,eleicao,lift,False,True,1.566020574715835,2.3801180126903154,2.3801180126903154,1.566020574715835,0,5
2022,competitividade,k_valido,True,False,1776.0,6240.0,1776.0,6240.0,5,0
2022,competitividade,cobertura,True,False,0.5276525943192609,0.9317667807863885,0.5276525943192609,0.9317667807863885,5,0
2022,competitividade,precisao,False,True,0.19217689853719264,0.38236986986986987,0.38236986986986987,0.19217689853719264,0,5
2022,competitividade,lift,False,True,1.3753664916688668,2.6542606989488493,2.6542606989488493,1.3753664916688668,0,5
2022,eleicao,k_valido,True,False,1778.0,6242.0,1778.0,6242.0,5,0
2022,eleicao,cobertura,True,False,0.7041260558804419,0.9587394411955815,0.7041260558804419,0.9587394411955815,5,0
2022,eleicao,precisao,False,True,0.07879418989640072,0.20315898012748407,0.20315898012748407,0.07879418989640072,0,5
2022,eleicao,lift,False,True,1.4645443412876071,3.598668802097984,3.598668802097984,1.4645443412876071,0,5
