ano_eleicao,desfecho,ordem,faixa,n,k,total,hits,expected,incidencia,lift
2018,competitividade,0,0–50%,7626,1304.5,886.0,507.81904761904764,244.4879470588733,0.3892825202139116,2.077071911838515
2018,competitividade,50,50–60%,7626,240.5,886.0,55.62380952380953,29.87840385553124,0.2312840312840313,1.8616727249809957
2018,competitividade,60,60–70%,7626,345.5,886.0,75.93333333333334,42.38565748239256,0.21977809937288953,1.7914865037749343
2018,competitividade,70,70–80%,7626,412.5,886.0,55.207142857142856,43.83908793741568,0.13383549783549784,1.2593132169162853
2018,competitividade,80,80–90%,7626,706.0,886.0,49.71666666666667,69.61353244910343,0.07042020774315393,0.7141810639047234
2018,competitividade,90,90–95%,7626,661.0,886.0,26.238888888888887,72.17146018396467,0.039695747184400734,0.36356322598997026
2018,competitividade,95,Fora do Top-95%,7626,3956.0,886.0,115.46111111111111,383.62391103271915,0.029186327378946185,0.3009747510270898
2018,eleicao,0,0–50%,7630,1305.0,513.0,340.62380952380954,143.1121514595794,0.2610144134282065,2.3801180126903154
2018,eleicao,50,50–60%,7630,241.0,513.0,33.92142857142857,16.162861145288247,0.1407528156490812,2.0987267208762264
2018,eleicao,60,60–70%,7630,346.0,513.0,36.28333333333333,25.55826013974219,0.10486512524084778,1.4196323667945627
2018,eleicao,70,70–80%,7630,413.0,513.0,21.17142857142857,27.879687576833838,0.05126253891387063,0.7593854311703484
2018,eleicao,80,80–90%,7630,706.0,513.0,21.0,40.97865085359336,0.029745042492917848,0.512461966476833
2018,eleicao,90,90–95%,7630,661.0,513.0,8.18859649122807,40.80553907786683,0.012388194389149879,0.20067365059440212
2018,eleicao,95,Fora do Top-95%,7630,3958.0,513.0,51.81140350877193,218.50284974709615,0.01309029901687012,0.23712003559102549
2022,competitividade,0,0–50%,9672,1776.0,1287.0,679.0888888888888,255.84860189423907,0.38236986986986987,2.6542606989488493
2022,competitividade,50,50–60%,9672,498.0,1287.0,119.59188034188034,71.68000789458398,0.2401443380359043,1.6684133254806255
2022,competitividade,60,60–70%,9672,621.0,1287.0,112.5559829059829,85.74306437913286,0.18124956989691288,1.312712389287727
2022,competitividade,70,70–80%,9672,862.0,1287.0,135.97787833081952,115.71197777021777,0.15774695862044028,1.1751409054717397
2022,competitividade,80,80–90%,9672,1372.0,1287.0,106.9657616892911,189.38478331890946,0.07796338315545999,0.5648065267692017
2022,competitividade,90,90–95%,9672,1111.0,1287.0,45.00345471521942,153.5328755106344,0.040507159959693444,0.2931193372464536
2022,competitividade,95,Fora do Top-95%,9672,3432.0,1287.0,87.81615312791783,415.0986892322824,0.02558745720510426,0.21155487937177597
2022,eleicao,0,0–50%,9675,1778.0,513.0,361.21666666666664,100.37507937826382,0.20315898012748404,3.598668802097983
2022,eleicao,50,50–60%,9675,498.0,513.0,50.12307692307692,29.56071532062306,0.10064874884151992,1.6955975651952004
2022,eleicao,60,60–70%,9675,621.0,513.0,35.51282051282051,31.29007671910948,0.05718650646186878,1.134954728031463
2022,eleicao,70,70–80%,9675,862.0,513.0,24.81282051282051,40.520551065482536,0.028785174608840502,0.612351507083953
2022,eleicao,80,80–90%,9675,1372.0,513.0,14.734615384615385,72.03205761017205,0.010739515586454362,0.20455635828643368
2022,eleicao,90,90–95%,9675,1111.0,513.0,5.433333333333334,62.04838391302046,0.004890489048904891,0.08756607329128492
2022,eleicao,95,Fora do Top-95%,9675,3433.0,513.0,21.166666666666668,177.1731359933286,0.006165647150208758,0.11946882662540721
