Ano,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2018,859,73,7630,2318.0,513,445.0,68.0,1873.0,30.38007863695937,50.0,86.74463937621833,19.19758412424504,1.9815439888506898
2022,711,63,9675,3824.0,513,475.1923076923077,37.80769230769232,3348.8076923076924,39.52454780361757,50.0,92.63007947218473,12.426577084003862,2.1174347754230407
