Ano,Magnitude,Listas,Listas sem núcleo,Candidatos,Posições no núcleo,Eleitos,Eleitos dentro,Eleitos fora,Não eleitos dentro,Amplitude agregada %,Amplitude mediana das listas %,Cobertura %,Precisão %,Lift
2018,16–31,260,18,2119,746.0,176,155.5,20.5,590.5,35.20528551203398,40.0,88.35227272727273,20.844504021447722,2.0668856183460824
2018,39–70,134,3,3801,700.0,208,169.5,38.5,530.5,18.41620626151013,20.526315789473685,81.49038461538461,24.214285714285715,2.4471802465835637
2018,8–12,465,52,1710,872.0,129,120.0,9.0,752.0,50.994152046783626,57.142857142857146,93.02325581395348,13.761467889908257,1.498595067124571
2022,16–31,231,21,3135,1301.0,176,158.5,17.5,1142.5,41.49920255183413,42.857142857142854,90.05681818181819,12.18293620292083,2.3977093840057004
2022,39–70,123,6,4157,1168.0,208,195.19230769230768,12.80769230769232,972.8076923076924,28.097185470291077,27.77777777777778,93.84245562130178,16.711670179135933,2.6318743267683677
2022,8–12,357,36,2383,1355.0,129,121.5,7.5,1233.5,56.861099454469155,62.5,94.18604651162791,8.966789667896679,1.4438613614449596
