Ano,Regra,Eleitos dentro,Eleitos fora,Cobertura %
2018,piso,423.5,89.5,82.55360623781677
2018,arredondado,445.0,68.0,86.74463937621833
2018,teto,449.75,63.25,87.67056530214425
2022,piso,470.13076923076926,42.86923076923074,91.64342480131954
2022,arredondado,475.1923076923077,37.80769230769232,92.63007947218473
2022,teto,479.525641025641,33.474358974359006,93.474783825661
