Ano,Grupo,Perfil,N válido ponderado,Ausência ponderada,Percentual
2022,Núcleo · não eleito,Pessoas pretas ou pardas,3338.5576923076924,10.25,49.56177159366733
2022,Fora · eleito,Eleito federal no pleito anterior,37.80769230769231,0.0,33.16378433367244
2022,Fora · eleito,"Vitória federal mais antiga, sem vitória no pleito anterior",37.80769230769231,0.0,1.3224821973550356
2022,Fora · eleito,Vitória anterior para deputado estadual/distrital,37.80769230769231,0.0,10.27466937945066
2022,Fora · eleito,Vitória anterior para prefeito,37.80769230769231,0.0,0.0
2022,Fora · eleito,Vitória anterior para vereador,37.80769230769231,0.0,9.969481180061038
2022,Fora · eleito,Votação histórica ≥ 10% do QE,37.80769230769231,0.0,47.71108850457783
2022,Fora · eleito,Alguma vitória eleitoral anterior,37.80769230769231,0.0,44.76093591047813
2022,Fora · eleito,Sem vitória nem votação relevante registrada,37.80769230769231,0.0,48.6266531027467
2022,Fora · eleito,Mulheres,37.80769230769231,0.0,12.919633774160735
2022,Fora · eleito,Pessoas pretas ou pardas,36.80769230769231,1.0,18.7042842215256
2022,Fora · não eleito,Eleito federal no pleito anterior,5812.192307692308,1.0,0.017205211855714445
2022,Fora · não eleito,"Vitória federal mais antiga, sem vitória no pleito anterior",5812.192307692308,1.0,0.27815092500071686
2022,Fora · não eleito,Vitória anterior para deputado estadual/distrital,5812.192307692308,1.0,0.5399789567024227
2022,Fora · não eleito,Vitória anterior para prefeito,5812.192307692308,1.0,0.3182964193307173
2022,Fora · não eleito,Vitória anterior para vereador,5812.192307692308,1.0,3.69615217726284
2022,Fora · não eleito,Votação histórica ≥ 10% do QE,5812.192307692308,1.0,3.4900136460945017
2022,Fora · não eleito,Alguma vitória eleitoral anterior,5812.192307692308,1.0,4.7981680545852665
2022,Fora · não eleito,Sem vitória nem votação relevante registrada,5812.192307692308,1.0,93.23337665035508
2022,Fora · não eleito,Mulheres,5812.192307692308,1.0,34.672395886205734
2022,Fora · não eleito,Pessoas pretas ou pardas,5765.442307692308,47.75,49.2477681760402
