Ano,Partido,Perfil,Candidatos com perfil,Perfil no núcleo (ponderado),Núcleo válido (ponderado),Ausência no núcleo (ponderada),Composição do núcleo %,Composição fora %,Entrada no núcleo entre candidatos do perfil %
2022,PSDB,Votação histórica ≥ 10% do QE,42,38.5,107.0,0.0,35.981308411214954,1.881720430107527,91.66666666666667
2022,PSDB,Alguma vitória eleitoral anterior,43,35.5,107.0,0.0,33.177570093457945,4.032258064516129,82.55813953488372
2022,PSDB,Sem vitória nem votação relevante registrada,239,62.0,107.0,0.0,57.94392523364486,95.16129032258064,25.94142259414226
2022,PSDB,Mulheres,112,42.666666666666664,107.0,0.0,39.875389408099686,37.27598566308244,38.09523809523809
2022,PSDB,Pessoas pretas ou pardas,138,37.33333333333333,107.0,0.0,34.890965732087224,54.12186379928316,27.053140096618357
2022,PSOL,Eleito federal no pleito anterior,6,6.0,159.0,0.0,3.7735849056603774,0.0,100.0
2022,PSOL,"Vitória federal mais antiga, sem vitória no pleito anterior",3,2.0,159.0,0.0,1.2578616352201257,0.684931506849315,66.66666666666667
2022,PSOL,Vitória anterior para deputado estadual/distrital,5,5.0,159.0,0.0,3.1446540880503147,0.0,100.0
2022,PSOL,Vitória anterior para prefeito,0,0.0,159.0,0.0,0.0,0.0,
2022,PSOL,Vitória anterior para vereador,8,4.333333333333333,159.0,0.0,2.7253668763102725,2.5114155251141552,54.166666666666664
2022,PSOL,Votação histórica ≥ 10% do QE,19,15.0,159.0,0.0,9.433962264150944,2.73972602739726,78.94736842105263
2022,PSOL,Alguma vitória eleitoral anterior,19,13.333333333333332,159.0,0.0,8.385744234800837,3.881278538812786,70.17543859649122
2022,PSOL,Sem vitória nem votação relevante registrada,281,142.66666666666666,159.0,0.0,89.72746331236897,94.74885844748859,50.771055753262154
2022,PSOL,Mulheres,129,84.0,159.0,0.0,52.83018867924528,30.82191780821918,65.11627906976744
2022,PSOL,Pessoas pretas ou pardas,176,107.0,159.0,0.0,67.29559748427673,47.26027397260274,60.79545454545455
2022,PSTU,Eleito federal no pleito anterior,0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,"Vitória federal mais antiga, sem vitória no pleito anterior",0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,Vitória anterior para deputado estadual/distrital,0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,Vitória anterior para prefeito,0,0.0,21.0,0.0,0.0,0.0,
2022,PSTU,Vitória anterior para vereador,0,0.0,21.0,0.0,0.0,0.0,
