Ano,Partido,UF,C,E,K,A,M,magnitude,esperado,amplitude,cobertura,precisao
2018,DEM,RR,5,0,1.0,0.0,8,8–12,0.0,20.0,,0.0
2018,DEM,RS,8,1,1.0,1.0,31,16–31,0.125,12.5,100.0,100.0
2018,DEM,SC,2,0,2.0,0.0,16,16–31,0.0,100.0,,0.0
2018,DEM,SE,5,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,DEM,SP,14,5,7.0,4.0,70,39–70,2.5,50.0,80.0,57.142857142857146
2018,DEM,TO,2,2,2.0,2.0,8,8–12,2.0,100.0,100.0,100.0
2018,MDB,AC,3,2,2.0,2.0,8,8–12,1.3333333333333333,66.66666666666667,100.0,100.0
2018,MDB,AL,3,1,2.0,0.0,9,8–12,0.6666666666666666,66.66666666666667,0.0,0.0
2018,MDB,AM,7,0,1.0,0.0,8,8–12,0.0,14.285714285714286,,0.0
2018,MDB,AP,4,0,1.0,0.0,8,8–12,0.0,25.0,,0.0
2018,MDB,BA,36,0,4.0,0.0,39,39–70,0.0,11.11111111111111,,0.0
2018,MDB,CE,6,1,3.0,1.0,22,16–31,0.5,50.0,100.0,33.333333333333336
2018,MDB,DF,3,0,1.0,0.0,8,8–12,0.0,33.333333333333336,,0.0
2018,MDB,ES,4,0,1.0,0.0,10,8–12,0.0,25.0,,0.0
2018,MDB,GO,14,0,2.0,0.0,17,16–31,0.0,14.285714285714286,,0.0
2018,MDB,MA,8,2,3.0,2.0,18,16–31,0.75,37.5,100.0,66.66666666666667
2018,MDB,MG,20,4,8.0,3.0,53,39–70,1.6,40.0,75.0,37.5
2018,MDB,MS,11,0,3.0,0.0,8,8–12,0.0,27.272727272727273,,0.0
2018,MDB,MT,7,2,3.0,1.0,8,8–12,0.8571428571428571,42.857142857142854,50.0,33.333333333333336
2018,MDB,PA,6,2,3.0,2.0,17,16–31,1.0,50.0,100.0,66.66666666666667
2018,MDB,PB,10,0,2.0,0.0,12,8–12,0.0,20.0,,0.0
2018,MDB,PE,2,1,1.0,1.0,25,16–31,0.5,50.0,100.0,100.0
2018,MDB,PI,3,1,2.0,1.0,10,8–12,0.6666666666666666,66.66666666666667,100.0,50.0
2018,MDB,PR,18,2,3.0,2.0,30,16–31,0.3333333333333333,16.666666666666668,100.0,66.66666666666667
2018,MDB,RJ,18,3,9.0,2.0,46,39–70,1.5,50.0,66.66666666666667,22.22222222222222
2018,MDB,RN,4,1,2.0,1.0,8,8–12,0.5,50.0,100.0,50.0
2018,MDB,RO,7,1,2.0,1.0,8,8–12,0.2857142857142857,28.571428571428573,100.0,50.0
2018,MDB,RR,3,0,1.0,0.0,8,8–12,0.0,33.333333333333336,,0.0
2018,MDB,RS,25,4,10.0,4.0,31,16–31,1.6,40.0,100.0,40.0
2018,MDB,SC,15,3,6.0,3.0,16,16–31,1.2,40.0,100.0,50.0
2018,MDB,SE,3,1,1.0,1.0,8,8–12,0.3333333333333333,33.333333333333336,100.0,100.0
2018,MDB,SP,63,2,9.0,2.0,70,39–70,0.2857142857142857,14.285714285714286,100.0,22.22222222222222
2018,MDB,TO,1,1,1.0,1.0,8,8–12,1.0,100.0,100.0,100.0
2018,NOVO,AL,3,0,2.0,0.0,9,8–12,0.0,66.66666666666667,,0.0
2018,NOVO,BA,8,0,7.0,0.0,39,39–70,0.0,87.5,,0.0
2018,NOVO,CE,6,0,4.0,0.0,22,16–31,0.0,66.66666666666667,,0.0
2018,NOVO,DF,6,0,4.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,NOVO,ES,6,0,6.0,0.0,10,8–12,0.0,100.0,,0.0
2018,NOVO,GO,6,0,5.0,0.0,17,16–31,0.0,83.33333333333333,,0.0
2018,NOVO,MG,36,2,15.0,2.0,53,39–70,0.8333333333333334,41.666666666666664,100.0,13.333333333333334
2018,NOVO,MS,5,0,4.0,0.0,8,8–12,0.0,80.0,,0.0
2018,NOVO,MT,13,0,13.0,0.0,8,8–12,0.0,100.0,,0.0
2018,NOVO,PB,2,0,2.0,0.0,12,8–12,0.0,100.0,,0.0
2018,NOVO,PE,9,0,3.0,0.0,25,16–31,0.0,33.333333333333336,,0.0
2018,NOVO,PR,16,0,11.0,0.0,30,16–31,0.0,68.75,,0.0
2018,NOVO,RJ,19,1,11.0,1.0,46,39–70,0.5789473684210527,57.89473684210526,100.0,9.090909090909092
2018,NOVO,RN,5,0,5.0,0.0,8,8–12,0.0,100.0,,0.0
2018,NOVO,RO,3,0,3.0,0.0,8,8–12,0.0,100.0,,0.0
2018,NOVO,RS,18,1,10.0,1.0,31,16–31,0.5555555555555556,55.55555555555556,100.0,10.0
2018,NOVO,SC,16,1,10.0,1.0,16,16–31,0.625,62.5,100.0,10.0
2018,NOVO,SE,2,0,2.0,0.0,8,8–12,0.0,100.0,,0.0
2018,NOVO,SP,45,3,10.0,2.0,70,39–70,0.6666666666666666,22.22222222222222,66.66666666666667,20.0
2018,PATRI,AC,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PATRI,AL,3,0,0.0,0.0,9,8–12,0.0,0.0,,
2018,PATRI,AM,5,0,4.0,0.0,8,8–12,0.0,80.0,,0.0
2018,PATRI,BA,39,0,2.0,0.0,39,39–70,0.0,5.128205128205129,,0.0
2018,PATRI,CE,19,1,9.0,0.0,22,16–31,0.47368421052631576,47.36842105263158,0.0,0.0
2018,PATRI,DF,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PATRI,ES,1,0,0.0,0.0,10,8–12,0.0,0.0,,
2018,PATRI,GO,8,0,0.0,0.0,17,16–31,0.0,0.0,,
2018,PATRI,MA,6,1,1.0,1.0,18,16–31,0.16666666666666666,16.666666666666668,100.0,100.0
2018,PATRI,MG,33,2,2.0,1.0,53,39–70,0.12121212121212122,6.0606060606060606,50.0,50.0
2018,PATRI,MS,2,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PATRI,MT,3,0,3.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PATRI,PA,16,0,0.0,0.0,17,16–31,0.0,0.0,,
2018,PATRI,PB,10,0,1.0,0.0,12,8–12,0.0,10.0,,0.0
2018,PATRI,PE,35,1,2.0,1.0,25,16–31,0.05714285714285714,5.714285714285714,100.0,50.0
2018,PATRI,PI,1,0,1.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PATRI,PR,4,0,1.0,0.0,30,16–31,0.0,25.0,,0.0
2018,PATRI,RJ,31,0,2.0,0.0,46,39–70,0.0,6.451612903225806,,0.0
2018,PATRI,RN,11,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PATRI,RO,3,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PATRI,RR,9,0,3.0,0.0,8,8–12,0.0,33.333333333333336,,0.0
2018,PATRI,RS,5,0,2.0,0.0,31,16–31,0.0,40.0,,0.0
2018,PATRI,SC,16,0,8.0,0.0,16,16–31,0.0,50.0,,0.0
2018,PATRI,SE,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PATRI,SP,91,0,5.0,0.0,70,39–70,0.0,5.4945054945054945,,0.0
2018,PATRI,TO,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PC DO B,AC,1,1,1.0,1.0,8,8–12,1.0,100.0,100.0,100.0
2018,PC DO B,AL,4,0,2.0,0.0,9,8–12,0.0,50.0,,0.0
2018,PC DO B,AM,8,0,4.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PC DO B,AP,1,1,1.0,1.0,8,8–12,1.0,100.0,100.0,100.0
2018,PC DO B,BA,2,2,2.0,2.0,39,39–70,2.0,100.0,100.0,100.0
2018,PC DO B,CE,3,0,2.0,0.0,22,16–31,0.0,66.66666666666667,,0.0
