ano,uf,partido,C,recebedores,R_l,NECr,k,soma_w,E,H_eleitos,esperado_eleitos,G_comp,H_comp,empate_fronteira,q,n_no_bloco,E_maior_k,k_igual_C,k_maior_recebedores
2018,AL,PPS,1,1,654173.8500000001,1.0,1,1.0,0,0.0,0.0,1,1.0,False,654173.8500000001,1,False,True,False
2018,AL,PR,1,1,1255557.26,1.0,1,1.0,1,1.0,1.0,1,1.0,False,1255557.26,1,False,True,False
2018,AL,PRB,1,1,842225.39,1.0,1,1.0,1,1.0,1.0,1,1.0,False,842225.39,1,False,True,False
2018,AL,PROS,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AL,PRTB,2,2,200000.0,1.0512483574244416,1,1.0,0,0.0,0.0,1,0.0,False,195000.0,1,False,False,False
2018,AL,PSB,2,2,1313000.0,1.0076451482241104,1,1.0,1,1.0,0.5,1,1.0,False,1308000.0,1,False,False,False
2018,AL,PSC,2,2,500000.0,1.923076923076923,2,2.0,0,0.0,0.0,0,0.0,False,200000.0,1,False,True,False
2018,AL,PSD,2,2,1499800.0,1.7242330643047397,2,2.0,1,1.0,1.0,0,0.0,False,450000.0,1,False,True,False
2018,AL,PSDB,3,3,2055252.42,1.9715360675508928,2,2.0,1,1.0,0.6666666666666666,1,1.0,False,666867.0,1,False,False,False
2018,AL,PSL,10,0,0.0,,0,0.0,0,0.0,0.0,1,0.0,False,,0,False,False,False
2018,AL,PSOL,2,2,16263.22,1.1217037725373162,1,1.0,0,0.0,0.0,0,0.0,False,15327.06,1,False,False,False
2018,AL,PSTU,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AL,PT,1,1,1000000.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,1000000.0,1,False,True,False
2018,AL,PTB,2,2,1709057.38,1.64720372963403,2,2.0,1,1.0,1.0,1,1.0,False,459057.38,1,False,True,False
2018,AL,PTC,2,1,300000.0,1.0,1,1.0,0,0.0,0.0,1,0.0,False,300000.0,1,False,False,False
2018,AL,PV,2,2,232742.2,1.1741254662585308,1,1.0,0,0.0,0.0,0,0.0,False,213970.0,1,False,False,False
2018,AL,REDE,1,1,725000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,725000.0,1,False,True,False
2018,AL,SOLIDARIEDADE,1,0,0.0,,0,0.0,0,0.0,0.0,1,0.0,False,,0,False,False,False
2018,AM,AVANTE,4,3,34503.2,2.080793194812673,2,2.0,0,0.0,0.0,0,0.0,False,15280.4,1,False,False,False
2018,AM,DC,6,6,75644.0,2.941752245328261,3,3.0,0,0.0,0.0,0,0.0,False,5128.0,1,False,False,False
2018,AM,DEM,2,2,1078000.0,1.1699531045814147,1,1.0,0,0.0,0.0,1,1.0,False,993000.0,1,False,False,False
2018,AM,MDB,7,7,1893631.8,1.1396138993782439,1,1.0,0,0.0,0.0,0,0.0,False,1773090.0,1,False,False,False
2018,AM,PATRI,5,4,280.1,3.99999847048105,4,4.0,0,0.0,0.0,0,0.0,True,70.0,3,False,False,False
2018,AM,PC DO B,8,8,189848.58000000002,3.5332467654320556,4,4.0,0,0.0,0.0,0,0.0,True,11081.779999999999,2,False,False,False
2018,AM,PDT,3,2,35000.0,1.6896551724137931,2,2.0,0,0.0,0.0,0,0.0,False,10000.0,1,False,False,False
2018,AM,PHS,2,2,96485.0,1.970845925493191,2,2.0,0,0.0,0.0,1,1.0,False,42375.0,1,False,True,False
2018,AM,PMB,9,2,3100.0,1.7763401109057304,2,2.0,0,0.0,0.0,0,0.0,False,1000.0,1,False,False,False
2018,AM,PMN,7,3,120000.0,2.6666666666666665,3,3.0,0,0.0,0.0,0,0.0,False,20000.0,1,False,False,False
2018,AM,PODE,5,4,19600.0,2.508554264072091,3,3.0,0,0.0,0.0,1,1.0,False,2000.0,1,False,False,False
2018,AM,PP,2,1,1897386.0,1.0,1,1.0,1,1.0,0.5,1,1.0,False,1897386.0,1,False,False,False
2018,AM,PPL,5,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AM,PPS,2,1,116816.01000000001,1.0,1,1.0,0,0.0,0.0,0,0.0,False,116816.01000000001,1,False,False,False
2018,AM,PR,3,3,1989000.0,1.805850118111584,2,2.0,1,1.0,0.6666666666666666,1,1.0,False,336000.0,1,False,False,False
2018,AM,PRB,2,2,2308380.0,1.8278675684518502,2,2.0,2,2.0,2.0,1,1.0,False,800000.0,1,False,True,False
2018,AM,PROS,2,2,717250.0,1.7199021732259607,2,2.0,0,0.0,0.0,1,1.0,False,213900.0,1,False,True,False
2018,AM,PRP,4,1,2000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,2000.0,1,False,False,False
2018,AM,PRTB,3,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AM,PSB,2,2,775000.0,1.7763401109057304,2,2.0,0,0.0,0.0,1,1.0,False,250000.0,1,False,True,False
2018,AM,PSC,4,1,100000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,100000.0,1,False,False,False
2018,AM,PSD,4,3,2520000.0,3.0,3,3.0,1,1.0,0.75,2,2.0,True,840000.0,3,False,False,False
2018,AM,PSDB,1,1,2129609.6,1.0,1,1.0,0,0.0,0.0,1,1.0,False,2129609.6,1,False,True,False
2018,AM,PSL,1,1,5294.0,1.0,1,1.0,1,1.0,1.0,0,0.0,False,5294.0,1,False,True,False
2018,AM,PSOL,13,12,21316.379999999997,6.192903925737836,6,5.999999999999999,0,0.0,0.0,0,0.0,True,783.24,9,False,False,False
2018,AM,PSTU,1,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AM,PT,4,4,910825.1799999999,2.460059917850748,2,2.0,1,1.0,0.5,1,1.0,False,403846.66,1,False,False,False
2018,AM,PTB,1,1,1479306.6,1.0,1,1.0,0,0.0,0.0,1,1.0,False,1479306.6,1,False,True,False
2018,AM,PTC,4,3,3529.3500000000004,3.0,3,3.0,0,0.0,0.0,0,0.0,True,1176.45,3,False,False,False
2018,AM,PV,2,1,403955.54000000004,1.0,1,1.0,0,0.0,0.0,1,1.0,False,403955.54000000004,1,False,False,False
2018,AM,REDE,7,2,2092.0,2.0,2,2.0,0,0.0,0.0,0,0.0,True,1046.0,2,False,False,False
2018,AM,SOLIDARIEDADE,1,1,280000.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,280000.0,1,False,True,False
2018,AP,AVANTE,2,2,418539.23,1.9999756378257172,2,2.0,1,1.0,1.0,1,1.0,False,208539.23,1,False,True,False
2018,AP,DC,1,1,30022.82,1.0,1,1.0,0,0.0,0.0,0,0.0,False,30022.82,1,False,True,False
2018,AP,DEM,4,4,750000.0,3.4615384615384612,3,3.0,0,0.0,0.0,2,2.0,False,150000.0,1,False,False,False
2018,AP,MDB,4,3,1686845.0,1.247250938214065,1,1.0,0,0.0,0.0,1,1.0,False,1500000.0,1,False,False,False
2018,AP,PC DO B,1,1,896500.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,896500.0,1,False,True,False
2018,AP,PDT,7,7,176028.0,1.3330899049837688,1,1.0,0,0.0,0.0,1,0.0,False,151908.0,1,False,False,False
2018,AP,PHS,6,6,520000.0,4.261623325453113,4,4.0,0,0.0,0.0,0,0.0,False,70000.0,1,False,False,False
2018,AP,PMN,3,3,8150.0,2.8652000431359865,3,3.0,0,0.0,0.0,0,0.0,True,2300.0,2,False,True,False
2018,AP,PODE,1,1,1050000.0,1.0,1,1.0,0,0.0,0.0,1,1.0,False,1050000.0,1,False,True,False
2018,AP,PP,1,1,1634541.0,1.0,1,1.0,1,1.0,1.0,1,1.0,False,1634541.0,1,False,True,False
2018,AP,PPL,3,3,5870.0,2.9982597043237647,3,3.0,0,0.0,0.0,0,0.0,False,1890.0,1,False,True,False
2018,AP,PR,7,7,3065000.0,2.811484792937039,3,3.0,1,1.0,0.42857142857142855,4,3.0,False,500000.0,1,False,False,False
2018,AP,PRB,1,1,1952976.22,1.0,1,1.0,1,1.0,1.0,0,0.0,False,1952976.22,1,False,True,False
2018,AP,PROS,2,2,776466.3,1.1549621066159304,1,1.0,1,1.0,0.5,0,0.0,False,720316.3,1,False,False,False
2018,AP,PRP,2,2,270803.44,1.0059513547092773,1,1.0,0,0.0,0.0,1,1.0,False,270000.0,1,False,False,False
2018,AP,PSB,8,6,752500.0,1.9342573259721352,2,2.0,1,1.0,0.25,1,1.0,False,200500.0,1,False,False,False
2018,AP,PSC,2,2,320000.0,1.1327433628318584,1,1.0,0,0.0,0.0,1,1.0,False,300000.0,1,False,False,False
2018,AP,PSD,3,2,739000.0,1.998678821992307,2,2.0,0,0.0,0.0,1,1.0,False,360000.0,1,False,False,False
2018,AP,PSDB,2,2,832050.0,1.017578661196208,1,1.0,1,1.0,0.5,1,1.0,False,824800.0,1,False,False,False
2018,AP,PSL,1,1,35000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,35000.0,1,False,True,False
2018,AP,PSOL,6,6,201719.65,5.666633248948553,6,6.0,0,0.0,0.0,0,0.0,False,27438.339999999997,1,False,True,False
2018,AP,PSTU,2,0,0.0,,0,0.0,0,0.0,0.0,0,0.0,False,,0,False,False,False
2018,AP,PTB,7,7,431018.8,6.347433994537348,6,6.0,0,0.0,0.0,1,1.0,True,50000.0,5,False,False,False
2018,AP,PTC,5,1,80000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,80000.0,1,False,False,False
2018,AP,PV,6,6,72335.17,5.242591829815275,5,5.0,0,0.0,0.0,0,0.0,True,8955.32,2,False,False,False
2018,AP,REDE,7,7,103530.0,1.2739766676892037,1,1.0,0,0.0,0.0,1,1.0,False,91590.0,1,False,False,False
2018,AP,SOLIDARIEDADE,3,1,450000.0,1.0,1,1.0,0,0.0,0.0,0,0.0,False,450000.0,1,False,False,False
2018,BA,AVANTE,14,10,1027600.0,2.8827511191501722,3,3.0,2,2.0,0.42857142857142855,2,1.0,False,51060.0,1,False,False,False
2018,BA,DC,15,13,350000.0,4.297793214749325,4,4.0,0,0.0,0.0,1,0.25,True,8000.0,4,False,False,False
