desfecho,ano,grupo,candidaturas,sumG,sumk,sumH,A0,cobertura,precisao,lift
competitividade,2018,todos,7626,886.0,2316.0,716.75,382.5413834297511,0.8089729119638827,0.30947754749568224,1.8736534948816124
competitividade,2018,homens,5212,778.0,1554.0454106280192,616.75,377.7310992812236,0.7927377892030848,0.39686742471107045,1.6327752763105827
competitividade,2018,mulheres,2414,108.0,761.9545893719807,100.0,61.43115440659558,0.9259259259259259,0.13124141700153305,1.6278385286092467
competitividade,2022,todos,9672,1287.0,3822.0,1064.115233785822,563.0315686910831,0.8268183634699472,0.2784184285153904,1.8899743690387405
competitividade,2022,homens,6268,1084.0,2438.1109419752893,884.8256410256411,504.21820008584103,0.8162598164443183,0.36291442927891543,1.7548466931082678
competitividade,2022,mulheres,3404,203.0,1383.8890580247107,179.289592760181,99.26050118182471,0.883199964335867,0.12955488860941597,1.8062531482866437
eleicao,2018,todos,7630,513.0,2318.0,445.0,224.57235494333048,0.8674463937621832,0.1919758412424504,1.9815439888506898
eleicao,2018,homens,5212,435.0,1554.0454106280192,369.25,218.60145493483049,0.8488505747126437,0.23760566935478358,1.6891470375166573
eleicao,2018,mulheres,2414,77.0,761.9545893719807,74.75,44.496153642267316,0.9707792207792207,0.09810295920864597,1.679920484834767
eleicao,2022,todos,9675,513.0,3824.0,475.1923076923077,224.41886437676425,0.9263007947218473,0.12426577084003862,2.1174347754230407
eleicao,2022,homens,6268,422.0,2438.1109419752893,389.0769230769231,203.61222614848145,0.9219832300401021,0.15958130386048136,1.9108721044736972
eleicao,2022,mulheres,3404,91.0,1383.8890580247107,86.11538461538461,39.292941127499944,0.9463229078613694,0.062227086857888095,2.1916248095542805
