cluster,ano,comparacao,ponto,ic95_inf,ic95_sup,prop_boot_le_0
lista,2018,lift eleitos - lift competitivos (Top-NECr),0.10789049396907746,0.0028080340585497254,0.21512836754457415,0.024
lista,2018,lift Top-50% - lift Top-NECr (competitivos),0.20341841695690221,0.13343375573703903,0.2786274084438418,0.0
lista,2018,lift Top-50% - lift Top-NECr (eleitos),0.3985740238396256,0.28494143433867997,0.5261530521711528,0.0
lista,2018,lift Top-80% - lift Top-NECr (competitivos),0.052581901373321305,0.01997630249831131,0.08515115254033581,0.0
lista,2022,lift eleitos - lift competitivos (Top-NECr),0.2274604063843002,0.13099456125909079,0.3382592196147844,0.0
lista,2022,lift Top-50% - lift Top-NECr (competitivos),0.7642863299101088,0.669635931506129,0.8689498738385739,0.0
lista,2022,lift Top-50% - lift Top-NECr (eleitos),1.4812340266749433,1.2610617893890335,1.7265629419805784,0.0
lista,2022,lift Top-80% - lift Top-NECr (competitivos),0.0896985880188581,0.050907999308562324,0.12744221406740688,0.0
lista,2022-2018,"lift 2022 - lift 2018 (competitivos, Top-NECr)",0.01632087415712813,-0.1280447887502972,0.16256361397852695,0.4085
lista,2022-2018,"lift 2022 - lift 2018 (eleitos, Top-NECr)",0.13589078657235087,-0.06726934802847934,0.34226930227757457,0.1025
lista,2022-2018,"cobertura 2022 - 2018 (competitividade, Top-NECr)",0.017845451506064536,-0.019140593470522747,0.053806014911078996,0.1595
lista,2022-2018,"cobertura 2022 - 2018 (eleicao, Top-NECr)",0.0588544009596641,0.008272570676851007,0.11236764856985257,0.011
lista,2022-2018,"precisao 2022 - 2018 (competitividade, Top-NECr)",-0.031059118980291844,-0.07378582547664804,0.008186052347110919,0.93
lista,2022-2018,"precisao 2022 - 2018 (eleicao, Top-NECr)",-0.06771007040241178,-0.09748878311359269,-0.03902015317008078,1.0
partido,2018,lift eleitos - lift competitivos (Top-NECr),0.10789049396907746,0.017187834547125674,0.232108568606344,0.0055
partido,2018,lift Top-50% - lift Top-NECr (competitivos),0.20341841695690221,0.1380810101049813,0.2716460559482005,0.0
partido,2018,lift Top-50% - lift Top-NECr (eleitos),0.3985740238396256,0.24323170467056798,0.6051305688016559,0.0
partido,2018,lift Top-80% - lift Top-NECr (competitivos),0.052581901373321305,0.013720904568833093,0.08903532934341164,0.007
partido,2022,lift eleitos - lift competitivos (Top-NECr),0.2274604063843002,0.12979096218182556,0.3572148408459328,0.0
partido,2022,lift Top-50% - lift Top-NECr (competitivos),0.7642863299101088,0.6664686478728375,0.8728491953175601,0.0
partido,2022,lift Top-50% - lift Top-NECr (eleitos),1.4812340266749433,1.1898665480949708,1.836779630915979,0.0
partido,2022,lift Top-80% - lift Top-NECr (competitivos),0.0896985880188581,0.02405371047807178,0.13151082295535657,0.007
partido,2022-2018,"lift 2022 - lift 2018 (competitivos, Top-NECr)",0.01632087415712813,-0.17422912071381366,0.21684070727786792,0.398
partido,2022-2018,"lift 2022 - lift 2018 (eleitos, Top-NECr)",0.13589078657235087,-0.10685867524405734,0.39196479938911166,0.132
partido,2022-2018,"cobertura 2022 - 2018 (competitividade, Top-NECr)",0.017845451506064536,-0.03773944683246565,0.08729750533283924,0.276
partido,2022-2018,"cobertura 2022 - 2018 (eleicao, Top-NECr)",0.0588544009596641,-0.034624724547194785,0.18317934847822903,0.153
partido,2022-2018,"precisao 2022 - 2018 (competitividade, Top-NECr)",-0.031059118980291844,-0.1623823553258315,0.0871912836825856,0.683
partido,2022-2018,"precisao 2022 - 2018 (eleicao, Top-NECr)",-0.06771007040241178,-0.15439119852313352,0.017594596418868416,0.9405
