ano,N,comp_rrd,comp_texto,comp_codigo_cpf_ok,comp_codigo_keepfirst,so_rrd,so_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_prefeito_2020,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok
2018,7630,886,907,1017,889,29,50,19,133,0,11,335,869,841
2022,9675,1287,1337,1554,1287,52,102,35,222,7,10,610,1276,1222
