desfecho,ano,listas,financiadas,degeneradas_k_igual_C,share_k_degeneradas,share_G_degeneradas,share_A0_degeneradas,share_H_degeneradas,lift_razao_somas,lift_so_nao_degeneradas,cobertura_razao_somas,cobertura_media_listas_G_pos,cobertura_mediana_listas_G_pos,precisao_razao_somas,precisao_media_listas_k_pos,lift_media_listas_A0_pos,lift_mediana_listas_A0_pos,listas_com_G_pos,listas_G_pos_e_0_k_C,listas_G_pos_cobertura_100
competitividade,2018,859,786,207,0.17141623488773747,0.11851015801354402,0.27448010737714584,0.14649459365190093,1.8736534948816124,2.2041757969216182,0.8089729119638827,0.8287408833725797,1.0,0.30947754749568224,0.386418504726117,2.7048407597211273,2.0,448,346,327
competitividade,2022,711,647,100,0.0837257980115123,0.009324009324009324,0.02131319213218754,0.011276974165013484,1.8899743690387405,1.9093556405216665,0.8268183634699472,0.8321214433643768,1.0,0.2784184285153904,0.27654101119977176,2.4185882682850375,1.875,385,372,227
eleicao,2018,859,786,207,0.1712683347713546,0.11500974658869395,0.2627215625667207,0.13258426966292136,1.9815439888506898,2.331307059877925,0.8674463937621832,0.9086368653421635,1.0,0.1919758412424504,0.23291210295677006,3.0906452391562684,2.0,302,248,259
eleicao,2022,711,648,100,0.08368200836820083,0.001949317738791423,0.004455953392229791,0.002104411169566977,2.1174347754230407,2.1224362992582826,0.9263007947218473,0.9332838848184117,1.0,0.12426577084003862,0.11312551805773594,2.902107098964094,2.3333333333333335,207,206,180
