desfecho,ano,listas_top10pct,share_G,share_H,share_A0,share_k,lift_top10pct,lift_resto,ufs_top10pct
competitividade,2018,86,0.48306997742663654,0.4694802929891873,0.41390482411638635,0.21718480138169258,2.125231068797319,1.6959875188287985,"SP, MG, RJ, BA"
competitividade,2022,72,0.4560994560994561,0.44925248232338555,0.4229185249298249,0.21899529042386184,2.0076578034956403,1.80372917375997,"SP, RJ, MG, RS"
eleicao,2018,86,0.5497076023391813,0.5134831460674157,0.4864676872096294,0.22174288179465057,2.0915868992292808,1.8773006554276923,"SP, MG, BA, PR"
eleicao,2022,72,0.6393762183235867,0.633832456495346,0.6378858935481736,0.2094665271966527,2.10397956554545,2.141136941184394,"SP, MG, RJ, BA"
