Magnitude,Ano,Média,DP,Mediana,N válido
Pequeno (8–12),2018,1.696540365937426,0.9561568054560386,1.2890966709591833,114
Médio (16–31),2018,2.0554281932242757,1.6389172353985795,1.622505709176685,109
Grande (39–70),2018,2.877035279076662,2.466288306645349,2.0855682982868524,77
Pequeno (8–12),2022,3.197781629426394,1.7966539012294396,2.752553771121711,65
Médio (16–31),2022,3.9866848115303046,2.7580406397147197,2.8610858950657305,81
Grande (39–70),2022,4.807762136107502,3.956702167799531,3.837447815542067,61
