Ano,UF,Partido,Dentro: eleitos,Dentro: não eleitos,Fora: eleitos,Fora: não eleitos
2018,AP,SOLIDARIEDADE,0.0,1.0,0.0,2.0
2018,BA,AVANTE,2.0,1.0,0.0,11.0
2018,BA,DC,0.0,4.0,0.0,11.0
2018,BA,DEM,4.0,4.0,0.0,30.0
2018,BA,MDB,0.0,4.0,0.0,32.0
2018,BA,NOVO,0.0,7.0,0.0,1.0
2018,BA,PATRI,0.0,2.0,0.0,37.0
2018,BA,PC DO B,2.0,0.0,0.0,0.0
2018,BA,PCO,0.0,2.0,0.0,0.0
2018,BA,PDT,1.0,1.0,1.0,33.0
2018,BA,PHS,1.0,3.0,1.0,20.0
2018,BA,PMB,0.0,1.0,0.0,0.0
2018,BA,PMN,0.0,2.0,0.0,6.0
2018,BA,PODE,1.0,0.0,0.0,3.0
2018,BA,PP,4.0,1.0,0.0,3.0
2018,BA,PPL,1.0,0.0,0.0,8.0
2018,BA,PPS,0.0,1.0,0.0,0.0
2018,BA,PR,2.0,1.0,0.0,0.0
2018,BA,PRB,2.0,1.0,0.0,1.0
2018,BA,PROS,0.0,1.0,0.0,11.0
2018,BA,PRP,0.0,1.0,1.0,9.0
2018,BA,PRTB,0.0,2.0,0.0,7.0
2018,BA,PSB,2.0,0.0,0.0,4.0
2018,BA,PSC,0.0,2.0,0.0,7.0
2018,BA,PSD,5.0,4.0,0.0,1.0
2018,BA,PSDB,1.0,2.0,0.0,5.0
2018,BA,PSL,1.0,0.0,0.0,3.0
2018,BA,PSOL,0.0,12.0,0.0,38.0
2018,BA,PT,7.0,2.0,0.0,3.0
2018,BA,PTB,0.0,1.0,0.0,2.0
2018,BA,PTC,0.0,2.0,0.0,20.0
2018,BA,PV,0.0,4.0,0.0,8.0
2018,BA,REDE,0.0,2.0,0.0,18.0
2018,BA,SOLIDARIEDADE,0.0,1.0,0.0,5.0
2018,CE,AVANTE,0.0,1.0,0.0,5.0
2018,CE,DC,0.0,6.0,0.0,1.0
2018,CE,DEM,0.0,1.0,0.0,5.0
2018,CE,MDB,1.0,2.0,0.0,3.0
2018,CE,NOVO,0.0,4.0,0.0,2.0
2018,CE,PATRI,0.0,9.0,1.0,9.0
2018,CE,PC DO B,0.0,2.0,0.0,1.0
2018,CE,PDT,2.0,1.0,4.0,7.0
2018,CE,PHS,0.0,2.0,0.0,3.0
2018,CE,PMN,0.0,1.0,0.0,2.0
2018,CE,PODE,0.0,1.0,0.0,2.0
2018,CE,PP,1.0,1.0,0.0,1.0
2018,CE,PPL,0.0,0.0,0.0,2.0
2018,CE,PPS,0.0,1.0,0.0,4.0
2018,CE,PR,1.0,1.0,0.0,2.0
2018,CE,PRB,0.0,1.0,0.0,0.0
2018,CE,PROS,2.0,4.0,0.0,24.0
2018,CE,PRP,0.0,1.0,0.0,0.0
2018,CE,PRTB,0.0,4.0,0.0,1.0
2018,CE,PSB,1.0,1.0,0.0,1.0
2018,CE,PSC,0.0,1.0,0.0,0.0
2018,CE,PSD,1.0,1.0,0.0,3.0
2018,CE,PSDB,1.0,3.0,0.0,9.0
2018,CE,PSL,1.0,0.0,0.0,20.0
2018,CE,PSOL,0.0,6.0,0.0,17.0
2018,CE,PSTU,0.0,0.0,0.0,1.0
2018,CE,PT,3.0,2.0,0.0,7.0
2018,CE,PTB,1.0,1.0,0.0,0.0
2018,CE,PV,1.0,0.0,0.0,1.0
2018,CE,REDE,0.0,13.0,0.0,2.0
2018,CE,SOLIDARIEDADE,1.0,1.0,0.0,0.0
2018,DF,AVANTE,0.0,7.0,0.0,1.0
2018,DF,DC,0.0,10.0,0.0,0.0
2018,DF,DEM,0.0,1.0,1.0,1.0
2018,DF,MDB,0.0,1.0,0.0,2.0
2018,DF,NOVO,0.0,4.0,0.0,2.0
2018,DF,PATRI,0.0,1.0,0.0,0.0
2018,DF,PC DO B,0.0,1.0,0.0,1.0
2018,DF,PCB,0.0,1.0,0.0,0.0
2018,DF,PDT,0.0,2.0,0.0,2.0
2018,DF,PHS,0.0,2.0,0.0,1.0
2018,DF,PMB,0.0,1.0,0.0,0.0
2018,DF,PMN,0.0,1.0,0.0,4.0
2018,DF,PODE,0.0,1.0,0.0,0.0
2018,DF,PP,1.0,1.0,0.0,0.0
2018,DF,PPL,0.0,6.0,0.0,7.0
2018,DF,PPS,1.0,1.0,0.0,2.0
2018,DF,PR,1.0,1.0,0.0,3.0
2018,DF,PRB,1.0,0.0,0.0,2.0
2018,DF,PROS,0.0,3.0,0.0,4.0
2018,DF,PRP,1.0,1.0,0.0,7.0
2018,DF,PRTB,0.0,4.0,0.0,1.0
2018,DF,PSB,0.0,2.0,0.0,0.0
2018,DF,PSC,0.0,3.0,0.0,1.0
2018,DF,PSD,0.0,1.0,0.0,0.0
2018,DF,PSDB,0.0,5.0,0.0,3.0
2018,DF,PSL,0.0,2.0,0.0,1.0
2018,DF,PSOL,0.0,6.0,0.0,9.0
2018,DF,PSTU,0.0,1.0,0.0,0.0
2018,DF,PT,1.0,2.0,0.0,13.0
2018,DF,PTB,0.0,1.0,0.0,0.0
2018,DF,PTC,0.0,2.0,0.0,4.0
2018,DF,PV,1.0,1.0,0.0,0.0
2018,DF,REDE,0.0,1.0,0.0,5.0
2018,DF,SOLIDARIEDADE,0.0,1.0,0.0,0.0
2018,ES,AVANTE,0.0,2.0,0.0,0.0
2018,ES,DC,0.0,9.0,0.0,2.0
2018,ES,DEM,1.0,0.0,0.0,1.0
2018,ES,MDB,0.0,1.0,0.0,3.0
2018,ES,NOVO,0.0,6.0,0.0,0.0
2018,ES,PATRI,0.0,0.0,0.0,1.0
2018,ES,PC DO B,0.0,1.0,0.0,0.0
2018,ES,PDT,1.0,0.0,0.0,4.0
2018,ES,PHS,0.0,2.0,0.0,1.0
2018,ES,PMB,0.0,4.0,0.0,1.0
2018,ES,PMN,0.0,1.0,0.0,0.0
2018,ES,PODE,0.0,6.0,0.0,0.0
2018,ES,PP,1.0,2.0,0.0,4.0
2018,ES,PPL,0.0,1.0,0.0,0.0
2018,ES,PPS,1.0,2.0,0.0,2.0
2018,ES,PR,1.0,1.0,0.0,1.0
2018,ES,PRB,1.0,3.0,0.0,6.0
2018,ES,PROS,0.0,1.0,0.0,2.0
2018,ES,PRP,0.0,3.0,0.0,0.0
2018,ES,PRTB,0.0,2.0,0.0,4.0
2018,ES,PSB,1.0,2.0,1.0,6.0
2018,ES,PSC,0.0,1.0,0.0,0.0
2018,ES,PSD,0.0,2.0,0.0,0.0
2018,ES,PSDB,0.0,1.0,0.0,2.0
2018,ES,PSL,1.0,0.0,0.0,6.0
2018,ES,PSOL,0.0,7.0,0.0,0.0
2018,ES,PT,1.0,2.0,0.0,12.0
2018,ES,PTB,0.0,3.0,0.0,10.0
2018,ES,PTC,0.0,1.0,0.0,0.0
2018,ES,PV,0.0,4.0,0.0,1.0
2018,ES,REDE,0.0,1.0,0.0,5.0
2018,ES,SOLIDARIEDADE,0.0,1.0,0.0,1.0
2018,GO,AVANTE,0.0,0.0,0.0,6.0
2018,GO,DC,0.0,2.0,0.0,10.0
2018,GO,DEM,2.0,1.0,0.0,3.0
2018,GO,MDB,0.0,2.0,0.0,12.0
