Magnitude,Ano,Média,DP,Mediana,N válido
Pequeno (8–12),2018,93.96551724137932,22.98881808883265,100.0,116
Médio (16–31),2018,93.0045871559633,20.917121124318754,100.0,109
Grande (39–70),2018,83.16017316017316,31.080192936210633,100.0,77
Pequeno (8–12),2022,92.94871794871796,22.4493434982913,100.0,65
Médio (16–31),2022,92.51028806584361,21.80265570086418,100.0,81
Grande (39–70),2022,94.81928550395281,16.54003309526672,100.0,61
