Magnitude,Ano,Média,DP,Mediana,N válido
Pequeno (8–12),2018,1.5615952462760838,0.8276630284701536,1.1803278688524592,113
Médio (16–31),2018,1.5784624930844071,0.6715577638490912,1.3090796169473558,107
Grande (39–70),2018,2.4796928103307185,2.0449968520385693,1.7573200833063258,70
Pequeno (8–12),2022,4.004519200405299,1.8673695373951926,3.527660428396637,95
Médio (16–31),2022,4.262247799888378,2.8811790276024225,3.3874858242674013,90
Grande (39–70),2022,4.961943608457822,4.012568711012268,3.930162032926508,65
