Magnitude,Ano,Média,DP,Mediana,N válido
Pequeno (8–12),2018,19.687536031361695,36.00679013098445,0.0,413
Médio (16–31),2018,27.88895447986357,36.953771768581184,0.0,242
Grande (39–70),2018,26.158869674219567,31.378996847889734,13.333333333333334,131
Pequeno (8–12),2022,7.65441464039595,17.880170854810334,0.0,321
Médio (16–31),2022,14.408791721816932,24.57597204114714,0.0,210
Grande (39–70),2022,15.791625717885767,21.072798622433535,6.666666666666667,117
