Ano,UF,Partido,Magnitude,tipo,C,F,Mp,E,Recursos,Recebedores,Sem_recursos,NECr,D,Q,NECr_Mp,NECr_E,NECr_menos_E,k_arredondado,eleitos_top_arredondado,Cobertura_pct,Precisao_pct,Competitivos_top,Fracao_nucleo_pct,Aleatoria_pct,Lift,Excedente_pp,Precisao_aleatoria_pct,Cobertura_competitiva_pct,Lift_competitivo
2018,AC,PT,Pequeno (8–12),Competitivo,5,3,3,1,2778000.0,5,0,3.169675084321672,1.830324915678328,1.5774487501043115,1.0565583614405574,3.169675084321672,2.169675084321672,3,1.0,100.0,33.333333333333336,3.0,63.393501686433446,60.0,1.6666666666666667,40.0,20.0,100.0,1.6666666666666665
2018,AC,PTB,Pequeno (8–12),Menos competitivo,1,0,0,0,449599.75,1,0,1.0,0.0,1.0,,,1.0,1,0.0,,0.0,0.0,100.0,,,,0.0,,
2018,AC,PTC,Pequeno (8–12),Menos competitivo,1,0,0,0,570000.0,1,0,1.0,0.0,1.0,,,1.0,1,0.0,,0.0,0.0,100.0,,,,0.0,,
2018,AC,PV,Pequeno (8–12),Menos competitivo,2,1,0,0,334343.2,2,0,1.3543842214897526,0.6456157785102474,1.4766858386758992,,,1.3543842214897526,1,0.0,,0.0,1.0,67.71921107448763,,,,0.0,100.0,2.0
2018,AC,REDE,Pequeno (8–12),Menos competitivo,2,0,0,0,190800.0,2,0,1.0084209033413256,0.9915790966586744,1.9832988322367704,,,1.0084209033413256,1,0.0,,0.0,0.0,50.42104516706628,,,,0.0,,
2018,AC,SOLIDARIEDADE,Pequeno (8–12),Menos competitivo,1,1,0,1,1450000.0,1,0,1.0,0.0,1.0,,1.0,0.0,1,1.0,100.0,100.0,1.0,100.0,100.0,1.0,0.0,100.0,100.0,1.0
2018,AL,AVANTE,Pequeno (8–12),Menos competitivo,1,1,1,0,319000.0,1,0,1.0,0.0,1.0,1.0,,1.0,1,0.0,,0.0,1.0,100.0,,,,0.0,100.0,1.0
2018,AL,DC,Pequeno (8–12),Menos competitivo,2,0,0,0,77320.0,2,0,1.888136370690797,0.111863629309203,1.0592455243411665,,,1.888136370690797,2,0.0,,0.0,0.0,94.40681853453985,,,,0.0,,
2018,AL,DEM,Pequeno (8–12),Competitivo,2,0,0,0,0.0,0,2,,,,,,,0,0.0,,,0.0,,,,,,,
2018,AL,MDB,Pequeno (8–12),Competitivo,3,1,0,1,100000.0,2,1,2.0,1.0,1.5,,2.0,1.0,2,0.0,0.0,0.0,0.0,66.66666666666667,66.66666666666667,0.0,-66.66666666666667,33.333333333333336,0.0,0.0
