Ano,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2018,Competitivos (F),292,0,2.4315068493150687,2.471577356430283,0.0,1.0,1.0,3.0,16.0
2018,Bancada pré-eleitoral (Mp),292,0,1.7431506849315068,1.5595138697241753,1.0,1.0,1.0,2.0,13.0
2018,F / Mp (Mp > 0),292,0,1.4313489972736548,1.1050021805121222,0.0,1.0,1.0,2.0,8.0
2018,F − Mp (Mp > 0),292,0,0.6883561643835616,1.5293693093543035,-2.0,0.0,0.0,1.0,9.0
2022,Competitivos (F),252,0,4.369047619047619,3.8676709749708236,0.0,2.0,3.0,5.0,27.0
2022,Bancada pré-eleitoral (Mp),252,0,2.0317460317460316,1.857198798587332,1.0,1.0,1.0,2.0,15.0
2022,F / Mp (Mp > 0),252,0,2.3727381525000575,1.3711434942966707,0.0,1.5,2.0,3.0,8.0
2022,F − Mp (Mp > 0),252,0,2.3373015873015874,2.624075906460405,-1.0,1.0,2.0,3.0,22.0
