ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto
2018,AC,1277,CLEIDE MARIA FERREIRA DE ARAUJO,PDT,0,16144.390000000001,1606.5,0.0,0.0,0.0,1606.5,1606.5,1606.5,6.764354286202949,False,1.0,1.0,1.0
2018,AC,3131,JEFFERSON BARROSO DE ARAÚJO ,PHS,0,19750.58,0.0,3200.0,60.0,5000.0,8260.0,3200.0,3260.0,1.6451850694018157,False,1.0,1.0,1.0
2018,AC,3133,SEBASTIAO ALVES RODRIGUES MANCHINERY ,PHS,0,7223.6900000000005,0.0,795.0,0.0,0.0,795.0,795.0,795.0,1.6451850694018157,False,0.0,1.0,1.0
2018,AC,3535,SILVIA MONTEIRO E SILVA,PMB,0,30000.0,1050.0,7341.0,0.0,8000.0,16391.0,8391.0,8391.0,1.0,False,1.0,1.0,1.0
2018,AC,3333,EMILIO VIRGILIO LIMA DE OLIVEIRA,PMN,0,150000.0,0.0,12500.0,0.0,0.0,12500.0,12500.0,12500.0,1.0,False,1.0,1.0,1.0
2018,AC,1910,RAILSON CORREIA DA COSTA,PODE,0,100000.0,0.0,102141.0,0.0,0.0,102141.0,102141.0,102141.0,1.0,False,1.0,1.0,1.0
2018,AC,1944,MARIA JOSÉ DA SILVA LIMA,PODE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0
2018,AC,1111,JOSÉ CAVALCANTE DAMASCENO JÚNIOR,PP,0,100000.0,0.0,23254.0,0.0,30115.73,53369.729999999996,23254.0,23254.0,2.0665566116075627,False,0.0,0.0,1.0
2018,AC,1122,RUDILEI SOARES DE SOUZA,PP,0,400000.0,0.0,56400.0,0.0,70000.0,126400.0,56400.0,56400.0,2.0665566116075627,False,1.0,1.0,1.0
2018,AC,1144,NELSON RODRIGUES SALES,PP,0,822040.0,100000.0,21300.0,0.0,0.0,121300.0,121300.0,121300.0,2.0665566116075627,False,1.0,1.0,1.0
2018,AC,5454,FRANCISCO BRIGIDO DA COSTA,PPL,0,4637.5,0.0,800.0,0.0,5500.0,6300.0,800.0,800.0,1.0,False,1.0,1.0,1.0
2018,AC,2323,ROSANA SOUSA DO NASCIMENTO,PPS,0,498048.04,0.0,7700.0,0.0,0.0,7700.0,7700.0,7700.0,1.0,False,1.0,1.0,1.0
2018,AC,2222,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,PR,0,1500000.0,0.0,21700.0,0.0,0.0,21700.0,21700.0,21700.0,1.0,False,1.0,1.0,1.0
2018,AC,9010,ANTONIO PAULINO DA SILVA,PROS,0,0.0,0.0,0.0,0.0,7740.0,7740.0,0.0,0.0,1.0,False,0.0,0.0,0.0
2018,AC,9090,FERNANDO MELO DA COSTA,PROS,0,316985.0,0.0,9000.0,0.0,7000.0,16000.0,9000.0,9000.0,1.0,False,1.0,1.0,1.0
2018,AC,4423,ROSE-LANE ALVES JARDIM,PRP,0,35100.0,750.0,0.0,0.0,0.0,750.0,750.0,750.0,2.2484531859599635,False,1.0,1.0,1.0
2018,AC,4444,FRANCISCO CARLOS OLIVEIRA DE LIMA,PRP,0,20891.52,0.0,15013.2,0.0,0.0,15013.2,15013.2,15013.2,2.2484531859599635,False,1.0,1.0,1.0
2018,AC,4466,GILMAR FONTES,PRP,0,5891.5199999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2484531859599635,False,0.0,0.0,1.0
2018,AC,2800,MARIA DO SOCORRO FIRMO DA SILVA,PRTB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0
2018,AC,2828,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,PRTB,0,13715.0,0.0,1750.0,0.0,3000.0,4750.0,1750.0,1750.0,1.0,False,1.0,1.0,1.0
2018,AC,4040,CARLOS CÉSAR CORREIA DE MESSIAS,PSB,0,1300000.0,0.0,48100.0,0.0,0.0,48100.0,48100.0,48100.0,1.0,False,1.0,1.0,1.0
2018,AC,2020,JAMYL ASFURY MARTINS OLIVEIRA,PSC,0,70000.0,0.0,38015.8,0.0,0.0,38015.8,38015.8,38015.8,1.0,False,1.0,1.0,1.0
2018,AC,5555,MARIVALDO GONÇALVES DE MELO,PSD,0,824450.0,0.0,137000.0,0.0,0.0,137000.0,137000.0,137000.0,1.0,False,1.0,1.0,1.0
2018,AC,4545,CYLMARA FERNANDES DA ROCHA GRIPP,PSDB,1,1629365.55,0.0,3500.0,0.0,0.0,3500.0,3500.0,3500.0,1.0,False,1.0,1.0,1.0
2018,AC,1700,MICHELA BATISTA LACERDA,PSL,0,58.18,0.0,500.0,0.0,0.0,500.0,500.0,500.0,4.71203274162421,False,1.0,1.0,1.0
2018,AC,1712,DANIELA PAIVA DE OLIVEIRA,PSL,0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,4.71203274162421,False,0.0,0.0,0.0
2018,AC,1717,SEBASTIÃO BOCALOM RODRIGUES,PSL,0,0.0,70237.89,42000.0,0.0,16500.0,128737.89,112237.89,112237.89,4.71203274162421,False,0.0,0.0,0.0
2018,AC,1718,JOSE MARIA DE FREITAS MOREIRA,PSL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71203274162421,False,0.0,0.0,0.0
2018,AC,1755,MANOEL JOSE NOGUEIRA LIMA,PSL,0,26.4,30000.0,11600.0,0.0,14584.369999999999,56184.369999999995,41600.0,41600.0,4.71203274162421,False,0.0,1.0,1.0
2018,AC,1771,RAIMUNDO RICARDO GOMES DA SILVA,PSL,0,58.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71203274162421,False,1.0,1.0,1.0
2018,AC,1777,ADRIANO JOSÉ CALDAS DE AGUIAR CAMPELLO,PSL,0,58.82,5013.2,0.0,0.0,0.0,5013.2,5013.2,5013.2,4.71203274162421,False,1.0,1.0,1.0
2018,AC,1788,BERENICE NASCIMENTO DE SOUZA,PSL,0,58.82,0.0,1000.0,0.0,242.0,1242.0,1000.0,1000.0,4.71203274162421,False,1.0,1.0,1.0
2018,AC,5012,GLÓRIA THAÍS SOUZA DE MELO,PSOL,0,122266.66,0.0,13.2,0.0,0.0,13.2,13.2,13.2,3.48982097519243,False,1.0,1.0,1.0
2018,AC,5013,HAMMERLY DA SILVA ALBUQUERQUE,PSOL,0,58266.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48982097519243,False,1.0,1.0,1.0
2018,AC,5050,FRANCISCO DA SILVA PIYÃKO,PSOL,0,72266.66,0.0,2800.0,2770.0,5000.0,10570.0,2800.0,5570.0,3.48982097519243,False,1.0,1.0,1.0
2018,AC,5055,GILDOMAR OLIVEIRA GOMES,PSOL,0,47266.66,13.2,0.0,0.0,3000.0,3013.2,13.2,13.2,3.48982097519243,False,0.0,0.0,1.0
2018,AC,1300,DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA,PT,0,10000.0,0.0,1200.0,0.0,0.0,1200.0,1200.0,1200.0,3.1696750843216726,False,0.0,0.0,0.0
2018,AC,1313,SEBASTIÃO SIBA MACHADO OLIVEIRA,PT,0,900000.0,10000.0,242000.0,0.0,0.0,252000.0,252000.0,252000.0,3.1696750843216726,False,1.0,1.0,1.0
2018,AC,1314,RAIMUNDO ANGELIM VASCONCELOS,PT,0,900000.0,0.0,46636.0,0.0,0.0,46636.0,46636.0,46636.0,3.1696750843216726,False,1.0,1.0,1.0
2018,AC,1331,LEONARDO CUNHA DE BRITO,PT,1,900000.0,20000.0,286395.0,0.0,0.0,306395.0,306395.0,306395.0,3.1696750843216726,False,1.0,1.0,1.0
2018,AC,1377,RAQUEL GLEYCIANE SANTOS DE SOUZA,PT,0,68000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1696750843216726,False,0.0,0.0,1.0
2018,AC,1414,CHARLENE MARIA DE LIMA,PTB,0,449599.75,0.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0,1.0,False,1.0,1.0,1.0
2018,AC,3611,JOSÉ EDIMAR SANTIAGO DE MELO JUNIOR,PTC,0,570000.0,0.0,41000.0,0.0,0.0,41000.0,41000.0,41000.0,1.0,False,1.0,1.0,1.0
2018,AC,4300,ITAMARA SOUZA DA COSTA,PV,0,51752.25,0.0,19.8,0.0,0.0,19.8,19.8,19.8,1.3543842214897526,False,0.0,0.0,1.0
2018,AC,4343,HENRIQUE AFONSO SOARES LIMA,PV,0,282590.95,0.0,11000.0,0.0,5000.0,16000.0,11000.0,11000.0,1.3543842214897526,False,1.0,1.0,1.0
2018,AC,1800,IUNA BARROS CHAVES,REDE,0,800.0,0.0,1754.0,0.0,1500.0,3254.0,1754.0,1754.0,1.0084209033413258,False,0.0,0.0,1.0
2018,AC,1818,CARLOS GOMES DA COSTA SOUZA,REDE,0,190000.0,0.0,126010.0,0.0,0.0,126010.0,126010.0,126010.0,1.0084209033413258,False,1.0,1.0,1.0
2018,AC,7777,VANDA DENIR MILANI NOGUEIRA,SOLIDARIEDADE,1,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,1.0,1.0,1.0
