Ano,Medida,diferenca,ic95_inf,ic95_sup,n_listas,listas_informativas,eleitos_listas_informativas,esperado_permutacao,p_bilateral,p_unilateral_maior,p_holm
2018,nao_partidarios,0.16217779246530067,0.03363488905975213,0.317863502843773,302,17,77,0.09464697632190017,0.0672,0.0388,0.124
2018,privado_proprio,0.17913086582947785,0.06273373405204748,0.3189077637500345,302,19,81,0.09037818634447314,0.023,0.013,0.092
2022,nao_partidarios,0.22234613273895815,0.06895499235500889,0.3632183274126328,207,15,92,0.11179632729253813,0.062,0.03,0.124
2022,privado_proprio,0.22234613273895815,0.0742889604214014,0.36545570799470656,207,15,92,0.09709419858589188,0.029,0.017,0.092
