ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto,alto_nao_partidarios,alto_privado_proprio
2018,AC,2525,ALAN RICK MIRANDA,DEM,1,825300.0,95000.0,11500.0,980.0,6.4,107486.4,106500.0,107480.0,1.0,False,1.0,1.0,1.0,False,True
2018,AC,1515,JESSICA ROJAS SALES,MDB,1,2000000.0,0.0,157700.0,0.0,251500.0,409200.0,157700.0,157700.0,2.035560494846384,False,1.0,1.0,1.0,True,True
2018,AC,1555,FLAVIANO FLAVIO BAPTISTA DE MELO,MDB,1,1603200.0,3400.0,87600.0,0.0,0.0,91000.0,91000.0,91000.0,2.035560494846384,False,1.0,1.0,1.0,False,False
2018,AC,6513,MARIA PERPETUA DE ALMEIDA ,PC DO B,1,899232.95,0.0,6413.4,1664.0,0.0,8077.4,6413.4,8077.4,1.0,False,1.0,1.0,1.0,False,False
2018,AC,1212,JESUS SERGIO DE MENEZES,PDT,1,53061.66,0.0,8500.0,0.0,5000.0,13500.0,8500.0,8500.0,6.764354286202949,False,1.0,1.0,1.0,False,False
2018,AC,4545,CYLMARA FERNANDES DA ROCHA GRIPP,PSDB,1,1629365.55,0.0,3500.0,0.0,0.0,3500.0,3500.0,3500.0,1.0,False,1.0,1.0,1.0,False,False
2018,AC,1331,LEONARDO CUNHA DE BRITO,PT,1,900000.0,20000.0,286395.0,0.0,0.0,306395.0,306395.0,306395.0,3.1696750843216726,False,1.0,1.0,1.0,True,True
2018,AC,7777,VANDA DENIR MILANI NOGUEIRA,SOLIDARIEDADE,1,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,1.0,1.0,1.0,False,False
2018,AL,1515,ISNALDO BULHÕES BARROS JUNIOR,MDB,1,0.0,225653.88,168180.26,0.0,600239.58,994073.72,393834.14,393834.14,2.0,False,0.0,0.0,0.0,True,True
2018,AL,1111,ARTHUR CESAR PEREIRA DE LIRA,PP,1,1677758.0,10400.0,29686.0,0.0,23949.16,64035.16,40086.0,40086.0,2.2365872460026823,False,1.0,1.0,1.0,False,False
2018,AL,2222,SÉRGIO TOLEDO DE ALBUQUERQUE,PR,1,1255557.26,21200.0,174700.0,0.0,6765.42,202665.42,195900.0,195900.0,1.0,False,1.0,1.0,1.0,True,True
2018,AL,1010,SEVERINO DE LIRA PESSÔA,PRB,1,842225.39,10605.07,3865.46,0.0,960.0,15430.529999999999,14470.529999999999,14470.529999999999,1.0,False,1.0,1.0,1.0,False,False
