Ano,Medida,Corte,Regra,Fora_n,Fora_alto_pct,Dentro_alto_pct,Diferenca_pp,Razao_prevalencias
2018,nao_partidarios,Principal: acima da mediana dos eleitos no ano,piso,89.5,64.24581005586593,46.871310507674146,17.37449954819178,1.3706851666830842
2018,nao_partidarios,Principal: acima da mediana dos eleitos no ano,arredondado,68.0,63.970588235294116,47.752808988764045,16.217779246530068,1.3396193771626297
2018,nao_partidarios,Principal: acima da mediana dos eleitos no ano,teto,63.25,66.40316205533597,47.58198999444135,18.821172060894618,1.395552436186325
2018,nao_partidarios,Acima do P75 de todos os candidatos no ano,piso,89.5,95.53072625698324,86.06847697756788,9.462249279415358,1.1099386164563074
2018,nao_partidarios,Acima do P75 de todos os candidatos no ano,arredondado,68.0,97.05882352941177,86.29213483146067,10.766688697951087,1.1247702205882353
2018,nao_partidarios,Acima do P75 de todos os candidatos no ano,teto,63.25,98.41897233201581,86.21456364647027,12.204408685545543,1.1415585507756056
2018,nao_partidarios,Acima da mediana dos eleitos na UF/ano,piso,89.5,62.01117318435754,46.63518299881936,15.375990185538175,1.3297079414468564
2018,nao_partidarios,Acima da mediana dos eleitos na UF/ano,arredondado,68.0,58.08823529411765,47.97752808988764,10.110707204230012,1.210738393718143
2018,nao_partidarios,Acima da mediana dos eleitos na UF/ano,teto,63.25,61.6600790513834,47.58198999444135,14.078089056942044,1.295870119315873
2018,nao_partidarios,Acima do P75 dos eleitos no ano,piso,89.5,35.19553072625698,22.786304604486425,12.409226121770562,1.5445914261730396
2018,nao_partidarios,Acima do P75 dos eleitos no ano,arredondado,68.0,33.82352941176471,23.595505617977526,10.22802379378718,1.4334733893557423
2018,nao_partidarios,Acima do P75 dos eleitos no ano,teto,63.25,36.36363636363637,23.346303501945524,13.01733286169084,1.5575757575757576
2018,nao_partidarios,Mais de 50% do financiamento total,piso,89.5,78.77094972067039,10.979929161747345,67.79102055892304,7.17408542079654
2018,nao_partidarios,Mais de 50% do financiamento total,arredondado,68.0,95.58823529411765,11.685393258426966,83.90284203569068,8.180147058823529
2018,nao_partidarios,Mais de 50% do financiamento total,teto,63.25,100.0,11.951083935519733,88.04891606448027,8.367441860465116
2018,privado_proprio,Principal: acima da mediana dos eleitos no ano,piso,89.5,63.128491620111724,47.107438016528924,16.021053603582804,1.340096050181319
2018,privado_proprio,Principal: acima da mediana dos eleitos no ano,arredondado,68.0,65.44117647058823,47.52808988764045,17.913086582947784,1.376894729523015
2018,privado_proprio,Principal: acima da mediana dos eleitos no ano,teto,63.25,67.98418972332016,47.359644246803775,20.624545476516374,1.4354877618809032
2018,privado_proprio,Acima do P75 de todos os candidatos no ano,piso,89.5,94.41340782122904,82.99881936245572,11.414588458773324,1.1375271184150926
