ano_eleicao,candidaturas,primeiro_repasse_confere,primeiro_repasse_corrigido,candidaturas_total_divergente,diferenca_recursos,recursos_fora_janela,total_reconciliado
2018,7630,True,218,319,-6786809.569999999,6786809.57,True
2022,9675,True,0,381,-16734842.169999998,16734842.17,True
