ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,competitivo,teto,partido,outros,privado,partido_pct,outros_pct,privado_pct,total_pct,fora,top_piso,top_arredondado,top_teto,vitoria_previa,qe_previo,lag,lag2,hist_ausente,lag_ausente,mulher,negra,demografia_ausente,partido_antes_pct,partido_setembro_pct,privado_antes_pct,outros_antes_pct
2018,AC,1207,MARIA DE JESUS GOMES DA SILVA CAVALCANTE,PDT,0,False,2500000.0,19513.239999999998,0.0,0.0,0.7805295999999999,0.0,0.0,0.7805295999999999,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,0.0,0,0.112,0.5643392,0.0,0.0
2018,AC,1211,PAULO SORIANO DA SILVA,PDT,0,False,2500000.0,1666.66,5000.0,0.0,0.0666664,0.2,0.0,0.2666664,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0666664,0.0,0.0
2018,AC,1212,JESUS SERGIO DE MENEZES,PDT,1,True,2500000.0,53061.66,13500.0,8500.0,2.1224664,0.54,0.34,2.6624664,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,0.032,2.0238,0.116,0.116
2018,AC,1213,FRANCISCO DE ASSIS DANTAS CASTRO,PDT,0,False,2500000.0,3882.86,0.0,0.0,0.1553144,0.0,0.0,0.1553144,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.032,0.056648,0.0,0.0
2018,AC,1217,JONILSON CABRAL DOS SANTOS ,PDT,0,False,2500000.0,7083.66,0.0,0.0,0.2833464,0.0,0.0,0.2833464,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.032,0.18468,0.0,0.0
2018,AC,1220,DINEIA ANDRADE PINHEIRO,PDT,0,False,2500000.0,9216.03,0.0,0.0,0.36864120000000006,0.0,0.0,0.36864120000000006,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.112,0.1562668,0.0,0.0
2018,AC,1222,PEDRO RAIMUNDO DE OLIVEIRA,PDT,0,False,2500000.0,0.0,478750.0,478750.0,0.0,19.15,19.15,19.15,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,8.12,8.12
2018,AC,1223,DARLENE SILVA DE SOUZA,PDT,0,False,2500000.0,18042.05,0.0,0.0,0.721682,0.0,0.0,0.721682,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,1.0,1.0,0,0.112,0.5112156000000001,0.0,0.0
2018,AC,1224,RAIMUNDO NONATO DE CASTRO,PDT,0,True,2500000.0,4354.26,0.0,0.0,0.1741704,0.0,0.0,0.1741704,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,1.0,0,0.032,0.060664,0.0,0.0
2018,AC,1233,EBER SILVA MACHADO,PDT,0,True,2500000.0,50000.0,26950.0,26950.0,2.0,1.078,1.078,3.0780000000000003,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0,0,0.0,1.0,0,0.0,2.0,0.12,0.12
