Ano,Fonte,Modelo,N,N_ponderado,Listas,Listas_variacao_X,Beta,EP,IC_inf,IC_sup,p_bilateral,Controles_retidos,p_Holm
2018,Não partidários (amplo),Bruto,5414,5312.0,652,40,14.440582953915357,2.845403966021771,8.853305911307011,20.027859996523702,5.061084560057857e-07,constant,
2018,Não partidários (amplo),Ajustado por lista e histórico,5414,5312.0,652,40,13.521543000974631,3.1721686979550308,7.292625928737254,19.750460073212007,2.320011114775607e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra,7.704219242000191e-05
2018,Próprios + pessoas físicas,Bruto,5414,5312.0,652,40,13.472297854649476,2.7548369118868745,8.062859610477915,18.881736098821037,1.26919819231354e-06,constant,
2018,Próprios + pessoas físicas,Ajustado por lista e histórico,5414,5312.0,652,40,12.980526014861749,3.138609232376164,6.817506802411629,19.14354522731187,4.0014299792684824e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra,7.704219242000191e-05
2022,Não partidários (amplo),Bruto,6086,5851.0,611,26,16.909509901324522,3.010502097615317,10.997303595028137,22.82171620762091,2.9577611850656277e-08,constant,
2022,Não partidários (amplo),Ajustado por lista e histórico,6086,5851.0,611,26,12.795531511848232,2.970686818614822,6.961516861282677,18.62954616241379,1.926054810500048e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente,7.704219242000191e-05
2022,Próprios + pessoas físicas,Bruto,6086,5851.0,611,26,16.040882474201457,2.9935383961001265,10.161990512098914,21.919774436304,1.1912017986854738e-07,constant,
2022,Próprios + pessoas físicas,Ajustado por lista e histórico,6086,5851.0,611,26,12.257772691656196,2.9542728542021504,6.455992778275774,18.059552605036618,3.8110261802844865e-05,vitoria_previa; qe_previo; lag; lag2; hist_ausente; mulher; negra; demografia_ausente,7.704219242000191e-05
