Ano,Magnitude,Eleitos,Eleitos cobertos,Cobertura (%),Aleatória (%),Precisão (%)
2018,Grande (39–70),208,169.5,81.49038461538461,33.29970676624697,24.214285714285715
2018,Médio (16–31),176,155.5,88.35227272727273,42.74657094860045,20.844504021447722
2018,Pequeno (8–12),129,120.0,93.02325581395348,62.0736434108527,13.761467889908257
2022,Grande (39–70),208,195.19230769230768,93.84245562130178,35.65613094320096,16.711670179135933
2022,Médio (16–31),176,158.5,90.05681818181819,37.55952192645048,12.18293620292083
2022,Pequeno (8–12),129,121.5,94.18604651162791,65.23205691810344,8.966789667896679
