Ano,Candidaturas,Competitivas,Competitivas (%),Nominatas,Com recursos,Sem recursos,Com Mp > 0,Com recursos e Mp > 0,Com eleitos,Com recursos e eleitos,Eleitos,Eleitos em listas sem recursos
2018,7630,879,11.520314547837483,859,786,73,292,290,302,300,513,3
2022,9675,1261,13.03359173126615,711,648,63,252,250,207,207,513,0
