ano_eleicao,regra,desfecho,N_valido,ausentes,k_valido,total_perfil,observados,esperados_acaso,cobertura,precisao,proporcao_perfil_fora,cobertura_acaso,precisao_acaso,proporcao_perfil_fora_acaso,lift
2018,acima_divisao_igual,competitividade,7626.0,4,1770.0,886.0,616.0,263.4651775000258,0.6952595936794582,0.3480225988700565,0.04610655737704918,0.29736476015804264,0.14885038276837614,0.10630717597335625,2.3380698954036903
2018,acima_divisao_igual,eleicao,7630.0,0,1772.0,513.0,392.0,158.07210231246086,0.7641325536062378,0.22121896162528218,0.020655513827244794,0.3081327530457327,0.08920547534563254,0.06058857932528835,2.479880980042476
2018,nucleo_80,competitividade,7626.0,4,2303.0,886.0,694.5833333333334,360.5910963342128,0.78395410082769,0.30159936314951513,0.035960298077525196,0.4069876933794727,0.15657450991498603,0.09870541117147984,1.9262353962549337
2018,nucleo_80,eleicao,7630.0,0,2305.0,513.0,432.0,212.71296032144366,0.8421052631578947,0.18741865509761388,0.015211267605633802,0.41464514682542625,0.09228327996591916,0.05639193233400119,2.030905871213386
2018,top_necr,competitividade,7626.0,4,2316.0,886.0,716.75,382.5413834297511,0.8089729119638827,0.30947754749568224,0.03187382297551789,0.4317622837807574,0.16517330890749182,0.09481329878912409,1.8736534948816124
2018,top_necr,eleicao,7630.0,0,2318.0,513.0,445.0,224.57235494333048,0.8674463937621832,0.1919758412424504,0.012801204819277108,0.43776287513319784,0.09688194777537984,0.054297372939885076,1.9815439888506898
2022,acima_divisao_igual,competitividade,9672.0,3,2686.0,1287.0,947.0,400.9123280686543,0.7358197358197358,0.35256887565152645,0.048668766103635845,0.3115091904185348,0.14925998811193383,0.12683762838982907,2.3621124462848417
2022,acima_divisao_igual,eleicao,9675.0,0,2688.0,513.0,461.0,164.31628951578935,0.898635477582846,0.1715029761904762,0.007442393015600401,0.3203046579255153,0.06112957199248116,0.04990463868387157,2.8055648125848287
2022,nucleo_80,competitividade,9672.0,3,3757.0,1287.0,1047.2146304675716,528.9836519381736,0.8136865815598847,0.2787369258630747,0.040538524012244864,0.41102070857666945,0.14079948148474145,0.12815153813386754,1.9796729570575986
2022,nucleo_80,eleicao,9675.0,0,3759.0,513.0,471.66538461538465,201.74642248347888,0.9194257010046485,0.12547629279472855,0.006986919436209491,0.39326788008475416,0.05367023742577252,0.052612166584942714,2.3379120125612616
2022,top_necr,competitividade,9672.0,3,3822.0,1287.0,1064.115233785822,563.0315686910832,0.8268183634699472,0.2784184285153904,0.03809996003661161,0.437475966348938,0.14731333560729545,0.12375528740323365,1.8899743690387403
2022,top_necr,eleicao,9675.0,0,3824.0,513.0,475.1923076923077,224.41886437676425,0.9263007947218473,0.12426577084003862,0.0064617488134835616,0.4374636732490531,0.058686941521120355,0.049321677597544994,2.1174347754230407
