ano_eleicao,sg_uf,sg_partido_norm,C,NECr,total_recursos_partidarios,lista_sem_recursos,E,k_top_necr,proporcao_top_necr,empate_corte_top_necr,k_80,proporcao_nucleo_80,empate_corte_nucleo_80,k_acima_igual,proporcao_acima_divisao_igual,empate_corte_acima_divisao_igual,top_necr__nucleo_80__comum,top_necr__nucleo_80__uniao,top_necr__nucleo_80__jaccard,top_necr__nucleo_80__A_contida_B,top_necr__nucleo_80__B_contida_A,top_necr__nucleo_80__pesos_identicos,top_necr__nucleo_80__concordancia_candidaturas,top_necr__acima_divisao_igual__comum,top_necr__acima_divisao_igual__uniao,top_necr__acima_divisao_igual__jaccard,top_necr__acima_divisao_igual__A_contida_B,top_necr__acima_divisao_igual__B_contida_A,top_necr__acima_divisao_igual__pesos_identicos,top_necr__acima_divisao_igual__concordancia_candidaturas,nucleo_80__acima_divisao_igual__comum,nucleo_80__acima_divisao_igual__uniao,nucleo_80__acima_divisao_igual__jaccard,nucleo_80__acima_divisao_igual__A_contida_B,nucleo_80__acima_divisao_igual__B_contida_A,nucleo_80__acima_divisao_igual__pesos_identicos,nucleo_80__acima_divisao_igual__concordancia_candidaturas
2018,AC,PODE,2,1.0,100000.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AC,PP,3,2.066556611607563,1322040.0,False,0,2,0.6666666666666666,False,2,0.6666666666666666,False,1,0.3333333333333333,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667
2018,AC,PPL,1,1.0,4637.5,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PPS,1,1.0,498048.04,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PR,1,1.0,1500000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PROS,2,1.0,316985.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AC,PRP,3,2.248453185959963,61883.04,False,0,2,0.6666666666666666,False,2,0.6666666666666666,False,2,0.6666666666666666,False,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0
2018,AC,PRTB,2,1.0,13715.0,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AC,PSB,1,1.0,1300000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PSC,1,1.0,70000.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PSD,1,1.0,824450.0,False,0,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PSDB,1,1.0,1629365.55,False,1,1,1.0,False,1,1.0,False,0,0.0,False,1.0,1.0,1.0,1.0,1.0,True,1.0,0.0,1.0,0.0,0.0,,False,0.0,0.0,1.0,0.0,0.0,,False,0.0
2018,AC,PSL,8,4.71203274162421,261.04,False,0,5,0.625,False,4,0.5,False,4,0.5,False,4.0,5.0,0.8,0.8,1.0,False,0.875,4.0,5.0,0.8,0.8,1.0,False,0.875,4.0,4.0,1.0,1.0,1.0,True,1.0
2018,AC,PSOL,4,3.4898209751924303,300066.64,False,0,3,0.75,False,3,0.75,False,1,0.25,False,3.0,3.0,1.0,1.0,1.0,True,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,1.0,False,0.5,1.0,3.0,0.3333333333333333,0.3333333333333333,1.0,False,0.5
2018,AC,PT,5,3.169675084321672,2778000.0,False,1,3,0.6,False,3,0.6,False,3,0.6,False,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0,3.0,3.0,1.0,1.0,1.0,True,1.0
