ano_eleicao,sg_uf,nr_candidato,sg_partido_norm,nm_candidato,vr_receita_recursos_partidos,C,NECr,lista_sem_recursos,rank_recursos_partidarios,share_recursos_partidarios,share_acumulado,share_igualitaria,razao_share_igual,top_necr,nucleo_80,acima_divisao_igual,k_top_necr,k_80,k_acima_igual,competitivo_previo,eleito
2018,AC,1213,PDT,FRANCISCO DE ASSIS DANTAS CASTRO,3882.86,16.0,6.764354286202949,False,12.0,0.01550218613458914,0.9790462613810731,0.0625,0.24803497815342623,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1217,PDT,JONILSON CABRAL DOS SANTOS ,7083.66,16.0,6.764354286202949,False,8.0,0.028281270979160646,0.8998460385375966,0.0625,0.45250033566657033,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1220,PDT,DINEIA ANDRADE PINHEIRO,9216.03,16.0,6.764354286202949,False,7.0,0.03679468548491513,0.8715647675584359,0.0625,0.5887149677586421,1.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1222,PDT,PEDRO RAIMUNDO DE OLIVEIRA,0.0,16.0,6.764354286202949,False,15.0,0.0,1.0000000000000002,0.0625,0.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1223,PDT,DARLENE SILVA DE SOUZA,18042.05,16.0,6.764354286202949,False,5.0,0.07203226934516413,0.7703141555633196,0.0625,1.152516309522626,1.0,1.0,1.0,7.0,6.0,6.0,0.0,0
2018,AC,1224,PDT,RAIMUNDO NONATO DE CASTRO,4354.26,16.0,6.764354286202949,False,11.0,0.017384234558649063,0.963544075246484,0.0625,0.278147752938385,0.0,0.0,0.0,7.0,6.0,6.0,1.0,0
2018,AC,1233,PDT,EBER SILVA MACHADO,50000.0,16.0,6.764354286202949,False,3.0,0.1996232948727116,0.6203759409693156,0.0625,3.1939727179633857,1.0,1.0,1.0,7.0,6.0,6.0,1.0,0
2018,AC,1234,PDT,JOSE ADRIANO RIBEIRO DA SILVA,0.0,16.0,6.764354286202949,False,16.0,0.0,1.0000000000000002,0.0625,0.0,0.0,0.0,0.0,7.0,6.0,6.0,1.0,0
2018,AC,1244,PDT,JOSÉ ELISSANDRO LOPES REGO,4773.66,16.0,6.764354286202949,False,10.0,0.01905867475604137,0.946159840687835,0.0625,0.3049387960966619,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1250,PDT,SANDRA MARIA SILVA FERREIRA,6826.64,16.0,6.764354286202949,False,9.0,0.02725512739419696,0.9271011659317936,0.0625,0.43608203830715137,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0
2018,AC,1255,PDT,CRISTOVAM PONTES DE MOURA,52325.0,16.0,6.764354286202949,False,2.0,0.2089057780842927,0.420752646096604,0.0625,3.342492449348683,1.0,1.0,1.0,7.0,6.0,6.0,0.0,0
2018,AC,1277,PDT,CLEIDE MARIA FERREIRA DE ARAUJO,16144.390000000001,16.0,6.764354286202949,False,6.0,0.06445592651020113,0.8347700820735208,0.0625,1.031294824163218,1.0,1.0,1.0,7.0,6.0,6.0,0.0,0
2018,AC,3131,PHS,JEFFERSON BARROSO DE ARAÚJO ,19750.58,2.0,1.6451850694018162,False,1.0,0.7322007231335639,0.7322007231335639,0.5,1.4644014462671278,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0
2018,AC,3133,PHS,SEBASTIAO ALVES RODRIGUES MANCHINERY ,7223.6900000000005,2.0,1.6451850694018162,False,2.0,0.26779927686643606,1.0,0.5,0.5355985537328721,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0
2018,AC,3535,PMB,SILVIA MONTEIRO E SILVA,30000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,3333,PMN,EMILIO VIRGILIO LIMA DE OLIVEIRA,150000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,1910,PODE,RAILSON CORREIA DA COSTA,100000.0,2.0,1.0,False,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
2018,AC,1944,PODE,MARIA JOSÉ DA SILVA LIMA,0.0,2.0,1.0,False,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
2018,AC,1111,PP,JOSÉ CAVALCANTE DAMASCENO JÚNIOR,100000.0,3.0,2.066556611607563,False,3.0,0.07564067653021089,1.0,0.3333333333333333,0.22692202959063268,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0
2018,AC,1122,PP,RUDILEI SOARES DE SOUZA,400000.0,3.0,2.066556611607563,False,2.0,0.30256270612084357,0.9243593234697891,0.3333333333333333,0.9076881183625307,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0
2018,AC,1144,PP,NELSON RODRIGUES SALES,822040.0,3.0,2.066556611607563,False,1.0,0.6217966173489455,0.6217966173489455,0.3333333333333333,1.8653898520468366,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0
2018,AC,5454,PPL,FRANCISCO BRIGIDO DA COSTA,4637.5,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0
2018,AC,2323,PPS,ROSANA SOUSA DO NASCIMENTO,498048.04,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,2222,PR,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,1500000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0
2018,AC,9010,PROS,ANTONIO PAULINO DA SILVA,0.0,2.0,1.0,False,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
2018,AC,9090,PROS,FERNANDO MELO DA COSTA,316985.0,2.0,1.0,False,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2018,AC,4423,PRP,ROSE-LANE ALVES JARDIM,35100.0,3.0,2.248453185959963,False,1.0,0.5671990257750751,0.5671990257750751,0.3333333333333333,1.7015970773252254,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0
2018,AC,4444,PRP,FRANCISCO CARLOS OLIVEIRA DE LIMA,20891.52,3.0,2.248453185959963,False,2.0,0.3375968601413247,0.9047958859163998,0.3333333333333333,1.012790580423974,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0
2018,AC,4466,PRP,GILMAR FONTES,5891.5199999999995,3.0,2.248453185959963,False,3.0,0.09520411408360029,1.0,0.3333333333333333,0.28561234225080084,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0
2018,AC,2800,PRTB,MARIA DO SOCORRO FIRMO DA SILVA,0.0,2.0,1.0,False,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
2018,AC,2828,PRTB,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,13715.0,2.0,1.0,False,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
2018,AC,4040,PSB,CARLOS CÉSAR CORREIA DE MESSIAS,1300000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0
2018,AC,2020,PSC,JAMYL ASFURY MARTINS OLIVEIRA,70000.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0
2018,AC,5555,PSD,MARIVALDO GONÇALVES DE MELO,824450.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
2018,AC,4545,PSDB,CYLMARA FERNANDES DA ROCHA GRIPP,1629365.55,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1
2018,AC,1700,PSL,MICHELA BATISTA LACERDA,58.18,8.0,4.71203274162421,False,4.0,0.2228777198896721,0.898866074164879,0.125,1.7830217591173767,1.0,1.0,1.0,5.0,4.0,4.0,0.0,0
2018,AC,1712,PSL,DANIELA PAIVA DE OLIVEIRA,0.0,8.0,4.71203274162421,False,6.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0
